iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.1699,4.1654,,,,eval
5,,,4.1788,203.03,0.17,iter
6,,,4.1658,202.02,0.17,iter
7,,,4.1856,202.02,0.17,iter
8,,,4.1533,201.02,0.17,iter
9,,,4.1372,203.03,0.17,iter
10,,,4.1491,199.02,0.17,iter
11,,,4.1409,230.54,0.17,iter
12,,,4.1192,205.02,0.17,iter
13,,,4.121,204.08,0.17,iter
14,,,4.1289,203.82,0.17,iter
15,,,4.1357,201.3,0.17,iter
16,,,4.1066,201.1,0.17,iter
17,,,4.0965,206.81,0.17,iter
18,,,4.1216,205.28,0.17,iter
19,,,4.0847,204.32,0.17,iter
20,,,4.0747,204.42,0.17,iter
21,,,4.073,202.49,0.17,iter
22,,,4.0634,203.87,0.17,iter
23,,,4.0621,201.05,0.17,iter
24,,,4.0256,196.19,0.17,iter
25,,,4.0319,200.34,0.17,iter
26,,,4.019,198.51,0.17,iter
27,,,3.9946,225.96,0.17,iter
28,,,3.9892,207.05,0.17,iter
29,,,3.9725,202.75,0.17,iter
30,,,3.9717,200.29,0.17,iter
31,,,3.9543,198.75,0.17,iter
32,,,3.9603,202.69,0.17,iter
33,,,3.971,202.87,0.17,iter
34,,,3.9465,199.53,0.17,iter
35,,,3.9427,202.77,0.17,iter
36,,,3.9004,197.42,0.17,iter
37,,,3.9048,200.28,0.17,iter
38,,,3.8757,204.24,0.17,iter
39,,,3.882,200.16,0.17,iter
40,,,3.8663,201.99,0.17,iter
41,,,3.8354,199.82,0.17,iter
42,,,3.8341,203.54,0.17,iter
43,,,3.8377,207.76,0.17,iter
44,,,3.8404,247.83,0.16,iter
45,,,3.8253,217.7,0.16,iter
46,,,3.8104,206.01,0.16,iter
47,,,3.7848,212.98,0.16,iter
48,,,3.7945,199.91,0.16,iter
49,,,3.76,203.22,0.16,iter
50,,,3.7679,201.0,0.16,iter
51,,,3.7595,206.13,0.16,iter
52,,,3.7193,209.11,0.16,iter
53,,,3.7426,199.4,0.16,iter
54,,,3.7401,202.04,0.17,iter
55,,,3.7003,201.51,0.17,iter
56,,,3.7553,199.71,0.17,iter
57,,,3.7155,200.46,0.17,iter
58,,,3.6985,199.7,0.17,iter
59,,,3.7451,201.71,0.17,iter
60,,,3.6558,240.66,0.16,iter
61,,,3.6682,217.93,0.16,iter
62,,,3.7147,216.18,0.16,iter
63,,,3.7091,225.71,0.16,iter
64,,,3.7115,223.18,0.16,iter
65,,,3.6754,201.46,0.16,iter
66,,,3.6977,201.38,0.16,iter
67,,,3.6953,197.88,0.16,iter
68,,,3.7008,200.54,0.16,iter
69,,,3.6969,199.93,0.16,iter
70,,,3.6678,200.12,0.16,iter
71,,,3.7363,197.53,0.17,iter
72,,,3.6627,199.98,0.17,iter
73,,,3.6761,199.91,0.17,iter
74,,,3.6497,199.78,0.17,iter
75,,,3.6114,200.31,0.17,iter
76,,,3.6287,203.1,0.17,iter
77,,,3.6281,201.93,0.17,iter
78,,,3.6171,202.42,0.17,iter
79,,,3.6142,200.23,0.17,iter
80,,,3.6161,205.88,0.17,iter
81,,,3.6472,202.87,0.17,iter
82,,,3.5591,202.54,0.17,iter
83,,,3.6003,201.32,0.17,iter
84,,,3.6059,201.23,0.17,iter
85,,,3.5837,201.89,0.17,iter
86,,,3.6052,199.36,0.17,iter
87,,,3.5598,200.52,0.17,iter
88,,,3.5639,200.48,0.17,iter
89,,,3.5706,195.53,0.17,iter
90,,,3.5453,198.86,0.17,iter
91,,,3.5552,200.22,0.17,iter
92,,,3.6011,203.82,0.17,iter
93,,,3.615,201.36,0.17,iter
94,,,3.5299,198.22,0.17,iter
95,,,3.477,204.46,0.17,iter
96,,,3.5339,203.12,0.17,iter
97,,,3.5424,199.45,0.17,iter
98,,,3.5131,202.43,0.17,iter
99,,,3.5218,203.24,0.17,iter
100,,,3.5117,200.6,0.17,iter
101,,,3.4538,201.52,0.17,iter
102,,,3.5067,206.87,0.17,iter
103,,,3.512,204.81,0.17,iter
104,,,3.4751,203.64,0.17,iter
105,,,3.4724,211.16,0.17,iter
106,,,3.3928,204.92,0.17,iter
107,,,3.4779,204.85,0.17,iter
108,,,3.4957,201.86,0.17,iter
109,,,3.4351,217.73,0.17,iter
110,,,3.3786,214.25,0.16,iter
111,,,3.4905,197.72,0.17,iter
112,,,3.4243,200.99,0.17,iter
113,,,3.4563,203.52,0.17,iter
114,,,3.425,200.95,0.17,iter
115,,,3.3453,199.35,0.17,iter
116,,,3.4276,201.9,0.17,iter
117,,,3.3697,201.04,0.17,iter
118,,,3.4288,201.29,0.17,iter
119,,,3.405,201.11,0.17,iter
120,,,3.3814,201.9,0.17,iter
121,,,3.3468,198.44,0.17,iter
122,,,3.3556,202.53,0.17,iter
123,,,3.3073,199.58,0.17,iter
124,,,3.3944,197.96,0.17,iter
125,,,3.4269,202.58,0.17,iter
126,,,3.3569,201.58,0.17,iter
127,,,3.3231,198.79,0.17,iter
128,,,3.3087,201.16,0.17,iter
129,,,3.3732,202.38,0.17,iter
130,,,3.2992,210.73,0.17,iter
131,,,3.3508,200.78,0.17,iter
132,,,3.3287,199.93,0.17,iter
133,,,3.3416,209.86,0.17,iter
134,,,3.3015,214.78,0.17,iter
