Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1702, val loss 4.1669
iter 0: loss 4.1732, time 1301.91ms, mfu -100.00%
iter 1: loss 4.1713, time 226.51ms, mfu -100.00%
iter 2: loss 4.1678, time 228.21ms, mfu -100.00%
iter 3: loss 4.1623, time 224.59ms, mfu -100.00%
iter 4: loss 4.1775, time 217.42ms, mfu -100.00%
iter 5: loss 4.1624, time 221.59ms, mfu 0.31%
iter 6: loss 4.1687, time 227.97ms, mfu 0.31%
iter 7: loss 4.1501, time 224.71ms, mfu 0.31%
iter 8: loss 4.1788, time 224.41ms, mfu 0.30%
iter 9: loss 4.1564, time 228.66ms, mfu 0.30%
iter 10: loss 4.1536, time 224.85ms, mfu 0.30%
iter 11: loss 4.1563, time 220.40ms, mfu 0.30%
iter 12: loss 4.1448, time 225.23ms, mfu 0.30%
iter 13: loss 4.1465, time 226.48ms, mfu 0.30%
iter 14: loss 4.1329, time 220.93ms, mfu 0.30%
iter 15: loss 4.1409, time 223.76ms, mfu 0.30%
iter 16: loss 4.1184, time 234.11ms, mfu 0.30%
iter 17: loss 4.1030, time 229.98ms, mfu 0.30%
iter 18: loss 4.0995, time 225.68ms, mfu 0.30%
iter 19: loss 4.0872, time 217.55ms, mfu 0.30%
iter 20: loss 4.0828, time 224.47ms, mfu 0.30%
iter 21: loss 4.0882, time 213.87ms, mfu 0.30%
iter 22: loss 4.0771, time 225.71ms, mfu 0.30%
iter 23: loss 4.0764, time 211.50ms, mfu 0.31%
iter 24: loss 4.0645, time 212.36ms, mfu 0.31%
iter 25: loss 4.0373, time 208.49ms, mfu 0.31%
iter 26: loss 4.0349, time 228.21ms, mfu 0.31%
iter 27: loss 4.0083, time 225.39ms, mfu 0.31%
iter 28: loss 4.0230, time 212.86ms, mfu 0.31%
iter 29: loss 4.0184, time 212.27ms, mfu 0.31%
iter 30: loss 4.0234, time 218.07ms, mfu 0.31%
iter 31: loss 3.9712, time 218.33ms, mfu 0.31%
iter 32: loss 3.9815, time 233.77ms, mfu 0.31%
iter 33: loss 3.9528, time 251.96ms, mfu 0.30%
iter 34: loss 3.9358, time 228.68ms, mfu 0.30%
iter 35: loss 3.9686, time 228.80ms, mfu 0.30%
iter 36: loss 3.9253, time 218.80ms, mfu 0.30%
iter 37: loss 3.9177, time 242.85ms, mfu 0.30%
iter 38: loss 3.9248, time 219.13ms, mfu 0.30%
iter 39: loss 3.8945, time 224.47ms, mfu 0.30%
iter 40: loss 3.8991, time 219.02ms, mfu 0.30%
iter 41: loss 3.9098, time 274.93ms, mfu 0.30%
iter 42: loss 3.8550, time 267.68ms, mfu 0.29%
iter 43: loss 3.8584, time 280.88ms, mfu 0.29%
iter 44: loss 3.8598, time 288.83ms, mfu 0.28%
iter 45: loss 3.8275, time 272.98ms, mfu 0.28%
iter 46: loss 3.8388, time 268.94ms, mfu 0.28%
iter 47: loss 3.8508, time 261.21ms, mfu 0.27%
iter 48: loss 3.7953, time 272.62ms, mfu 0.27%
iter 49: loss 3.8141, time 286.45ms, mfu 0.27%
iter 50: loss 3.7988, time 278.91ms, mfu 0.27%
iter 51: loss 3.7773, time 285.83ms, mfu 0.26%
iter 52: loss 3.7641, time 274.78ms, mfu 0.26%
iter 53: loss 3.7730, time 268.09ms, mfu 0.26%
iter 54: loss 3.7659, time 264.19ms, mfu 0.26%
iter 55: loss 3.7388, time 284.65ms, mfu 0.26%
iter 56: loss 3.7433, time 270.38ms, mfu 0.26%
iter 57: loss 3.7682, time 283.67ms, mfu 0.26%
iter 58: loss 3.7232, time 280.38ms, mfu 0.25%
iter 59: loss 3.7936, time 271.85ms, mfu 0.25%
iter 60: loss 3.7438, time 289.23ms, mfu 0.25%
