Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs8_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1699, val loss 4.1654
iter 0: loss 4.1814, time 1255.55ms, mfu -100.00%
iter 1: loss 4.1734, time 209.36ms, mfu -100.00%
iter 2: loss 4.1786, time 209.28ms, mfu -100.00%
iter 3: loss 4.1778, time 236.65ms, mfu -100.00%
iter 4: loss 4.1541, time 212.91ms, mfu -100.00%
iter 5: loss 4.1797, time 209.57ms, mfu 0.16%
iter 6: loss 4.1638, time 203.82ms, mfu 0.16%
iter 7: loss 4.1863, time 206.19ms, mfu 0.16%
iter 8: loss 4.1546, time 206.98ms, mfu 0.16%
iter 9: loss 4.1387, time 217.13ms, mfu 0.16%
iter 10: loss 4.1594, time 214.77ms, mfu 0.16%
iter 11: loss 4.1500, time 203.81ms, mfu 0.16%
iter 12: loss 4.1234, time 209.87ms, mfu 0.16%
iter 13: loss 4.1329, time 226.42ms, mfu 0.16%
iter 14: loss 4.1384, time 225.60ms, mfu 0.16%
iter 15: loss 4.1452, time 211.00ms, mfu 0.16%
iter 16: loss 4.1185, time 217.42ms, mfu 0.16%
iter 17: loss 4.1125, time 214.79ms, mfu 0.16%
iter 18: loss 4.1350, time 244.02ms, mfu 0.16%
iter 19: loss 4.0926, time 211.77ms, mfu 0.16%
iter 20: loss 4.0934, time 210.73ms, mfu 0.16%
iter 21: loss 4.0869, time 214.37ms, mfu 0.16%
iter 22: loss 4.0781, time 206.05ms, mfu 0.16%
iter 23: loss 4.0774, time 220.27ms, mfu 0.16%
iter 24: loss 4.0375, time 243.02ms, mfu 0.16%
iter 25: loss 4.0542, time 213.73ms, mfu 0.16%
iter 26: loss 4.0342, time 213.85ms, mfu 0.16%
iter 27: loss 4.0210, time 212.76ms, mfu 0.16%
iter 28: loss 4.0165, time 207.98ms, mfu 0.16%
iter 29: loss 4.0009, time 212.14ms, mfu 0.16%
iter 30: loss 3.9956, time 226.74ms, mfu 0.16%
iter 31: loss 3.9844, time 211.22ms, mfu 0.16%
iter 32: loss 3.9852, time 200.85ms, mfu 0.16%
iter 33: loss 3.9968, time 211.73ms, mfu 0.16%
iter 34: loss 3.9764, time 205.96ms, mfu 0.16%
iter 35: loss 3.9675, time 226.72ms, mfu 0.16%
iter 36: loss 3.9215, time 280.78ms, mfu 0.15%
iter 37: loss 3.9282, time 291.55ms, mfu 0.15%
iter 38: loss 3.9094, time 256.81ms, mfu 0.15%
iter 39: loss 3.9182, time 297.97ms, mfu 0.15%
iter 40: loss 3.8970, time 239.44ms, mfu 0.15%
iter 41: loss 3.8620, time 206.62ms, mfu 0.15%
iter 42: loss 3.8626, time 198.02ms, mfu 0.15%
iter 43: loss 3.8621, time 206.41ms, mfu 0.15%
iter 44: loss 3.8657, time 207.10ms, mfu 0.15%
iter 45: loss 3.8480, time 257.04ms, mfu 0.15%
iter 46: loss 3.8334, time 251.51ms, mfu 0.15%
iter 47: loss 3.8150, time 218.43ms, mfu 0.15%
iter 48: loss 3.8169, time 205.91ms, mfu 0.15%
iter 49: loss 3.7863, time 201.74ms, mfu 0.15%
iter 50: loss 3.7941, time 203.03ms, mfu 0.15%
iter 51: loss 3.7850, time 213.06ms, mfu 0.15%
iter 52: loss 3.7431, time 213.43ms, mfu 0.15%
iter 53: loss 3.7685, time 210.95ms, mfu 0.16%
iter 54: loss 3.7625, time 207.37ms, mfu 0.16%
iter 55: loss 3.7226, time 205.36ms, mfu 0.16%
iter 56: loss 3.7773, time 199.03ms, mfu 0.16%
iter 57: loss 3.7360, time 210.77ms, mfu 0.16%
iter 58: loss 3.7203, time 208.15ms, mfu 0.16%
iter 59: loss 3.7668, time 223.80ms, mfu 0.16%
iter 60: loss 3.6805, time 205.07ms, mfu 0.16%
