Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2847, val loss 4.2795
iter 0: loss 4.3062, time 1222.10ms, mfu -100.00%
iter 1: loss 4.2506, time 208.59ms, mfu -100.00%
iter 2: loss 4.2989, time 256.48ms, mfu -100.00%
iter 3: loss 4.2578, time 250.55ms, mfu -100.00%
iter 4: loss 4.2521, time 255.54ms, mfu -100.00%
iter 5: loss 4.2273, time 270.60ms, mfu 0.48%
iter 6: loss 4.2271, time 244.72ms, mfu 0.48%
iter 7: loss 4.2292, time 258.88ms, mfu 0.49%
iter 8: loss 4.2204, time 247.37ms, mfu 0.49%
iter 9: loss 4.1867, time 241.11ms, mfu 0.50%
iter 10: loss 4.1837, time 259.46ms, mfu 0.50%
iter 11: loss 4.1456, time 241.74ms, mfu 0.50%
iter 12: loss 4.1397, time 251.73ms, mfu 0.50%
iter 13: loss 4.1107, time 286.83ms, mfu 0.50%
iter 14: loss 4.0932, time 245.66ms, mfu 0.50%
iter 15: loss 4.0851, time 244.12ms, mfu 0.50%
iter 16: loss 4.0433, time 270.05ms, mfu 0.50%
iter 17: loss 4.0280, time 274.40ms, mfu 0.50%
iter 18: loss 3.9853, time 256.09ms, mfu 0.50%
iter 19: loss 3.9675, time 253.91ms, mfu 0.50%
iter 20: loss 3.9266, time 245.60ms, mfu 0.50%
iter 21: loss 3.8935, time 252.65ms, mfu 0.50%
iter 22: loss 3.8839, time 254.50ms, mfu 0.50%
iter 23: loss 3.8002, time 264.93ms, mfu 0.50%
iter 24: loss 3.8097, time 246.96ms, mfu 0.51%
iter 25: loss 3.7320, time 258.27ms, mfu 0.51%
iter 26: loss 3.7224, time 247.97ms, mfu 0.51%
iter 27: loss 3.7098, time 249.31ms, mfu 0.51%
iter 28: loss 3.7268, time 252.39ms, mfu 0.51%
iter 29: loss 3.7532, time 251.91ms, mfu 0.51%
iter 30: loss 3.6281, time 255.88ms, mfu 0.51%
iter 31: loss 3.6014, time 263.09ms, mfu 0.51%
iter 32: loss 3.5984, time 253.83ms, mfu 0.51%
iter 33: loss 3.6692, time 262.44ms, mfu 0.51%
iter 34: loss 3.5252, time 246.08ms, mfu 0.51%
iter 35: loss 3.5202, time 251.74ms, mfu 0.51%
iter 36: loss 3.4863, time 264.00ms, mfu 0.51%
iter 37: loss 3.4861, time 250.88ms, mfu 0.51%
iter 38: loss 3.5452, time 244.16ms, mfu 0.51%
iter 39: loss 3.4816, time 257.05ms, mfu 0.51%
iter 40: loss 3.4768, time 274.14ms, mfu 0.51%
iter 41: loss 3.5289, time 247.45ms, mfu 0.51%
iter 42: loss 3.4324, time 243.54ms, mfu 0.51%
iter 43: loss 3.4634, time 269.05ms, mfu 0.51%
iter 44: loss 3.4178, time 263.67ms, mfu 0.51%
iter 45: loss 3.4500, time 252.99ms, mfu 0.51%
iter 46: loss 3.4163, time 258.54ms, mfu 0.51%
iter 47: loss 3.3808, time 274.21ms, mfu 0.50%
iter 48: loss 3.3843, time 261.20ms, mfu 0.50%
iter 49: loss 3.4141, time 271.33ms, mfu 0.50%
iter 50: loss 3.4627, time 271.63ms, mfu 0.50%
iter 51: loss 3.3217, time 270.60ms, mfu 0.50%
iter 52: loss 3.3595, time 253.13ms, mfu 0.50%
iter 53: loss 3.4141, time 260.23ms, mfu 0.50%
iter 54: loss 3.4446, time 264.02ms, mfu 0.50%
iter 55: loss 3.3118, time 267.85ms, mfu 0.50%
iter 56: loss 3.3366, time 248.05ms, mfu 0.50%
iter 57: loss 3.2862, time 265.23ms, mfu 0.50%
iter 58: loss 3.3483, time 277.67ms, mfu 0.49%
iter 59: loss 3.4372, time 283.59ms, mfu 0.49%
iter 60: loss 3.3141, time 272.58ms, mfu 0.49%
iter 61: loss 3.2405, time 265.90ms, mfu 0.49%
iter 62: loss 3.2357, time 274.49ms, mfu 0.49%
iter 63: loss 3.3025, time 257.91ms, mfu 0.49%
iter 64: loss 3.2264, time 260.02ms, mfu 0.49%
iter 65: loss 3.2025, time 260.87ms, mfu 0.49%
iter 66: loss 3.1564, time 276.69ms, mfu 0.49%
iter 67: loss 3.2280, time 271.11ms, mfu 0.49%
iter 68: loss 3.1226, time 256.36ms, mfu 0.49%
iter 69: loss 3.2066, time 266.38ms, mfu 0.49%
iter 70: loss 3.2326, time 280.13ms, mfu 0.49%
iter 71: loss 3.1958, time 263.49ms, mfu 0.49%
iter 72: loss 3.1829, time 256.39ms, mfu 0.49%
iter 73: loss 3.1126, time 259.63ms, mfu 0.49%
iter 74: loss 3.1348, time 262.91ms, mfu 0.49%
iter 75: loss 3.1073, time 265.71ms, mfu 0.49%
iter 76: loss 3.0005, time 255.13ms, mfu 0.49%
iter 77: loss 3.1174, time 267.44ms, mfu 0.49%
iter 78: loss 3.0205, time 268.95ms, mfu 0.49%
iter 79: loss 3.0525, time 261.79ms, mfu 0.49%
iter 80: loss 3.1968, time 248.94ms, mfu 0.49%
iter 81: loss 3.0431, time 262.70ms, mfu 0.49%
iter 82: loss 3.0275, time 264.57ms, mfu 0.49%
iter 83: loss 3.0822, time 240.10ms, mfu 0.50%
iter 84: loss 3.0810, time 264.95ms, mfu 0.50%
iter 85: loss 3.0233, time 268.58ms, mfu 0.50%
iter 86: loss 3.0289, time 277.49ms, mfu 0.49%
