iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.2845,4.2794,,,,eval
5,,,4.2564,272.7,0.95,iter
6,,,4.2452,270.64,0.95,iter
7,,,4.2188,268.59,0.95,iter
8,,,4.196,277.56,0.95,iter
9,,,4.2013,262.47,0.96,iter
10,,,4.1827,263.57,0.96,iter
11,,,4.1561,253.93,0.97,iter
12,,,4.1045,273.32,0.96,iter
13,,,4.1162,267.0,0.96,iter
14,,,4.0755,236.49,0.98,iter
15,,,4.0814,270.7,0.98,iter
16,,,4.0278,268.46,0.98,iter
17,,,4.0142,276.43,0.97,iter
18,,,3.9505,283.16,0.97,iter
19,,,3.9641,257.9,0.97,iter
20,,,3.9235,275.93,0.97,iter
21,,,3.8967,262.16,0.97,iter
22,,,3.855,269.39,0.97,iter
23,,,3.8197,258.86,0.97,iter
24,,,3.8205,252.92,0.98,iter
25,,,3.7768,249.88,0.98,iter
26,,,3.7635,258.24,0.99,iter
27,,,3.7034,261.54,0.99,iter
28,,,3.7391,270.94,0.98,iter
29,,,3.6908,267.24,0.98,iter
30,,,3.7142,248.95,0.99,iter
31,,,3.6164,252.95,0.99,iter
32,,,3.6713,258.57,0.99,iter
33,,,3.6066,266.04,0.99,iter
34,,,3.5688,258.93,0.99,iter
35,,,3.5813,245.38,1.0,iter
36,,,3.5622,258.75,1.0,iter
37,,,3.5296,279.78,0.99,iter
38,,,3.5722,250.9,1.0,iter
39,,,3.5565,253.13,1.0,iter
40,,,3.4813,255.04,1.0,iter
41,,,3.4495,251.67,1.0,iter
42,,,3.4618,247.5,1.01,iter
43,,,3.5356,257.65,1.01,iter
44,,,3.4625,250.26,1.01,iter
45,,,3.4802,270.24,1.01,iter
46,,,3.4302,279.92,1.0,iter
47,,,3.3842,262.94,1.0,iter
48,,,3.3994,273.13,0.99,iter
49,,,3.3745,253.68,1.0,iter
50,,,3.4302,262.45,1.0,iter
51,,,3.3388,277.94,0.99,iter
52,,,3.3829,254.23,0.99,iter
53,,,3.3383,268.36,0.99,iter
54,,,3.3968,259.41,0.99,iter
55,,,3.3372,261.84,0.99,iter
56,,,3.2957,278.31,0.99,iter
57,,,3.3594,281.7,0.98,iter
58,,,3.2546,279.76,0.97,iter
59,,,3.2684,280.26,0.97,iter
60,,,3.2917,280.19,0.96,iter
61,,,3.2457,265.41,0.97,iter
62,,,3.2519,257.66,0.97,iter
63,,,3.2329,278.32,0.97,iter
64,,,3.2251,275.88,0.96,iter
65,,,3.1788,271.81,0.96,iter
66,,,3.1566,262.09,0.97,iter
67,,,3.191,273.29,0.96,iter
68,,,3.1473,266.01,0.97,iter
69,,,3.1726,285.17,0.96,iter
70,,,3.1051,279.57,0.96,iter
71,,,3.1838,269.32,0.96,iter
72,,,3.1005,259.64,0.96,iter
73,,,3.0948,288.97,0.96,iter
74,,,3.0593,251.6,0.96,iter
75,,,3.0786,259.45,0.97,iter
76,,,3.0422,241.72,0.98,iter
77,,,3.0527,249.6,0.98,iter
78,,,3.0339,241.69,0.99,iter
79,,,3.1265,249.43,1.0,iter
80,,,3.068,254.53,1.0,iter
81,,,2.961,243.3,1.01,iter
82,,,3.0541,242.3,1.01,iter
83,,,3.0403,249.01,1.02,iter
84,,,2.964,247.11,1.02,iter
85,,,3.024,238.16,1.03,iter
86,,,2.9667,250.13,1.03,iter
87,,,2.938,250.39,1.03,iter
88,,,2.9312,270.06,1.02,iter
89,,,2.9307,248.73,1.02,iter
90,,,2.9757,262.83,1.02,iter
91,,,2.9127,263.96,1.02,iter
92,,,2.9272,275.08,1.01,iter
93,,,2.9652,264.18,1.01,iter
94,,,2.9037,238.43,1.01,iter
95,,,2.8687,251.34,1.02,iter
96,,,2.969,256.12,1.02,iter
97,,,2.9002,256.79,1.02,iter
98,,,2.9122,265.26,1.01,iter
99,,,2.9482,274.51,1.01,iter
100,,,2.8492,265.6,1.0,iter
101,,,2.8489,255.14,1.0,iter
102,,,2.8469,246.48,1.01,iter
103,,,2.8148,250.98,1.01,iter
104,,,2.8636,264.14,1.01,iter
105,,,2.8452,258.41,1.01,iter
106,,,2.8171,258.56,1.01,iter
107,,,2.8814,257.04,1.01,iter
108,,,2.8584,256.53,1.01,iter
109,,,2.7867,254.16,1.01,iter
110,,,2.8031,266.02,1.01,iter
111,,,2.8248,264.38,1.0,iter
112,,,2.7873,252.91,1.01,iter
113,,,2.793,250.45,1.01,iter
114,,,2.8576,266.42,1.01,iter
115,,,2.7743,272.32,1.0,iter
116,,,2.7917,248.03,1.01,iter
117,,,2.7922,271.05,1.0,iter
118,,,2.7925,274.16,1.0,iter
119,,,2.7815,248.87,1.0,iter
120,,,2.7527,281.2,0.99,iter
121,,,2.8248,243.66,1.0,iter
122,,,2.8226,260.44,1.0,iter
123,,,2.8229,238.44,1.01,iter
124,,,2.7643,254.93,1.01,iter
125,,,2.8049,256.83,1.01,iter
126,,,2.7654,264.24,1.01,iter
127,,,2.7855,250.36,1.01,iter
128,,,2.7777,264.06,1.01,iter
129,,,2.7896,249.96,1.01,iter
130,,,2.7614,259.87,1.01,iter
131,,,2.7634,268.82,1.0,iter
132,,,2.7674,253.91,1.01,iter
133,,,2.7633,241.26,1.01,iter
134,,,2.77,249.91,1.02,iter
135,,,2.725,253.72,1.02,iter
136,,,2.6813,236.43,1.02,iter
137,,,2.7135,261.31,1.02,iter
138,,,2.684,247.79,1.02,iter
139,,,2.7161,252.08,1.02,iter
140,,,2.7264,243.29,1.03,iter
141,,,2.7085,247.68,1.03,iter
142,,,2.6864,253.58,1.03,iter
143,,,2.7385,253.65,1.03,iter
144,,,2.6506,254.37,1.03,iter
145,,,2.7252,240.71,1.03,iter
146,,,2.6568,237.83,1.04,iter
147,,,2.7176,254.63,1.04,iter
148,,,2.6405,235.87,1.04,iter
149,,,2.6647,246.35,1.04,iter
150,,,2.624,259.8,1.04,iter
151,,,2.6818,250.7,1.04,iter
152,,,2.6853,238.46,1.04,iter
153,,,2.7213,258.11,1.04,iter
154,,,2.665,268.67,1.03,iter
155,,,2.6746,231.45,1.04,iter
156,,,2.6581,251.34,1.04,iter
157,,,2.6927,230.46,1.05,iter
158,,,2.7307,240.51,1.05,iter
159,,,2.6418,256.5,1.05,iter
160,,,2.6365,261.24,1.04,iter
161,,,2.616,230.84,1.05,iter
162,,,2.6212,240.51,1.05,iter
163,,,2.6505,233.91,1.06,iter
164,,,2.6209,256.54,1.05,iter
165,,,2.6073,251.11,1.05,iter
166,,,2.6011,257.45,1.05,iter
167,,,2.669,242.48,1.05,iter
168,,,2.6115,259.46,1.05,iter
169,,,2.5895,246.86,1.05,iter
170,,,2.6415,246.79,1.05,iter
171,,,2.6078,249.45,1.05,iter
172,,,2.7409,260.17,1.04,iter
173,,,2.5981,245.27,1.04,iter
174,,,2.5938,247.91,1.04,iter
175,,,2.6007,246.54,1.04,iter
176,,,2.6382,251.08,1.04,iter
177,,,2.6472,228.87,1.05,iter
178,,,2.6077,244.92,1.05,iter
179,,,2.5879,245.97,1.05,iter
180,,,2.6065,258.4,1.05,iter
181,,,2.5393,264.61,1.04,iter
182,,,2.6259,261.13,1.04,iter
183,,,2.5969,253.0,1.04,iter
184,,,2.6549,255.6,1.03,iter
185,,,2.5958,264.59,1.03,iter
186,,,2.6165,265.43,1.02,iter
187,,,2.5875,257.91,1.02,iter
188,,,2.6224,258.66,1.02,iter
189,,,2.5707,243.04,1.02,iter
190,,,2.6137,250.78,1.03,iter
191,,,2.5924,265.82,1.02,iter
192,,,2.5233,343.47,0.99,iter
193,,,2.6038,346.18,0.97,iter
194,,,2.5617,288.94,0.96,iter
195,,,2.5461,306.16,0.95,iter
196,,,2.5701,265.71,0.95,iter
197,,,2.5512,257.03,0.96,iter
198,,,2.5199,247.55,0.97,iter
199,,,2.5532,244.69,0.98,iter
200,2.5193,2.534,,,,eval
200,,,2.5391,1401.69,0.9,iter
201,,,2.6218,256.56,0.91,iter
202,,,2.5959,260.01,0.92,iter
203,,,2.5608,251.88,0.93,iter
204,,,2.5761,257.88,0.94,iter
205,,,2.5118,256.06,0.95,iter
206,,,2.5138,246.69,0.96,iter
207,,,2.5343,252.48,0.96,iter
208,,,2.5701,269.59,0.96,iter
209,,,2.5984,259.67,0.97,iter
210,,,2.5953,241.59,0.98,iter
211,,,2.5818,270.87,0.98,iter
212,,,2.5078,267.19,0.98,iter
213,,,2.5372,252.11,0.98,iter
214,,,2.6174,247.38,0.99,iter
215,,,2.5589,256.69,0.99,iter
216,,,2.5895,261.62,0.99,iter
217,,,2.4811,268.31,0.99,iter
218,,,2.4485,277.85,0.98,iter
219,,,2.4557,262.09,0.98,iter
220,,,2.5254,275.25,0.98,iter
221,,,2.5517,277.33,0.98,iter
222,,,2.4891,267.91,0.97,iter
223,,,2.5185,273.35,0.97,iter
224,,,2.508,273.12,0.97,iter
225,,,2.5441,276.66,0.97,iter
226,,,2.5341,269.47,0.97,iter
227,,,2.4841,270.6,0.97,iter
228,,,2.4887,256.44,0.97,iter
229,,,2.5615,256.78,0.97,iter
230,,,2.5229,263.55,0.98,iter
231,,,2.4803,278.08,0.97,iter
232,,,2.5453,242.2,0.98,iter
233,,,2.4307,275.19,0.98,iter
234,,,2.4023,285.51,0.97,iter
235,,,2.4708,276.8,0.97,iter
236,,,2.4634,272.5,0.97,iter
237,,,2.4927,277.31,0.96,iter
238,,,2.446,263.42,0.97,iter
239,,,2.466,266.77,0.97,iter
240,,,2.5028,270.16,0.97,iter
241,,,2.4199,266.28,0.97,iter
242,,,2.4357,285.12,0.96,iter
243,,,2.5347,277.03,0.96,iter
244,,,2.429,268.6,0.96,iter
245,,,2.4353,268.59,0.96,iter
246,,,2.4293,276.19,0.96,iter
247,,,2.5041,272.85,0.96,iter
248,,,2.4609,271.95,0.96,iter
249,,,2.4061,279.16,0.95,iter
250,,,2.4365,268.76,0.96,iter
251,,,2.4892,292.78,0.95,iter
252,,,2.4309,264.09,0.95,iter
253,,,2.4566,266.68,0.95,iter
254,,,2.4942,258.0,0.96,iter
255,,,2.4284,254.6,0.97,iter
256,,,2.4453,274.96,0.96,iter
257,,,2.4162,284.65,0.96,iter
258,,,2.4602,270.66,0.96,iter
259,,,2.487,272.34,0.96,iter
260,,,2.4501,275.01,0.96,iter
261,,,2.4703,259.59,0.96,iter
262,,,2.4991,273.22,0.96,iter
263,,,2.4522,263.83,0.96,iter
264,,,2.4619,271.4,0.96,iter
265,,,2.4601,276.08,0.96,iter
266,,,2.4076,234.89,0.97,iter
267,,,2.5099,274.89,0.97,iter
268,,,2.4007,258.1,0.97,iter
269,,,2.4094,274.29,0.97,iter
270,,,2.3617,261.33,0.97,iter
271,,,2.4247,261.31,0.98,iter
272,,,2.3979,264.15,0.98,iter
273,,,2.4344,262.06,0.98,iter
274,,,2.467,284.18,0.97,iter
275,,,2.3979,261.59,0.97,iter
276,,,2.3762,262.96,0.97,iter
277,,,2.4008,260.02,0.98,iter
278,,,2.4031,262.69,0.98,iter
279,,,2.4017,247.7,0.99,iter
280,,,2.4196,264.79,0.98,iter
281,,,2.3941,259.1,0.99,iter
282,,,2.4349,266.13,0.99,iter
283,,,2.4566,270.08,0.98,iter
284,,,2.4008,249.24,0.99,iter
285,,,2.4128,261.23,0.99,iter
286,,,2.3378,264.52,0.99,iter
287,,,2.3272,269.0,0.99,iter
288,,,2.3326,253.51,0.99,iter
289,,,2.3495,265.6,0.99,iter
290,,,2.4043,267.84,0.99,iter
291,,,2.3914,256.95,0.99,iter
292,,,2.4326,269.75,0.99,iter
293,,,2.4095,257.94,0.99,iter
294,,,2.4021,271.12,0.99,iter
295,,,2.3635,248.71,0.99,iter
296,,,2.3425,242.19,1.0,iter
297,,,2.3472,258.11,1.0,iter
298,,,2.3981,253.48,1.0,iter
299,,,2.4135,257.8,1.0,iter
300,,,2.4327,250.13,1.01,iter
301,,,2.3913,230.03,1.02,iter
302,,,2.3687,223.9,1.03,iter
303,,,2.372,211.98,1.05,iter
304,,,2.3226,270.25,1.04,iter
305,,,2.3733,228.13,1.05,iter
306,,,2.4485,207.02,1.07,iter
307,,,2.3521,210.69,1.09,iter
308,,,2.2927,207.07,1.1,iter
309,,,2.3968,207.09,1.12,iter
310,,,2.3468,210.11,1.13,iter
311,,,2.3172,212.15,1.14,iter
312,,,2.3666,213.56,1.15,iter
