Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 0: loss 4.2961, time 1368.80ms, mfu -100.00%
iter 1: loss 4.2476, time 246.19ms, mfu -100.00%
iter 2: loss 4.3046, time 247.34ms, mfu -100.00%
iter 3: loss 4.2423, time 241.51ms, mfu -100.00%
iter 4: loss 4.2749, time 278.88ms, mfu -100.00%
iter 5: loss 4.2198, time 271.59ms, mfu 0.48%
iter 6: loss 4.2372, time 262.51ms, mfu 0.48%
iter 7: loss 4.2271, time 267.84ms, mfu 0.48%
iter 8: loss 4.2337, time 258.39ms, mfu 0.48%
iter 9: loss 4.2021, time 252.10ms, mfu 0.49%
iter 10: loss 4.1914, time 266.28ms, mfu 0.49%
iter 11: loss 4.1555, time 269.54ms, mfu 0.49%
iter 12: loss 4.1282, time 284.62ms, mfu 0.48%
iter 13: loss 4.1240, time 278.73ms, mfu 0.48%
iter 14: loss 4.1170, time 255.84ms, mfu 0.48%
iter 15: loss 4.1019, time 254.11ms, mfu 0.49%
iter 16: loss 4.0716, time 269.79ms, mfu 0.49%
iter 17: loss 4.0654, time 259.89ms, mfu 0.49%
iter 18: loss 4.0354, time 250.51ms, mfu 0.49%
iter 19: loss 4.0015, time 257.71ms, mfu 0.49%
iter 20: loss 3.9599, time 259.30ms, mfu 0.49%
iter 21: loss 3.9317, time 260.28ms, mfu 0.49%
iter 22: loss 3.9354, time 248.03ms, mfu 0.50%
iter 23: loss 3.8477, time 253.61ms, mfu 0.50%
iter 24: loss 3.8825, time 237.60ms, mfu 0.50%
iter 25: loss 3.7846, time 253.26ms, mfu 0.50%
iter 26: loss 3.7963, time 254.45ms, mfu 0.50%
iter 27: loss 3.7546, time 262.12ms, mfu 0.50%
iter 28: loss 3.7733, time 259.35ms, mfu 0.50%
iter 29: loss 3.7979, time 258.23ms, mfu 0.50%
iter 30: loss 3.6771, time 251.34ms, mfu 0.50%
iter 31: loss 3.6460, time 285.01ms, mfu 0.50%
iter 32: loss 3.6402, time 273.12ms, mfu 0.50%
iter 33: loss 3.7033, time 265.44ms, mfu 0.50%
iter 34: loss 3.5842, time 260.66ms, mfu 0.50%
iter 35: loss 3.5669, time 252.82ms, mfu 0.50%
iter 36: loss 3.5332, time 262.63ms, mfu 0.50%
iter 37: loss 3.5161, time 247.64ms, mfu 0.50%
iter 38: loss 3.5857, time 258.22ms, mfu 0.50%
iter 39: loss 3.5207, time 254.54ms, mfu 0.50%
iter 40: loss 3.5133, time 247.66ms, mfu 0.50%
iter 41: loss 3.5595, time 251.75ms, mfu 0.50%
iter 42: loss 3.4702, time 241.38ms, mfu 0.51%
iter 43: loss 3.4947, time 246.88ms, mfu 0.51%
iter 44: loss 3.4615, time 252.85ms, mfu 0.51%
iter 45: loss 3.4950, time 253.10ms, mfu 0.51%
iter 46: loss 3.4467, time 252.09ms, mfu 0.51%
iter 47: loss 3.4127, time 257.75ms, mfu 0.51%
iter 48: loss 3.4176, time 253.13ms, mfu 0.51%
iter 49: loss 3.4537, time 246.43ms, mfu 0.51%
iter 50: loss 3.5132, time 256.01ms, mfu 0.51%
iter 51: loss 3.3594, time 260.25ms, mfu 0.51%
iter 52: loss 3.3987, time 251.77ms, mfu 0.51%
iter 53: loss 3.4602, time 262.69ms, mfu 0.51%
iter 54: loss 3.4882, time 268.07ms, mfu 0.51%
iter 55: loss 3.3565, time 253.16ms, mfu 0.51%
iter 56: loss 3.3918, time 243.22ms, mfu 0.51%
iter 57: loss 3.3399, time 245.15ms, mfu 0.51%
iter 58: loss 3.3938, time 244.01ms, mfu 0.51%
iter 59: loss 3.4938, time 256.75ms, mfu 0.51%
iter 60: loss 3.4029, time 255.73ms, mfu 0.51%
iter 61: loss 3.3016, time 251.70ms, mfu 0.51%
iter 62: loss 3.3097, time 247.31ms, mfu 0.51%
iter 63: loss 3.3746, time 256.20ms, mfu 0.51%
iter 64: loss 3.3078, time 261.96ms, mfu 0.51%
iter 65: loss 3.2780, time 257.29ms, mfu 0.51%
iter 66: loss 3.2309, time 238.94ms, mfu 0.51%
iter 67: loss 3.3046, time 252.73ms, mfu 0.51%
iter 68: loss 3.2081, time 250.76ms, mfu 0.51%
iter 69: loss 3.2909, time 254.37ms, mfu 0.51%
iter 70: loss 3.2837, time 234.83ms, mfu 0.52%
iter 71: loss 3.2627, time 246.48ms, mfu 0.52%
iter 72: loss 3.2692, time 261.19ms, mfu 0.52%
iter 73: loss 3.2016, time 245.61ms, mfu 0.52%
iter 74: loss 3.2305, time 238.49ms, mfu 0.52%
iter 75: loss 3.1850, time 252.75ms, mfu 0.52%
iter 76: loss 3.0874, time 277.63ms, mfu 0.51%
iter 77: loss 3.1954, time 246.76ms, mfu 0.52%
iter 78: loss 3.1152, time 257.18ms, mfu 0.51%
iter 79: loss 3.1370, time 246.36ms, mfu 0.52%
iter 80: loss 3.2630, time 263.71ms, mfu 0.51%
iter 81: loss 3.1274, time 224.44ms, mfu 0.52%
iter 82: loss 3.0863, time 254.83ms, mfu 0.52%
iter 83: loss 3.1715, time 239.96ms, mfu 0.52%
iter 84: loss 3.1369, time 260.56ms, mfu 0.52%
iter 85: loss 3.0754, time 240.88ms, mfu 0.52%
iter 86: loss 3.0933, time 270.76ms, mfu 0.52%
iter 87: loss 3.1589, time 238.52ms, mfu 0.52%
iter 88: loss 3.0634, time 251.73ms, mfu 0.52%
iter 89: loss 3.0888, time 236.63ms, mfu 0.52%
iter 90: loss 3.0386, time 245.18ms, mfu 0.52%
iter 91: loss 2.9780, time 235.42ms, mfu 0.53%
iter 92: loss 2.9640, time 251.95ms, mfu 0.52%
iter 93: loss 2.9860, time 260.83ms, mfu 0.52%
iter 94: loss 2.9946, time 258.44ms, mfu 0.52%
iter 95: loss 2.9667, time 249.57ms, mfu 0.52%
iter 96: loss 3.0390, time 254.07ms, mfu 0.52%
iter 97: loss 3.0071, time 252.17ms, mfu 0.52%
iter 98: loss 2.9689, time 239.47ms, mfu 0.52%
iter 99: loss 3.0206, time 251.05ms, mfu 0.52%
iter 100: loss 2.9594, time 236.73ms, mfu 0.52%
iter 101: loss 3.0523, time 243.39ms, mfu 0.52%
iter 102: loss 2.9169, time 250.77ms, mfu 0.52%
iter 103: loss 2.9644, time 254.63ms, mfu 0.52%
iter 104: loss 2.9291, time 249.77ms, mfu 0.52%
iter 105: loss 2.9195, time 257.61ms, mfu 0.52%
iter 106: loss 2.9138, time 235.72ms, mfu 0.52%
iter 107: loss 2.9729, time 240.14ms, mfu 0.52%
iter 108: loss 2.8945, time 242.34ms, mfu 0.53%
iter 109: loss 2.8409, time 250.89ms, mfu 0.53%
iter 110: loss 2.8412, time 249.69ms, mfu 0.52%
iter 111: loss 2.9335, time 239.14ms, mfu 0.53%
iter 112: loss 2.8920, time 262.93ms, mfu 0.52%
iter 113: loss 2.8455, time 256.37ms, mfu 0.52%
iter 114: loss 2.8839, time 252.99ms, mfu 0.52%
iter 115: loss 2.8157, time 235.67ms, mfu 0.52%
iter 116: loss 2.8807, time 252.31ms, mfu 0.52%
iter 117: loss 2.8220, time 263.12ms, mfu 0.52%
iter 118: loss 2.7175, time 251.02ms, mfu 0.52%
iter 119: loss 2.8718, time 250.65ms, mfu 0.52%
iter 120: loss 2.8867, time 239.57ms, mfu 0.52%
iter 121: loss 2.7938, time 247.88ms, mfu 0.52%
iter 122: loss 2.8011, time 255.52ms, mfu 0.52%
iter 123: loss 2.7642, time 265.04ms, mfu 0.52%
iter 124: loss 2.8452, time 254.56ms, mfu 0.52%
iter 125: loss 2.8349, time 252.03ms, mfu 0.52%
iter 126: loss 2.8585, time 253.56ms, mfu 0.52%
iter 127: loss 2.8375, time 261.04ms, mfu 0.51%
iter 128: loss 2.8200, time 238.55ms, mfu 0.52%
iter 129: loss 2.8186, time 246.03ms, mfu 0.52%
iter 130: loss 2.8574, time 246.98ms, mfu 0.52%
iter 131: loss 2.8601, time 248.04ms, mfu 0.52%
iter 132: loss 2.7997, time 244.54ms, mfu 0.52%
iter 133: loss 2.7480, time 243.03ms, mfu 0.52%
iter 134: loss 2.8018, time 240.54ms, mfu 0.52%
iter 135: loss 2.7817, time 246.54ms, mfu 0.52%
iter 136: loss 2.7906, time 240.78ms, mfu 0.53%
iter 137: loss 2.7105, time 242.55ms, mfu 0.53%
iter 138: loss 2.8337, time 244.76ms, mfu 0.53%
iter 139: loss 2.8033, time 234.55ms, mfu 0.53%
iter 140: loss 2.7282, time 225.04ms, mfu 0.53%
iter 141: loss 2.7781, time 260.85ms, mfu 0.53%
iter 142: loss 2.8133, time 231.31ms, mfu 0.53%
iter 143: loss 2.7309, time 223.53ms, mfu 0.54%
iter 144: loss 2.7016, time 244.11ms, mfu 0.54%
iter 145: loss 2.8460, time 247.91ms, mfu 0.54%
iter 146: loss 2.7818, time 248.71ms, mfu 0.53%
iter 147: loss 2.7971, time 243.23ms, mfu 0.53%
