Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1704, val loss 4.1670
iter 0: loss 4.1692, time 1809.01ms, mfu -100.00%
iter 1: loss 4.1640, time 308.11ms, mfu -100.00%
iter 2: loss 4.1707, time 306.94ms, mfu -100.00%
iter 3: loss 4.1596, time 306.36ms, mfu -100.00%
iter 4: loss 4.1716, time 323.18ms, mfu -100.00%
iter 5: loss 4.1595, time 297.17ms, mfu 0.23%
iter 6: loss 4.1738, time 306.92ms, mfu 0.23%
iter 7: loss 4.1505, time 314.76ms, mfu 0.23%
iter 8: loss 4.1777, time 319.14ms, mfu 0.23%
iter 9: loss 4.1451, time 321.82ms, mfu 0.22%
iter 10: loss 4.1503, time 350.36ms, mfu 0.22%
iter 11: loss 4.1553, time 327.72ms, mfu 0.22%
iter 12: loss 4.1317, time 319.48ms, mfu 0.22%
iter 13: loss 4.1360, time 354.62ms, mfu 0.22%
iter 14: loss 4.1258, time 361.15ms, mfu 0.21%
iter 15: loss 4.1275, time 322.42ms, mfu 0.21%
iter 16: loss 4.1147, time 348.96ms, mfu 0.21%
iter 17: loss 4.0909, time 313.37ms, mfu 0.21%
iter 18: loss 4.0976, time 298.44ms, mfu 0.21%
iter 19: loss 4.0788, time 379.07ms, mfu 0.21%
iter 20: loss 4.0795, time 336.44ms, mfu 0.21%
iter 21: loss 4.0720, time 340.58ms, mfu 0.21%
iter 22: loss 4.0622, time 317.13ms, mfu 0.21%
iter 23: loss 4.0523, time 320.07ms, mfu 0.21%
iter 24: loss 4.0460, time 322.33ms, mfu 0.21%
iter 25: loss 4.0177, time 329.30ms, mfu 0.21%
iter 26: loss 4.0180, time 317.14ms, mfu 0.21%
iter 27: loss 3.9849, time 323.19ms, mfu 0.21%
iter 28: loss 4.0089, time 326.21ms, mfu 0.21%
iter 29: loss 3.9895, time 317.07ms, mfu 0.21%
iter 30: loss 4.0030, time 341.66ms, mfu 0.21%
iter 31: loss 3.9535, time 307.44ms, mfu 0.21%
iter 32: loss 3.9488, time 282.43ms, mfu 0.21%
iter 33: loss 3.9202, time 372.86ms, mfu 0.21%
iter 34: loss 3.9052, time 307.87ms, mfu 0.21%
iter 35: loss 3.9472, time 292.75ms, mfu 0.21%
iter 36: loss 3.8996, time 322.03ms, mfu 0.21%
iter 37: loss 3.8972, time 338.32ms, mfu 0.21%
iter 38: loss 3.8956, time 294.74ms, mfu 0.21%
iter 39: loss 3.8672, time 321.39ms, mfu 0.21%
iter 40: loss 3.8766, time 292.18ms, mfu 0.22%
iter 41: loss 3.8884, time 299.59ms, mfu 0.22%
iter 42: loss 3.8154, time 286.52ms, mfu 0.22%
iter 43: loss 3.8335, time 313.80ms, mfu 0.22%
iter 44: loss 3.8378, time 294.50ms, mfu 0.22%
iter 45: loss 3.8060, time 286.60ms, mfu 0.22%
iter 46: loss 3.8097, time 315.18ms, mfu 0.22%
iter 47: loss 3.8262, time 353.87ms, mfu 0.22%
iter 48: loss 3.7731, time 257.33ms, mfu 0.22%
iter 49: loss 3.7848, time 257.26ms, mfu 0.23%
iter 50: loss 3.7776, time 258.26ms, mfu 0.23%
iter 51: loss 3.7594, time 277.85ms, mfu 0.23%
iter 52: loss 3.7372, time 275.94ms, mfu 0.23%
iter 53: loss 3.7498, time 310.72ms, mfu 0.23%
iter 54: loss 3.7426, time 301.80ms, mfu 0.23%
iter 55: loss 3.7117, time 276.95ms, mfu 0.23%
iter 56: loss 3.7178, time 293.91ms, mfu 0.23%
iter 57: loss 3.7477, time 352.20ms, mfu 0.23%
iter 58: loss 3.7015, time 256.94ms, mfu 0.23%
iter 59: loss 3.7745, time 281.60ms, mfu 0.23%
iter 60: loss 3.7241, time 292.08ms, mfu 0.23%
