Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2847, val loss 4.2795
iter 0: loss 4.3062, time 1493.51ms, mfu -100.00%
iter 1: loss 4.2506, time 266.86ms, mfu -100.00%
iter 2: loss 4.2989, time 272.28ms, mfu -100.00%
iter 3: loss 4.2578, time 262.79ms, mfu -100.00%
iter 4: loss 4.2521, time 279.42ms, mfu -100.00%
iter 5: loss 4.2273, time 249.11ms, mfu 0.52%
iter 6: loss 4.2271, time 273.10ms, mfu 0.52%
iter 7: loss 4.2292, time 272.94ms, mfu 0.51%
iter 8: loss 4.2204, time 266.01ms, mfu 0.51%
iter 9: loss 4.1867, time 236.24ms, mfu 0.51%
iter 10: loss 4.1837, time 280.40ms, mfu 0.51%
iter 11: loss 4.1456, time 268.19ms, mfu 0.51%
iter 12: loss 4.1397, time 279.81ms, mfu 0.50%
iter 13: loss 4.1107, time 257.89ms, mfu 0.50%
iter 14: loss 4.0932, time 265.82ms, mfu 0.50%
iter 15: loss 4.0851, time 247.22ms, mfu 0.50%
iter 16: loss 4.0433, time 264.68ms, mfu 0.50%
iter 17: loss 4.0280, time 263.90ms, mfu 0.50%
iter 18: loss 3.9853, time 266.25ms, mfu 0.50%
iter 19: loss 3.9675, time 257.92ms, mfu 0.50%
iter 20: loss 3.9266, time 266.89ms, mfu 0.50%
iter 21: loss 3.8935, time 264.80ms, mfu 0.50%
iter 22: loss 3.8839, time 264.43ms, mfu 0.50%
iter 23: loss 3.8002, time 240.42ms, mfu 0.50%
iter 24: loss 3.8097, time 253.69ms, mfu 0.50%
iter 25: loss 3.7320, time 255.16ms, mfu 0.50%
iter 26: loss 3.7224, time 260.04ms, mfu 0.50%
iter 27: loss 3.7098, time 253.47ms, mfu 0.50%
iter 28: loss 3.7268, time 243.39ms, mfu 0.51%
iter 29: loss 3.7532, time 280.27ms, mfu 0.50%
iter 30: loss 3.6281, time 262.94ms, mfu 0.50%
iter 31: loss 3.6014, time 275.29ms, mfu 0.50%
iter 32: loss 3.5984, time 255.44ms, mfu 0.50%
iter 33: loss 3.6692, time 262.71ms, mfu 0.50%
iter 34: loss 3.5252, time 247.51ms, mfu 0.50%
iter 35: loss 3.5202, time 277.42ms, mfu 0.50%
iter 36: loss 3.4863, time 236.21ms, mfu 0.50%
iter 37: loss 3.4861, time 274.68ms, mfu 0.50%
iter 38: loss 3.5452, time 259.97ms, mfu 0.50%
iter 39: loss 3.4816, time 257.28ms, mfu 0.50%
iter 40: loss 3.4768, time 232.84ms, mfu 0.51%
iter 41: loss 3.5289, time 293.91ms, mfu 0.50%
iter 42: loss 3.4324, time 287.05ms, mfu 0.49%
iter 43: loss 3.4634, time 304.32ms, mfu 0.49%
iter 44: loss 3.4178, time 267.41ms, mfu 0.49%
iter 45: loss 3.4500, time 274.58ms, mfu 0.49%
iter 46: loss 3.4163, time 283.52ms, mfu 0.48%
iter 47: loss 3.3808, time 265.48ms, mfu 0.48%
iter 48: loss 3.3843, time 279.68ms, mfu 0.48%
iter 49: loss 3.4141, time 228.45ms, mfu 0.49%
iter 50: loss 3.4627, time 255.48ms, mfu 0.49%
iter 51: loss 3.3217, time 268.90ms, mfu 0.49%
iter 52: loss 3.3595, time 262.07ms, mfu 0.49%
iter 53: loss 3.4141, time 276.68ms, mfu 0.49%
iter 54: loss 3.4446, time 273.12ms, mfu 0.49%
iter 55: loss 3.3118, time 262.46ms, mfu 0.49%
iter 56: loss 3.3366, time 263.22ms, mfu 0.49%
iter 57: loss 3.2862, time 259.85ms, mfu 0.49%
iter 58: loss 3.3483, time 249.64ms, mfu 0.49%
iter 59: loss 3.4372, time 276.32ms, mfu 0.49%
iter 60: loss 3.3141, time 283.78ms, mfu 0.49%
iter 61: loss 3.2405, time 271.36ms, mfu 0.49%
iter 62: loss 3.2357, time 264.22ms, mfu 0.49%
iter 63: loss 3.3025, time 278.30ms, mfu 0.48%
iter 64: loss 3.2264, time 277.53ms, mfu 0.48%
iter 65: loss 3.2025, time 283.57ms, mfu 0.48%
iter 66: loss 3.1564, time 273.56ms, mfu 0.48%
iter 67: loss 3.2280, time 268.29ms, mfu 0.48%
iter 68: loss 3.1226, time 260.86ms, mfu 0.48%
iter 69: loss 3.2066, time 281.01ms, mfu 0.48%
iter 70: loss 3.2326, time 283.27ms, mfu 0.48%
iter 71: loss 3.1958, time 270.45ms, mfu 0.48%
iter 72: loss 3.1829, time 267.96ms, mfu 0.48%
iter 73: loss 3.1126, time 275.32ms, mfu 0.48%
iter 74: loss 3.1348, time 276.07ms, mfu 0.48%
iter 75: loss 3.1073, time 267.07ms, mfu 0.48%
iter 76: loss 3.0005, time 282.02ms, mfu 0.48%
iter 77: loss 3.1174, time 283.93ms, mfu 0.47%
iter 78: loss 3.0205, time 269.61ms, mfu 0.48%
iter 79: loss 3.0525, time 267.43ms, mfu 0.48%
iter 80: loss 3.1968, time 272.28ms, mfu 0.48%
iter 81: loss 3.0431, time 268.59ms, mfu 0.48%
iter 82: loss 3.0275, time 267.50ms, mfu 0.48%
iter 83: loss 3.0822, time 264.52ms, mfu 0.48%
iter 84: loss 3.0810, time 254.59ms, mfu 0.48%
iter 85: loss 3.0233, time 264.43ms, mfu 0.48%
iter 86: loss 3.0289, time 276.71ms, mfu 0.48%
