iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.2845,4.2794,,,,eval
5,,,4.2589,247.19,1.05,iter
6,,,4.2386,257.25,1.05,iter
7,,,4.218,273.81,1.04,iter
8,,,4.1969,291.37,1.02,iter
9,,,4.2147,272.98,1.01,iter
10,,,4.1949,228.03,1.03,iter
11,,,4.1638,230.38,1.04,iter
12,,,4.125,217.7,1.05,iter
13,,,4.1377,223.74,1.06,iter
14,,,4.0988,207.96,1.08,iter
15,,,4.1072,224.66,1.09,iter
16,,,4.0606,224.25,1.1,iter
17,,,4.0548,231.42,1.1,iter
18,,,3.997,240.53,1.1,iter
19,,,4.0037,233.06,1.1,iter
20,,,3.9585,228.7,1.1,iter
21,,,3.9401,240.54,1.1,iter
22,,,3.9079,232.57,1.1,iter
23,,,3.864,222.72,1.11,iter
24,,,3.863,222.06,1.11,iter
25,,,3.8321,223.13,1.12,iter
26,,,3.8088,211.37,1.13,iter
27,,,3.7511,227.81,1.13,iter
28,,,3.7765,216.15,1.14,iter
29,,,3.7406,275.44,1.12,iter
30,,,3.7574,230.58,1.12,iter
31,,,3.6652,241.44,1.11,iter
32,,,3.7137,234.06,1.11,iter
33,,,3.6476,234.56,1.11,iter
34,,,3.6063,233.63,1.11,iter
35,,,3.6219,226.42,1.12,iter
36,,,3.6018,223.15,1.12,iter
37,,,3.5686,218.21,1.13,iter
38,,,3.6086,232.55,1.13,iter
39,,,3.5855,217.39,1.13,iter
40,,,3.5151,216.9,1.14,iter
41,,,3.4865,233.14,1.14,iter
42,,,3.5004,220.81,1.14,iter
43,,,3.5664,215.67,1.15,iter
44,,,3.4916,229.62,1.15,iter
45,,,3.5156,235.39,1.14,iter
46,,,3.4645,225.1,1.14,iter
47,,,3.4147,233.37,1.14,iter
48,,,3.4313,219.32,1.14,iter
49,,,3.4105,226.06,1.14,iter
50,,,3.4641,215.14,1.15,iter
51,,,3.3761,212.33,1.16,iter
52,,,3.4244,215.57,1.16,iter
53,,,3.3893,226.38,1.16,iter
54,,,3.4434,237.12,1.15,iter
55,,,3.383,238.04,1.15,iter
56,,,3.3457,237.27,1.14,iter
57,,,3.4227,229.22,1.14,iter
58,,,3.3186,213.51,1.15,iter
59,,,3.3281,218.17,1.15,iter
60,,,3.3617,220.94,1.16,iter
61,,,3.3057,229.43,1.15,iter
62,,,3.3293,220.52,1.16,iter
63,,,3.3004,218.97,1.16,iter
64,,,3.3008,218.45,1.16,iter
65,,,3.2506,227.52,1.16,iter
66,,,3.2474,226.89,1.16,iter
67,,,3.2681,237.41,1.15,iter
68,,,3.2243,231.66,1.15,iter
69,,,3.2584,222.84,1.15,iter
70,,,3.1791,234.52,1.15,iter
71,,,3.2556,229.09,1.14,iter
72,,,3.1765,226.21,1.14,iter
73,,,3.1727,232.33,1.14,iter
74,,,3.1428,219.34,1.15,iter
75,,,3.147,222.07,1.15,iter
76,,,3.1266,214.45,1.15,iter
77,,,3.1255,215.47,1.16,iter
78,,,3.1063,219.57,1.16,iter
79,,,3.2105,237.43,1.16,iter
80,,,3.1397,220.62,1.16,iter
81,,,3.0413,218.48,1.16,iter
82,,,3.1172,227.03,1.16,iter
83,,,3.1282,243.56,1.15,iter
84,,,3.0358,234.22,1.15,iter
85,,,3.0988,232.22,1.14,iter
86,,,3.0333,222.15,1.15,iter
87,,,3.0145,217.6,1.15,iter
88,,,3.0067,234.59,1.15,iter
89,,,3.0114,222.43,1.15,iter
90,,,3.0542,230.6,1.15,iter
91,,,2.9872,232.34,1.14,iter
92,,,2.9962,227.09,1.14,iter
93,,,3.0206,231.0,1.14,iter
94,,,2.9763,231.72,1.14,iter
95,,,2.9353,229.49,1.14,iter
96,,,3.0386,227.51,1.14,iter
97,,,2.9574,235.92,1.13,iter
98,,,2.9814,224.96,1.14,iter
99,,,3.0092,222.98,1.14,iter
100,,,2.9031,230.83,1.14,iter
101,,,2.9131,222.91,1.14,iter
102,,,2.9166,210.28,1.15,iter
103,,,2.8793,221.7,1.15,iter
104,,,2.9376,255.41,1.14,iter
105,,,2.9063,250.92,1.13,iter
106,,,2.8863,263.69,1.11,iter
107,,,2.936,281.87,1.09,iter
108,,,2.9051,289.59,1.07,iter
109,,,2.8474,231.35,1.08,iter
110,,,2.8508,222.15,1.09,iter
111,,,2.8746,226.67,1.09,iter
112,,,2.8407,229.9,1.1,iter
113,,,2.841,266.94,1.09,iter
114,,,2.9149,233.11,1.09,iter
115,,,2.8334,231.98,1.09,iter
116,,,2.8442,226.01,1.1,iter
117,,,2.836,247.75,1.09,iter
118,,,2.8497,223.98,1.1,iter
119,,,2.8334,231.29,1.1,iter
120,,,2.8127,228.65,1.1,iter
121,,,2.8713,221.73,1.11,iter
122,,,2.8663,233.48,1.11,iter
123,,,2.8723,217.17,1.12,iter
124,,,2.8269,237.37,1.12,iter
125,,,2.8489,229.68,1.12,iter
126,,,2.8235,229.82,1.12,iter
127,,,2.8394,221.25,1.12,iter
128,,,2.8247,229.36,1.13,iter
129,,,2.8454,222.14,1.13,iter
130,,,2.8197,221.82,1.13,iter
131,,,2.8198,239.32,1.13,iter
132,,,2.8108,229.4,1.13,iter
133,,,2.7966,221.71,1.13,iter
134,,,2.8198,233.26,1.13,iter
135,,,2.7778,224.34,1.13,iter
136,,,2.7279,231.36,1.13,iter
137,,,2.7755,224.69,1.14,iter
138,,,2.72,221.5,1.14,iter
139,,,2.7673,230.64,1.14,iter
140,,,2.7633,247.12,1.13,iter
141,,,2.7503,238.93,1.12,iter
142,,,2.7347,232.3,1.12,iter
143,,,2.7968,224.87,1.13,iter
144,,,2.6902,224.91,1.13,iter
145,,,2.7683,217.2,1.14,iter
146,,,2.6967,229.09,1.14,iter
147,,,2.774,261.28,1.12,iter
148,,,2.6777,229.15,1.12,iter
149,,,2.7041,230.66,1.12,iter
150,,,2.6777,241.63,1.12,iter
151,,,2.7391,231.64,1.12,iter
152,,,2.7224,224.37,1.12,iter
153,,,2.7719,243.27,1.12,iter
154,,,2.7043,219.95,1.12,iter
155,,,2.7088,225.92,1.13,iter
156,,,2.6962,223.9,1.13,iter
157,,,2.7313,227.29,1.13,iter
158,,,2.7864,226.95,1.13,iter
159,,,2.6756,224.8,1.13,iter
160,,,2.6774,234.87,1.13,iter
161,,,2.6747,235.18,1.13,iter
162,,,2.6659,247.91,1.12,iter
163,,,2.6976,244.39,1.11,iter
164,,,2.6554,224.78,1.12,iter
165,,,2.6571,226.14,1.12,iter
166,,,2.6435,238.25,1.12,iter
167,,,2.7116,232.43,1.12,iter
168,,,2.6572,221.12,1.12,iter
169,,,2.627,223.4,1.13,iter
170,,,2.684,222.06,1.13,iter
171,,,2.6473,213.22,1.14,iter
172,,,2.784,218.53,1.15,iter
173,,,2.6441,223.4,1.15,iter
174,,,2.6332,217.39,1.15,iter
175,,,2.6444,217.27,1.16,iter
176,,,2.6749,224.95,1.16,iter
177,,,2.687,215.47,1.16,iter
178,,,2.6414,223.7,1.16,iter
179,,,2.6271,220.8,1.16,iter
180,,,2.6481,220.35,1.16,iter
181,,,2.5746,225.45,1.16,iter
182,,,2.6712,218.97,1.16,iter
183,,,2.6361,216.98,1.17,iter
184,,,2.6996,226.94,1.17,iter
185,,,2.6498,227.47,1.16,iter
186,,,2.6475,226.97,1.16,iter
187,,,2.6255,218.85,1.16,iter
188,,,2.6752,227.62,1.16,iter
189,,,2.6271,217.63,1.16,iter
190,,,2.6607,221.84,1.17,iter
191,,,2.6484,219.67,1.17,iter
192,,,2.5693,226.18,1.16,iter
193,,,2.6447,220.19,1.17,iter
194,,,2.6072,211.17,1.17,iter
195,,,2.5849,221.26,1.17,iter
196,,,2.5996,222.0,1.17,iter
197,,,2.5821,216.38,1.18,iter
198,,,2.5644,218.11,1.18,iter
199,,,2.6084,245.19,1.16,iter
200,2.5511,2.5598,,,,eval
200,,,2.596,1127.62,1.07,iter
201,,,2.6639,229.22,1.08,iter
202,,,2.6349,249.06,1.07,iter
203,,,2.61,233.99,1.08,iter
204,,,2.6155,237.09,1.08,iter
205,,,2.5547,239.86,1.08,iter
206,,,2.5588,228.15,1.09,iter
207,,,2.5735,207.03,1.1,iter
208,,,2.6136,209.98,1.12,iter
209,,,2.6548,222.04,1.12,iter
210,,,2.6323,217.26,1.13,iter
211,,,2.6243,219.74,1.13,iter
212,,,2.5512,238.61,1.13,iter
213,,,2.5749,237.23,1.13,iter
214,,,2.6566,230.12,1.13,iter
215,,,2.5986,235.9,1.12,iter
216,,,2.6336,239.65,1.12,iter
217,,,2.5232,240.92,1.12,iter
218,,,2.4984,240.66,1.11,iter
219,,,2.5101,224.53,1.12,iter
220,,,2.5644,240.82,1.11,iter
221,,,2.603,227.38,1.12,iter
222,,,2.5382,216.03,1.12,iter
223,,,2.5626,223.62,1.13,iter
224,,,2.5648,218.94,1.13,iter
225,,,2.5898,218.19,1.14,iter
226,,,2.586,214.85,1.15,iter
227,,,2.5251,225.1,1.15,iter
228,,,2.5296,219.53,1.15,iter
229,,,2.6072,226.76,1.15,iter
230,,,2.5659,232.8,1.15,iter
231,,,2.5185,224.56,1.15,iter
232,,,2.5806,216.48,1.15,iter
233,,,2.4785,213.74,1.16,iter
234,,,2.4482,232.14,1.15,iter
235,,,2.5267,221.95,1.16,iter
236,,,2.5153,226.77,1.15,iter
237,,,2.5528,224.18,1.16,iter
238,,,2.4865,217.96,1.16,iter
239,,,2.5126,237.56,1.15,iter
240,,,2.554,228.33,1.15,iter
241,,,2.4713,222.38,1.15,iter
242,,,2.481,234.62,1.15,iter
243,,,2.5696,218.39,1.15,iter
