Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2845, val loss 4.2794
iter 0: loss 4.2833, time 1556.23ms, mfu -100.00%
iter 1: loss 4.2576, time 264.38ms, mfu -100.00%
iter 2: loss 4.2779, time 255.99ms, mfu -100.00%
iter 3: loss 4.2519, time 248.26ms, mfu -100.00%
iter 4: loss 4.2556, time 237.46ms, mfu -100.00%
iter 5: loss 4.2589, time 247.19ms, mfu 1.05%
iter 6: loss 4.2386, time 257.25ms, mfu 1.05%
iter 7: loss 4.2180, time 273.81ms, mfu 1.04%
iter 8: loss 4.1969, time 291.37ms, mfu 1.02%
iter 9: loss 4.2147, time 272.98ms, mfu 1.01%
iter 10: loss 4.1949, time 228.03ms, mfu 1.03%
iter 11: loss 4.1638, time 230.38ms, mfu 1.04%
iter 12: loss 4.1250, time 217.70ms, mfu 1.05%
iter 13: loss 4.1377, time 223.74ms, mfu 1.06%
iter 14: loss 4.0988, time 207.96ms, mfu 1.08%
iter 15: loss 4.1072, time 224.66ms, mfu 1.09%
iter 16: loss 4.0606, time 224.25ms, mfu 1.10%
iter 17: loss 4.0548, time 231.42ms, mfu 1.10%
iter 18: loss 3.9970, time 240.53ms, mfu 1.10%
iter 19: loss 4.0037, time 233.06ms, mfu 1.10%
iter 20: loss 3.9585, time 228.70ms, mfu 1.10%
iter 21: loss 3.9401, time 240.54ms, mfu 1.10%
iter 22: loss 3.9079, time 232.57ms, mfu 1.10%
iter 23: loss 3.8640, time 222.72ms, mfu 1.11%
iter 24: loss 3.8630, time 222.06ms, mfu 1.11%
iter 25: loss 3.8321, time 223.13ms, mfu 1.12%
iter 26: loss 3.8088, time 211.37ms, mfu 1.13%
iter 27: loss 3.7511, time 227.81ms, mfu 1.13%
iter 28: loss 3.7765, time 216.15ms, mfu 1.14%
iter 29: loss 3.7406, time 275.44ms, mfu 1.12%
iter 30: loss 3.7574, time 230.58ms, mfu 1.12%
iter 31: loss 3.6652, time 241.44ms, mfu 1.11%
iter 32: loss 3.7137, time 234.06ms, mfu 1.11%
iter 33: loss 3.6476, time 234.56ms, mfu 1.11%
iter 34: loss 3.6063, time 233.63ms, mfu 1.11%
iter 35: loss 3.6219, time 226.42ms, mfu 1.12%
iter 36: loss 3.6018, time 223.15ms, mfu 1.12%
iter 37: loss 3.5686, time 218.21ms, mfu 1.13%
iter 38: loss 3.6086, time 232.55ms, mfu 1.13%
iter 39: loss 3.5855, time 217.39ms, mfu 1.13%
iter 40: loss 3.5151, time 216.90ms, mfu 1.14%
iter 41: loss 3.4865, time 233.14ms, mfu 1.14%
iter 42: loss 3.5004, time 220.81ms, mfu 1.14%
iter 43: loss 3.5664, time 215.67ms, mfu 1.15%
iter 44: loss 3.4916, time 229.62ms, mfu 1.15%
iter 45: loss 3.5156, time 235.39ms, mfu 1.14%
iter 46: loss 3.4645, time 225.10ms, mfu 1.14%
iter 47: loss 3.4147, time 233.37ms, mfu 1.14%
iter 48: loss 3.4313, time 219.32ms, mfu 1.14%
iter 49: loss 3.4105, time 226.06ms, mfu 1.14%
iter 50: loss 3.4641, time 215.14ms, mfu 1.15%
iter 51: loss 3.3761, time 212.33ms, mfu 1.16%
iter 52: loss 3.4244, time 215.57ms, mfu 1.16%
iter 53: loss 3.3893, time 226.38ms, mfu 1.16%
iter 54: loss 3.4434, time 237.12ms, mfu 1.15%
iter 55: loss 3.3830, time 238.04ms, mfu 1.15%
iter 56: loss 3.3457, time 237.27ms, mfu 1.14%
iter 57: loss 3.4227, time 229.22ms, mfu 1.14%
iter 58: loss 3.3186, time 213.51ms, mfu 1.15%
iter 59: loss 3.3281, time 218.17ms, mfu 1.15%
iter 60: loss 3.3617, time 220.94ms, mfu 1.16%
iter 61: loss 3.3057, time 229.43ms, mfu 1.15%
iter 62: loss 3.3293, time 220.52ms, mfu 1.16%
iter 63: loss 3.3004, time 218.97ms, mfu 1.16%
iter 64: loss 3.3008, time 218.45ms, mfu 1.16%
iter 65: loss 3.2506, time 227.52ms, mfu 1.16%
iter 66: loss 3.2474, time 226.89ms, mfu 1.16%
iter 67: loss 3.2681, time 237.41ms, mfu 1.15%
iter 68: loss 3.2243, time 231.66ms, mfu 1.15%
iter 69: loss 3.2584, time 222.84ms, mfu 1.15%
iter 70: loss 3.1791, time 234.52ms, mfu 1.15%
iter 71: loss 3.2556, time 229.09ms, mfu 1.14%
iter 72: loss 3.1765, time 226.21ms, mfu 1.14%
