Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1704, val loss 4.1670
iter 0: loss 4.1702, time 1633.12ms, mfu -100.00%
iter 1: loss 4.1663, time 284.84ms, mfu -100.00%
iter 2: loss 4.1651, time 278.28ms, mfu -100.00%
iter 3: loss 4.1573, time 288.11ms, mfu -100.00%
iter 4: loss 4.1692, time 297.45ms, mfu -100.00%
iter 5: loss 4.1623, time 282.62ms, mfu 0.24%
iter 6: loss 4.1767, time 296.50ms, mfu 0.24%
iter 7: loss 4.1501, time 296.06ms, mfu 0.24%
iter 8: loss 4.1775, time 289.83ms, mfu 0.24%
iter 9: loss 4.1532, time 274.93ms, mfu 0.24%
iter 10: loss 4.1501, time 285.68ms, mfu 0.24%
iter 11: loss 4.1652, time 281.24ms, mfu 0.24%
iter 12: loss 4.1367, time 268.07ms, mfu 0.24%
iter 13: loss 4.1441, time 279.27ms, mfu 0.24%
iter 14: loss 4.1350, time 265.37ms, mfu 0.24%
iter 15: loss 4.1301, time 329.16ms, mfu 0.24%
iter 16: loss 4.1227, time 293.12ms, mfu 0.24%
iter 17: loss 4.1018, time 323.37ms, mfu 0.23%
iter 18: loss 4.1132, time 288.45ms, mfu 0.23%
iter 19: loss 4.0903, time 286.13ms, mfu 0.24%
iter 20: loss 4.0932, time 289.90ms, mfu 0.24%
iter 21: loss 4.0831, time 267.68ms, mfu 0.24%
iter 22: loss 4.0790, time 296.56ms, mfu 0.24%
iter 23: loss 4.0678, time 286.43ms, mfu 0.24%
iter 24: loss 4.0681, time 287.90ms, mfu 0.24%
iter 25: loss 4.0415, time 271.46ms, mfu 0.24%
iter 26: loss 4.0414, time 260.60ms, mfu 0.24%
iter 27: loss 4.0093, time 261.02ms, mfu 0.24%
iter 28: loss 4.0385, time 262.01ms, mfu 0.24%
iter 29: loss 4.0176, time 321.32ms, mfu 0.24%
iter 30: loss 4.0263, time 299.67ms, mfu 0.24%
iter 31: loss 3.9794, time 273.22ms, mfu 0.24%
iter 32: loss 3.9737, time 274.30ms, mfu 0.24%
iter 33: loss 3.9496, time 271.41ms, mfu 0.24%
iter 34: loss 3.9407, time 265.56ms, mfu 0.24%
iter 35: loss 3.9755, time 260.93ms, mfu 0.24%
iter 36: loss 3.9306, time 275.02ms, mfu 0.24%
iter 37: loss 3.9246, time 316.55ms, mfu 0.24%
iter 38: loss 3.9252, time 246.73ms, mfu 0.25%
iter 39: loss 3.8963, time 259.87ms, mfu 0.25%
iter 40: loss 3.9083, time 253.09ms, mfu 0.25%
iter 41: loss 3.9123, time 264.50ms, mfu 0.25%
iter 42: loss 3.8488, time 283.64ms, mfu 0.25%
iter 43: loss 3.8595, time 275.54ms, mfu 0.25%
iter 44: loss 3.8655, time 270.01ms, mfu 0.25%
iter 45: loss 3.8318, time 292.66ms, mfu 0.25%
iter 46: loss 3.8398, time 295.60ms, mfu 0.25%
iter 47: loss 3.8503, time 276.53ms, mfu 0.25%
iter 48: loss 3.7999, time 252.66ms, mfu 0.25%
iter 49: loss 3.8094, time 274.57ms, mfu 0.25%
iter 50: loss 3.7987, time 257.40ms, mfu 0.25%
iter 51: loss 3.7809, time 278.16ms, mfu 0.25%
iter 52: loss 3.7604, time 249.83ms, mfu 0.25%
iter 53: loss 3.7720, time 246.64ms, mfu 0.25%
iter 54: loss 3.7624, time 362.14ms, mfu 0.25%
iter 55: loss 3.7337, time 330.29ms, mfu 0.24%
iter 56: loss 3.7424, time 303.87ms, mfu 0.24%
iter 57: loss 3.7682, time 314.93ms, mfu 0.24%
iter 58: loss 3.7210, time 338.34ms, mfu 0.23%
iter 59: loss 3.7949, time 330.41ms, mfu 0.23%
iter 60: loss 3.7446, time 321.70ms, mfu 0.23%
