Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs16_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1702, val loss 4.1669
iter 0: loss 4.1749, time 1295.34ms, mfu -100.00%
iter 1: loss 4.1659, time 222.62ms, mfu -100.00%
iter 2: loss 4.1685, time 237.25ms, mfu -100.00%
iter 3: loss 4.1534, time 217.50ms, mfu -100.00%
iter 4: loss 4.1752, time 236.32ms, mfu -100.00%
iter 5: loss 4.1596, time 214.87ms, mfu 0.32%
iter 6: loss 4.1685, time 215.68ms, mfu 0.32%
iter 7: loss 4.1488, time 216.93ms, mfu 0.32%
iter 8: loss 4.1746, time 215.74ms, mfu 0.32%
iter 9: loss 4.1465, time 218.05ms, mfu 0.31%
iter 10: loss 4.1488, time 215.60ms, mfu 0.31%
iter 11: loss 4.1493, time 237.26ms, mfu 0.31%
iter 12: loss 4.1297, time 218.21ms, mfu 0.31%
iter 13: loss 4.1390, time 215.01ms, mfu 0.31%
iter 14: loss 4.1245, time 217.91ms, mfu 0.31%
iter 15: loss 4.1309, time 217.18ms, mfu 0.31%
iter 16: loss 4.1123, time 216.08ms, mfu 0.31%
iter 17: loss 4.0928, time 216.18ms, mfu 0.31%
iter 18: loss 4.0915, time 215.94ms, mfu 0.31%
iter 19: loss 4.0732, time 215.38ms, mfu 0.31%
iter 20: loss 4.0731, time 216.26ms, mfu 0.31%
iter 21: loss 4.0717, time 213.97ms, mfu 0.31%
iter 22: loss 4.0606, time 211.88ms, mfu 0.31%
iter 23: loss 4.0577, time 211.11ms, mfu 0.31%
iter 24: loss 4.0469, time 208.24ms, mfu 0.32%
iter 25: loss 4.0181, time 208.82ms, mfu 0.32%
iter 26: loss 4.0186, time 206.12ms, mfu 0.32%
iter 27: loss 3.9843, time 209.65ms, mfu 0.32%
iter 28: loss 4.0076, time 209.35ms, mfu 0.32%
iter 29: loss 3.9955, time 207.05ms, mfu 0.32%
iter 30: loss 3.9983, time 210.66ms, mfu 0.32%
iter 31: loss 3.9478, time 208.47ms, mfu 0.32%
iter 32: loss 3.9504, time 209.47ms, mfu 0.32%
iter 33: loss 3.9252, time 210.38ms, mfu 0.32%
iter 34: loss 3.9096, time 210.38ms, mfu 0.32%
iter 35: loss 3.9441, time 211.62ms, mfu 0.32%
iter 36: loss 3.8955, time 208.89ms, mfu 0.32%
iter 37: loss 3.8938, time 249.83ms, mfu 0.32%
iter 38: loss 3.8926, time 209.84ms, mfu 0.32%
iter 39: loss 3.8633, time 214.24ms, mfu 0.32%
iter 40: loss 3.8724, time 211.32ms, mfu 0.32%
iter 41: loss 3.8846, time 212.29ms, mfu 0.32%
iter 42: loss 3.8179, time 210.61ms, mfu 0.32%
iter 43: loss 3.8304, time 209.34ms, mfu 0.32%
iter 44: loss 3.8343, time 213.75ms, mfu 0.32%
iter 45: loss 3.7995, time 209.02ms, mfu 0.32%
iter 46: loss 3.8101, time 210.10ms, mfu 0.32%
iter 47: loss 3.8245, time 210.12ms, mfu 0.32%
iter 48: loss 3.7707, time 209.86ms, mfu 0.32%
iter 49: loss 3.7855, time 239.98ms, mfu 0.32%
iter 50: loss 3.7779, time 211.06ms, mfu 0.32%
iter 51: loss 3.7570, time 209.97ms, mfu 0.32%
iter 52: loss 3.7382, time 208.44ms, mfu 0.32%
iter 53: loss 3.7497, time 207.59ms, mfu 0.32%
iter 54: loss 3.7397, time 210.93ms, mfu 0.32%
iter 55: loss 3.7154, time 209.31ms, mfu 0.32%
iter 56: loss 3.7193, time 211.35ms, mfu 0.32%
iter 57: loss 3.7471, time 209.28ms, mfu 0.32%
iter 58: loss 3.6996, time 209.75ms, mfu 0.32%
iter 59: loss 3.7712, time 211.23ms, mfu 0.32%
iter 60: loss 3.7236, time 208.90ms, mfu 0.32%
