Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
iter 31: loss 3.6475, time 224.85ms, mfu 1.08%
iter 32: loss 3.7164, time 238.09ms, mfu 1.08%
iter 33: loss 3.6439, time 229.02ms, mfu 1.08%
iter 34: loss 3.6143, time 263.53ms, mfu 1.07%
iter 35: loss 3.6141, time 267.21ms, mfu 1.06%
iter 36: loss 3.6003, time 253.79ms, mfu 1.06%
iter 37: loss 3.5655, time 226.84ms, mfu 1.07%
iter 38: loss 3.5970, time 234.16ms, mfu 1.07%
iter 39: loss 3.5933, time 227.37ms, mfu 1.08%
iter 40: loss 3.5204, time 226.27ms, mfu 1.09%
iter 41: loss 3.4984, time 234.23ms, mfu 1.09%
iter 42: loss 3.4947, time 236.13ms, mfu 1.09%
iter 43: loss 3.5706, time 240.07ms, mfu 1.09%
iter 44: loss 3.4899, time 231.43ms, mfu 1.09%
iter 45: loss 3.5118, time 239.88ms, mfu 1.09%
iter 46: loss 3.4568, time 250.83ms, mfu 1.09%
iter 47: loss 3.4139, time 221.53ms, mfu 1.09%
iter 48: loss 3.4338, time 212.64ms, mfu 1.11%
iter 49: loss 3.4128, time 228.18ms, mfu 1.11%
iter 50: loss 3.4621, time 205.82ms, mfu 1.12%
iter 51: loss 3.3762, time 235.83ms, mfu 1.12%
iter 52: loss 3.4270, time 233.47ms, mfu 1.12%
iter 53: loss 3.3844, time 207.02ms, mfu 1.13%
iter 54: loss 3.4397, time 210.03ms, mfu 1.14%
iter 55: loss 3.3808, time 206.02ms, mfu 1.16%
iter 56: loss 3.3476, time 215.64ms, mfu 1.16%
iter 57: loss 3.4189, time 248.10ms, mfu 1.15%
iter 58: loss 3.3168, time 254.51ms, mfu 1.14%
iter 59: loss 3.3166, time 258.02ms, mfu 1.12%
iter 60: loss 3.3699, time 270.94ms, mfu 1.11%
iter 61: loss 3.3103, time 322.69ms, mfu 1.08%
iter 62: loss 3.3351, time 331.98ms, mfu 1.05%
iter 63: loss 3.3007, time 338.40ms, mfu 1.02%
iter 64: loss 3.3153, time 324.68ms, mfu 1.00%
iter 65: loss 3.2598, time 236.06ms, mfu 1.01%
iter 66: loss 3.2511, time 229.27ms, mfu 1.02%
iter 67: loss 3.2626, time 231.03ms, mfu 1.03%
iter 68: loss 3.2324, time 258.45ms, mfu 1.03%
iter 69: loss 3.2582, time 264.75ms, mfu 1.02%
iter 70: loss 3.1760, time 256.43ms, mfu 1.02%
iter 71: loss 3.2576, time 248.44ms, mfu 1.02%
iter 72: loss 3.1694, time 236.96ms, mfu 1.03%
iter 73: loss 3.1726, time 239.56ms, mfu 1.04%
iter 74: loss 3.1389, time 222.28ms, mfu 1.05%
iter 75: loss 3.1579, time 283.60ms, mfu 1.04%
iter 76: loss 3.1134, time 236.65ms, mfu 1.04%
iter 77: loss 3.1235, time 1149.56ms, mfu 0.96%
iter 78: loss 3.0983, time 252.66ms, mfu 0.97%
iter 79: loss 3.2058, time 232.81ms, mfu 0.98%
iter 80: loss 3.1455, time 232.62ms, mfu 1.00%
iter 81: loss 3.0376, time 233.87ms, mfu 1.01%
iter 82: loss 3.1103, time 235.23ms, mfu 1.02%
iter 83: loss 3.1324, time 236.93ms, mfu 1.02%
iter 84: loss 3.0381, time 237.13ms, mfu 1.03%
iter 85: loss 3.0929, time 247.56ms, mfu 1.03%
iter 86: loss 3.0196, time 267.77ms, mfu 1.03%
iter 87: loss 3.0161, time 238.38ms, mfu 1.03%
iter 88: loss 2.9890, time 252.36ms, mfu 1.03%
iter 89: loss 3.0041, time 288.03ms, mfu 1.02%
iter 90: loss 3.0519, time 243.63ms, mfu 1.02%
iter 91: loss 2.9834, time 236.73ms, mfu 1.03%
iter 92: loss 2.9987, time 243.01ms, mfu 1.04%
iter 93: loss 3.0270, time 237.19ms, mfu 1.04%
iter 94: loss 2.9702, time 244.59ms, mfu 1.04%
iter 95: loss 2.9270, time 250.08ms, mfu 1.04%
iter 96: loss 3.0282, time 226.62ms, mfu 1.05%
iter 97: loss 2.9548, time 239.67ms, mfu 1.06%
iter 98: loss 2.9985, time 233.62ms, mfu 1.06%
iter 99: loss 3.0165, time 237.72ms, mfu 1.06%
iter 100: loss 2.9111, time 247.19ms, mfu 1.06%
iter 101: loss 2.9134, time 251.75ms, mfu 1.06%
iter 102: loss 2.9212, time 239.13ms, mfu 1.06%
iter 103: loss 2.8727, time 228.93ms, mfu 1.07%
iter 104: loss 2.9376, time 244.46ms, mfu 1.07%
iter 105: loss 2.9041, time 252.40ms, mfu 1.06%
iter 106: loss 2.8757, time 250.82ms, mfu 1.06%
iter 107: loss 2.9318, time 243.90ms, mfu 1.06%
iter 108: loss 2.9162, time 233.59ms, mfu 1.07%
iter 109: loss 2.8468, time 232.09ms, mfu 1.07%
iter 110: loss 2.8571, time 239.56ms, mfu 1.07%
iter 111: loss 2.8872, time 231.45ms, mfu 1.08%
iter 112: loss 2.8278, time 249.97ms, mfu 1.07%
iter 113: loss 2.8438, time 243.18ms, mfu 1.07%
iter 114: loss 2.9185, time 242.89ms, mfu 1.07%
iter 115: loss 2.8431, time 237.13ms, mfu 1.08%
iter 116: loss 2.8533, time 243.60ms, mfu 1.07%
iter 117: loss 2.8427, time 240.69ms, mfu 1.07%
iter 118: loss 2.8494, time 238.94ms, mfu 1.08%
iter 119: loss 2.8489, time 236.50ms, mfu 1.08%
iter 120: loss 2.8065, time 243.87ms, mfu 1.08%
iter 121: loss 2.8898, time 229.90ms, mfu 1.08%
iter 122: loss 2.8649, time 249.84ms, mfu 1.08%
iter 123: loss 2.8747, time 226.78ms, mfu 1.08%
iter 124: loss 2.8206, time 268.88ms, mfu 1.07%
iter 125: loss 2.8525, time 223.99ms, mfu 1.08%
iter 126: loss 2.8099, time 230.36ms, mfu 1.09%
iter 127: loss 2.8259, time 245.27ms, mfu 1.08%
iter 128: loss 2.8077, time 216.89ms, mfu 1.09%
iter 129: loss 2.8432, time 232.77ms, mfu 1.10%
iter 130: loss 2.8018, time 220.75ms, mfu 1.10%
iter 131: loss 2.8232, time 215.63ms, mfu 1.11%
iter 132: loss 2.8232, time 216.11ms, mfu 1.12%
iter 133: loss 2.8093, time 219.50ms, mfu 1.13%
iter 134: loss 2.8119, time 325.23ms, mfu 1.10%
iter 135: loss 2.7817, time 250.04ms, mfu 1.09%
iter 136: loss 2.7281, time 254.85ms, mfu 1.08%
iter 137: loss 2.7687, time 262.75ms, mfu 1.07%
iter 138: loss 2.7280, time 236.18ms, mfu 1.08%
iter 139: loss 2.7479, time 253.78ms, mfu 1.07%
iter 140: loss 2.7632, time 247.73ms, mfu 1.07%
iter 141: loss 2.7510, time 253.62ms, mfu 1.06%
iter 142: loss 2.7272, time 253.02ms, mfu 1.06%
iter 143: loss 2.7971, time 245.44ms, mfu 1.06%
iter 144: loss 2.7006, time 247.17ms, mfu 1.06%
iter 145: loss 2.7698, time 249.13ms, mfu 1.06%
iter 146: loss 2.7033, time 241.30ms, mfu 1.06%
iter 147: loss 2.7490, time 261.96ms, mfu 1.05%
iter 148: loss 2.6859, time 229.46ms, mfu 1.06%
iter 149: loss 2.7008, time 254.65ms, mfu 1.06%
iter 150: loss 2.6738, time 242.43ms, mfu 1.06%
iter 151: loss 2.7489, time 232.98ms, mfu 1.06%
iter 152: loss 2.7314, time 246.24ms, mfu 1.06%
iter 153: loss 2.7603, time 238.57ms, mfu 1.06%
iter 154: loss 2.7225, time 240.26ms, mfu 1.07%
iter 155: loss 2.7264, time 256.95ms, mfu 1.06%
iter 156: loss 2.6993, time 242.35ms, mfu 1.06%
iter 157: loss 2.7166, time 225.12ms, mfu 1.07%
iter 158: loss 2.7767, time 245.14ms, mfu 1.07%
iter 159: loss 2.6919, time 234.53ms, mfu 1.07%
iter 160: loss 2.6829, time 236.71ms, mfu 1.08%
iter 161: loss 2.6662, time 237.81ms, mfu 1.08%
iter 162: loss 2.6768, time 241.16ms, mfu 1.08%
iter 163: loss 2.6863, time 236.97ms, mfu 1.08%
iter 164: loss 2.6592, time 234.53ms, mfu 1.08%
iter 165: loss 2.6583, time 242.11ms, mfu 1.08%
iter 166: loss 2.6435, time 286.17ms, mfu 1.06%
iter 167: loss 2.7220, time 249.14ms, mfu 1.06%
iter 168: loss 2.6744, time 238.99ms, mfu 1.06%
iter 169: loss 2.6252, time 256.93ms, mfu 1.06%
iter 170: loss 2.6807, time 241.14ms, mfu 1.06%
iter 171: loss 2.6398, time 256.25ms, mfu 1.06%
iter 172: loss 2.7805, time 263.58ms, mfu 1.05%
iter 173: loss 2.6404, time 257.70ms, mfu 1.04%
iter 174: loss 2.6223, time 240.98ms, mfu 1.05%
iter 175: loss 2.6333, time 241.58ms, mfu 1.05%
iter 176: loss 2.6767, time 247.10ms, mfu 1.05%
iter 177: loss 2.6800, time 244.91ms, mfu 1.05%
iter 178: loss 2.6474, time 242.05ms, mfu 1.05%
iter 179: loss 2.6198, time 256.96ms, mfu 1.05%
iter 180: loss 2.6559, time 265.85ms, mfu 1.04%
iter 181: loss 2.5882, time 241.39ms, mfu 1.05%
iter 182: loss 2.6632, time 237.39ms, mfu 1.05%
iter 183: loss 2.6306, time 233.48ms, mfu 1.06%
iter 184: loss 2.6986, time 247.20ms, mfu 1.06%
iter 185: loss 2.6436, time 256.46ms, mfu 1.05%
iter 186: loss 2.6667, time 240.40ms, mfu 1.05%
iter 187: loss 2.6214, time 253.57ms, mfu 1.05%
iter 188: loss 2.6859, time 257.14ms, mfu 1.05%
iter 189: loss 2.6287, time 245.38ms, mfu 1.05%
iter 190: loss 2.6758, time 246.19ms, mfu 1.05%
iter 191: loss 2.6486, time 243.82ms, mfu 1.05%
iter 192: loss 2.5753, time 257.71ms, mfu 1.05%
iter 193: loss 2.6324, time 243.33ms, mfu 1.05%
iter 194: loss 2.6126, time 243.22ms, mfu 1.05%
iter 195: loss 2.5873, time 259.83ms, mfu 1.04%
iter 196: loss 2.6203, time 237.14ms, mfu 1.05%
iter 197: loss 2.5772, time 266.59ms, mfu 1.04%
iter 198: loss 2.5594, time 242.45ms, mfu 1.05%
iter 199: loss 2.6023, time 267.61ms, mfu 1.04%
step 200: train loss 2.5517, val loss 2.5590
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs16_it2000_do02
iter 200: loss 2.5948, time 1323.58ms, mfu 0.95%
iter 201: loss 2.6571, time 244.79ms, mfu 0.96%
iter 202: loss 2.6305, time 252.53ms, mfu 0.97%
iter 203: loss 2.6184, time 245.64ms, mfu 0.98%
iter 204: loss 2.6286, time 247.46ms, mfu 0.99%
iter 205: loss 2.5544, time 234.59ms, mfu 1.00%
iter 206: loss 2.5487, time 252.84ms, mfu 1.00%
iter 207: loss 2.5609, time 232.69ms, mfu 1.01%
iter 208: loss 2.6106, time 247.73ms, mfu 1.02%
iter 209: loss 2.6596, time 241.45ms, mfu 1.02%
iter 210: loss 2.6545, time 256.03ms, mfu 1.02%
iter 211: loss 2.6182, time 232.84ms, mfu 1.03%
iter 212: loss 2.5607, time 255.03ms, mfu 1.03%
iter 213: loss 2.5850, time 252.15ms, mfu 1.03%
iter 214: loss 2.6699, time 261.34ms, mfu 1.03%
iter 215: loss 2.5988, time 243.69ms, mfu 1.03%
iter 216: loss 2.6411, time 244.89ms, mfu 1.03%
iter 217: loss 2.5239, time 238.31ms, mfu 1.04%
iter 218: loss 2.5051, time 231.67ms, mfu 1.05%
iter 219: loss 2.5096, time 247.04ms, mfu 1.05%
iter 220: loss 2.5725, time 257.21ms, mfu 1.04%
iter 221: loss 2.6004, time 257.05ms, mfu 1.04%
iter 222: loss 2.5351, time 258.81ms, mfu 1.04%
iter 223: loss 2.5625, time 279.31ms, mfu 1.03%
iter 224: loss 2.5559, time 287.10ms, mfu 1.01%
iter 225: loss 2.5974, time 264.17ms, mfu 1.01%
iter 226: loss 2.5721, time 270.19ms, mfu 1.01%
iter 227: loss 2.5339, time 247.59ms, mfu 1.01%
iter 228: loss 2.5485, time 266.25ms, mfu 1.01%
iter 229: loss 2.6006, time 260.33ms, mfu 1.01%
iter 230: loss 2.5491, time 270.51ms, mfu 1.00%
iter 231: loss 2.4950, time 276.72ms, mfu 0.99%
iter 232: loss 2.5852, time 245.73ms, mfu 1.00%
iter 233: loss 2.4812, time 240.42ms, mfu 1.01%
iter 234: loss 2.4358, time 244.04ms, mfu 1.01%
iter 235: loss 2.5335, time 259.80ms, mfu 1.01%
iter 236: loss 2.5134, time 278.25ms, mfu 1.00%
iter 237: loss 2.5415, time 259.39ms, mfu 1.00%
iter 238: loss 2.5030, time 264.63ms, mfu 1.00%
iter 239: loss 2.5044, time 246.72ms, mfu 1.01%
iter 240: loss 2.5807, time 281.34ms, mfu 1.00%
iter 241: loss 2.4820, time 259.10ms, mfu 1.00%
iter 242: loss 2.5007, time 279.58ms, mfu 0.99%
iter 243: loss 2.5670, time 265.82ms, mfu 0.99%
iter 244: loss 2.4503, time 263.45ms, mfu 0.99%
iter 245: loss 2.4797, time 278.51ms, mfu 0.98%
iter 246: loss 2.4871, time 267.69ms, mfu 0.98%
iter 247: loss 2.5442, time 254.14ms, mfu 0.99%
iter 248: loss 2.4906, time 272.48ms, mfu 0.98%
iter 249: loss 2.4436, time 244.70ms, mfu 0.99%
iter 250: loss 2.4810, time 216.12ms, mfu 1.01%
iter 251: loss 2.5250, time 224.41ms, mfu 1.03%
iter 252: loss 2.4719, time 224.80ms, mfu 1.04%
iter 253: loss 2.5061, time 225.48ms, mfu 1.05%
iter 254: loss 2.5461, time 215.27ms, mfu 1.07%
iter 255: loss 2.4605, time 241.62ms, mfu 1.07%
iter 256: loss 2.5012, time 239.74ms, mfu 1.07%
iter 257: loss 2.4764, time 213.18ms, mfu 1.08%
iter 258: loss 2.5222, time 215.06ms, mfu 1.10%
iter 259: loss 2.5283, time 214.19ms, mfu 1.11%
iter 260: loss 2.5022, time 213.41ms, mfu 1.12%
iter 261: loss 2.5191, time 228.01ms, mfu 1.12%
iter 262: loss 2.5381, time 224.48ms, mfu 1.12%
iter 263: loss 2.5214, time 222.92ms, mfu 1.13%
iter 264: loss 2.5228, time 214.15ms, mfu 1.14%
iter 265: loss 2.5038, time 228.73ms, mfu 1.14%
iter 266: loss 2.4580, time 225.37ms, mfu 1.14%
iter 267: loss 2.5633, time 207.87ms, mfu 1.15%
iter 268: loss 2.4768, time 219.15ms, mfu 1.15%
iter 269: loss 2.4601, time 211.56ms, mfu 1.16%
iter 270: loss 2.4042, time 221.53ms, mfu 1.16%
iter 271: loss 2.5033, time 232.02ms, mfu 1.16%
iter 272: loss 2.4628, time 212.83ms, mfu 1.16%
iter 273: loss 2.4946, time 212.14ms, mfu 1.17%
iter 274: loss 2.5048, time 210.53ms, mfu 1.18%
iter 275: loss 2.4627, time 222.59ms, mfu 1.17%
iter 276: loss 2.4369, time 214.59ms, mfu 1.18%
iter 277: loss 2.4544, time 233.33ms, mfu 1.17%
iter 278: loss 2.4776, time 231.46ms, mfu 1.17%
iter 279: loss 2.4564, time 211.61ms, mfu 1.17%
iter 280: loss 2.4733, time 223.61ms, mfu 1.17%
iter 281: loss 2.4330, time 217.83ms, mfu 1.17%
iter 282: loss 2.4752, time 217.58ms, mfu 1.18%
iter 283: loss 2.5182, time 222.23ms, mfu 1.17%
iter 284: loss 2.4419, time 211.32ms, mfu 1.18%
iter 285: loss 2.4696, time 220.37ms, mfu 1.18%
iter 286: loss 2.3924, time 235.85ms, mfu 1.17%
iter 287: loss 2.3787, time 214.83ms, mfu 1.18%
iter 288: loss 2.4130, time 216.51ms, mfu 1.18%
iter 289: loss 2.4156, time 224.74ms, mfu 1.18%
iter 290: loss 2.4577, time 233.70ms, mfu 1.17%
iter 291: loss 2.4445, time 215.36ms, mfu 1.17%
iter 292: loss 2.4778, time 211.36ms, mfu 1.18%
iter 293: loss 2.4241, time 226.74ms, mfu 1.18%
iter 294: loss 2.4618, time 223.14ms, mfu 1.17%
iter 295: loss 2.4135, time 215.08ms, mfu 1.18%
iter 296: loss 2.4060, time 228.99ms, mfu 1.17%
iter 297: loss 2.4230, time 226.35ms, mfu 1.17%
iter 298: loss 2.4503, time 243.46ms, mfu 1.16%
iter 299: loss 2.4649, time 228.93ms, mfu 1.16%
iter 300: loss 2.4898, time 228.21ms, mfu 1.16%
iter 301: loss 2.4420, time 215.15ms, mfu 1.16%
iter 302: loss 2.4161, time 233.55ms, mfu 1.16%
iter 303: loss 2.4459, time 228.14ms, mfu 1.15%
iter 304: loss 2.3574, time 226.73ms, mfu 1.15%
iter 305: loss 2.4329, time 227.53ms, mfu 1.15%
iter 306: loss 2.4961, time 229.94ms, mfu 1.15%
iter 307: loss 2.4274, time 217.35ms, mfu 1.15%
iter 308: loss 2.3478, time 212.88ms, mfu 1.16%
iter 309: loss 2.4601, time 217.85ms, mfu 1.16%
iter 310: loss 2.4059, time 244.46ms, mfu 1.15%
iter 311: loss 2.3865, time 218.16ms, mfu 1.16%
iter 312: loss 2.4330, time 223.89ms, mfu 1.16%
iter 313: loss 2.4185, time 237.74ms, mfu 1.15%
iter 314: loss 2.4571, time 228.53ms, mfu 1.15%
iter 315: loss 2.4349, time 224.28ms, mfu 1.15%
iter 316: loss 2.3955, time 221.41ms, mfu 1.15%
iter 317: loss 2.3673, time 219.30ms, mfu 1.16%
iter 318: loss 2.4367, time 222.88ms, mfu 1.16%
iter 319: loss 2.3731, time 212.82ms, mfu 1.16%
iter 320: loss 2.3849, time 226.33ms, mfu 1.16%
iter 321: loss 2.3733, time 225.40ms, mfu 1.16%
iter 322: loss 2.3547, time 230.39ms, mfu 1.16%
iter 323: loss 2.3372, time 232.87ms, mfu 1.15%
iter 324: loss 2.4186, time 228.16ms, mfu 1.15%
iter 325: loss 2.3722, time 235.08ms, mfu 1.15%
iter 326: loss 2.3334, time 231.12ms, mfu 1.14%
iter 327: loss 2.3707, time 232.56ms, mfu 1.14%
iter 328: loss 2.4292, time 231.96ms, mfu 1.14%
iter 329: loss 2.3625, time 231.65ms, mfu 1.14%
iter 330: loss 2.3186, time 234.10ms, mfu 1.13%
iter 331: loss 2.4238, time 235.92ms, mfu 1.13%
iter 332: loss 2.3977, time 221.82ms, mfu 1.14%
iter 333: loss 2.3624, time 220.75ms, mfu 1.14%
iter 334: loss 2.4432, time 222.21ms, mfu 1.14%
iter 335: loss 2.3280, time 234.26ms, mfu 1.14%
iter 336: loss 2.3521, time 220.64ms, mfu 1.14%
iter 337: loss 2.3441, time 225.54ms, mfu 1.14%
iter 338: loss 2.4423, time 218.82ms, mfu 1.15%
iter 339: loss 2.4148, time 227.52ms, mfu 1.15%
iter 340: loss 2.2929, time 210.52ms, mfu 1.16%
iter 341: loss 2.3157, time 224.28ms, mfu 1.16%
iter 342: loss 2.3468, time 234.76ms, mfu 1.15%
iter 343: loss 2.3342, time 224.08ms, mfu 1.15%
iter 344: loss 2.3780, time 243.10ms, mfu 1.14%
iter 345: loss 2.3519, time 214.25ms, mfu 1.15%
iter 346: loss 2.3802, time 229.33ms, mfu 1.15%
iter 347: loss 2.2668, time 216.54ms, mfu 1.15%
iter 348: loss 2.4108, time 214.70ms, mfu 1.16%
iter 349: loss 2.3337, time 224.80ms, mfu 1.16%
iter 350: loss 2.3824, time 223.08ms, mfu 1.16%
iter 351: loss 2.3564, time 220.30ms, mfu 1.16%
iter 352: loss 2.3942, time 210.86ms, mfu 1.17%
iter 353: loss 2.3250, time 217.41ms, mfu 1.17%
iter 354: loss 2.3947, time 224.39ms, mfu 1.17%
iter 355: loss 2.3359, time 230.81ms, mfu 1.16%
iter 356: loss 2.3047, time 224.41ms, mfu 1.16%
iter 357: loss 2.3510, time 222.48ms, mfu 1.16%
iter 358: loss 2.3737, time 220.25ms, mfu 1.17%
iter 359: loss 2.3522, time 233.39ms, mfu 1.16%
iter 360: loss 2.3414, time 226.27ms, mfu 1.16%
iter 361: loss 2.3614, time 224.46ms, mfu 1.16%
iter 362: loss 2.3649, time 218.82ms, mfu 1.16%
iter 363: loss 2.3486, time 221.80ms, mfu 1.16%
iter 364: loss 2.3779, time 229.94ms, mfu 1.16%
iter 365: loss 2.3939, time 229.13ms, mfu 1.16%
iter 366: loss 2.3658, time 223.67ms, mfu 1.16%
iter 367: loss 2.3643, time 224.23ms, mfu 1.16%
iter 368: loss 2.3591, time 234.66ms, mfu 1.15%
iter 369: loss 2.3547, time 224.09ms, mfu 1.15%
iter 370: loss 2.2640, time 222.35ms, mfu 1.15%
iter 371: loss 2.3786, time 210.20ms, mfu 1.16%
iter 372: loss 2.2827, time 217.00ms, mfu 1.17%
iter 373: loss 2.3307, time 235.07ms, mfu 1.16%
iter 374: loss 2.3509, time 226.12ms, mfu 1.16%
iter 375: loss 2.3235, time 229.81ms, mfu 1.16%
iter 376: loss 2.3130, time 221.02ms, mfu 1.16%
iter 377: loss 2.4227, time 245.12ms, mfu 1.15%
iter 378: loss 2.3476, time 250.28ms, mfu 1.14%
iter 379: loss 2.2663, time 273.78ms, mfu 1.12%
iter 380: loss 2.3368, time 305.60ms, mfu 1.09%
iter 381: loss 2.3419, time 277.86ms, mfu 1.08%
iter 382: loss 2.3168, time 227.46ms, mfu 1.08%
iter 383: loss 2.2834, time 214.15ms, mfu 1.09%
iter 384: loss 2.3239, time 207.13ms, mfu 1.11%
iter 385: loss 2.3324, time 216.31ms, mfu 1.12%
iter 386: loss 2.2459, time 228.55ms, mfu 1.12%
iter 387: loss 2.2711, time 272.21ms, mfu 1.10%
iter 388: loss 2.4000, time 232.10ms, mfu 1.11%
iter 389: loss 2.2618, time 210.30ms, mfu 1.12%
iter 390: loss 2.2480, time 212.81ms, mfu 1.13%
iter 391: loss 2.2916, time 230.23ms, mfu 1.13%
iter 392: loss 2.3203, time 222.75ms, mfu 1.13%
iter 393: loss 2.2858, time 221.19ms, mfu 1.14%
iter 394: loss 2.2204, time 210.26ms, mfu 1.15%
iter 395: loss 2.2592, time 231.07ms, mfu 1.14%
iter 396: loss 2.3723, time 220.78ms, mfu 1.15%
iter 397: loss 2.3003, time 232.26ms, mfu 1.14%
iter 398: loss 2.3258, time 226.75ms, mfu 1.14%
iter 399: loss 2.2424, time 231.55ms, mfu 1.14%
step 400: train loss 2.2075, val loss 2.2269
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs16_it2000_do02
iter 400: loss 2.2673, time 1119.91ms, mfu 1.05%
iter 401: loss 2.2513, time 218.62ms, mfu 1.06%
iter 402: loss 2.2720, time 226.74ms, mfu 1.07%
iter 403: loss 2.2951, time 219.75ms, mfu 1.08%
iter 404: loss 2.3410, time 232.23ms, mfu 1.09%
iter 405: loss 2.3057, time 232.96ms, mfu 1.09%
iter 406: loss 2.2732, time 220.21ms, mfu 1.10%
iter 407: loss 2.3775, time 243.56ms, mfu 1.10%
iter 408: loss 2.2915, time 216.20ms, mfu 1.11%
iter 409: loss 2.1965, time 222.53ms, mfu 1.11%
iter 410: loss 2.3227, time 220.36ms, mfu 1.12%
iter 411: loss 2.2572, time 217.85ms, mfu 1.13%
iter 412: loss 2.3633, time 216.93ms, mfu 1.13%
iter 413: loss 2.2862, time 216.39ms, mfu 1.14%
iter 414: loss 2.3610, time 221.59ms, mfu 1.14%
iter 415: loss 2.2180, time 220.25ms, mfu 1.15%
iter 416: loss 2.2935, time 222.59ms, mfu 1.15%
iter 417: loss 2.2662, time 229.98ms, mfu 1.15%
iter 418: loss 2.3052, time 225.92ms, mfu 1.15%
iter 419: loss 2.3093, time 260.69ms, mfu 1.13%
iter 420: loss 2.2996, time 261.22ms, mfu 1.12%
iter 421: loss 2.2706, time 224.80ms, mfu 1.12%
iter 422: loss 2.1480, time 221.71ms, mfu 1.13%
iter 423: loss 2.3248, time 227.16ms, mfu 1.13%
iter 424: loss 2.2638, time 236.15ms, mfu 1.13%
iter 425: loss 2.3188, time 241.57ms, mfu 1.12%
iter 426: loss 2.3089, time 226.85ms, mfu 1.12%
iter 427: loss 2.2610, time 225.52ms, mfu 1.13%
iter 428: loss 2.2978, time 215.14ms, mfu 1.13%
iter 429: loss 2.2404, time 219.32ms, mfu 1.14%
iter 430: loss 2.2403, time 230.35ms, mfu 1.14%
iter 431: loss 2.2837, time 212.09ms, mfu 1.15%
iter 432: loss 2.2006, time 216.27ms, mfu 1.15%
iter 433: loss 2.3378, time 213.61ms, mfu 1.16%
iter 434: loss 2.2325, time 220.40ms, mfu 1.16%
iter 435: loss 2.2210, time 217.40ms, mfu 1.16%
iter 436: loss 2.2814, time 220.06ms, mfu 1.16%
iter 437: loss 2.2053, time 222.93ms, mfu 1.16%
