Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2850, val loss 4.2800
iter 0: loss 4.2730, time 1532.17ms, mfu -100.00%
iter 1: loss 4.2600, time 263.92ms, mfu -100.00%
iter 2: loss 4.2656, time 253.86ms, mfu -100.00%
iter 3: loss 4.2623, time 267.03ms, mfu -100.00%
iter 4: loss 4.2519, time 254.90ms, mfu -100.00%
iter 5: loss 4.2588, time 265.82ms, mfu 0.98%
iter 6: loss 4.2504, time 278.40ms, mfu 0.97%
iter 7: loss 4.2191, time 252.12ms, mfu 0.98%
iter 8: loss 4.2027, time 237.35ms, mfu 0.99%
iter 9: loss 4.2075, time 264.10ms, mfu 0.99%
iter 10: loss 4.1946, time 253.99ms, mfu 0.99%
iter 11: loss 4.1730, time 260.14ms, mfu 0.99%
iter 12: loss 4.1332, time 248.38ms, mfu 1.00%
iter 13: loss 4.1378, time 270.94ms, mfu 0.99%
iter 14: loss 4.1066, time 234.29ms, mfu 1.01%
iter 15: loss 4.1010, time 237.78ms, mfu 1.01%
iter 16: loss 4.0625, time 228.53ms, mfu 1.03%
iter 17: loss 4.0520, time 252.94ms, mfu 1.03%
iter 18: loss 4.0000, time 231.66ms, mfu 1.04%
iter 19: loss 4.0020, time 237.75ms, mfu 1.04%
iter 20: loss 3.9584, time 246.35ms, mfu 1.04%
iter 21: loss 3.9400, time 237.28ms, mfu 1.05%
iter 22: loss 3.9172, time 228.25ms, mfu 1.06%
iter 23: loss 3.8723, time 239.48ms, mfu 1.06%
iter 24: loss 3.8767, time 237.07ms, mfu 1.06%
iter 25: loss 3.8259, time 240.16ms, mfu 1.06%
iter 26: loss 3.8269, time 247.53ms, mfu 1.06%
iter 27: loss 3.7568, time 237.61ms, mfu 1.07%
iter 28: loss 3.7871, time 232.65ms, mfu 1.07%
iter 29: loss 3.7368, time 234.32ms, mfu 1.07%
iter 30: loss 3.7567, time 257.51ms, mfu 1.07%
