Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1699, val loss 4.1654
iter 0: loss 4.1814, time 1514.50ms, mfu -100.00%
iter 1: loss 4.1734, time 255.93ms, mfu -100.00%
iter 2: loss 4.1786, time 256.19ms, mfu -100.00%
iter 3: loss 4.1778, time 250.97ms, mfu -100.00%
iter 4: loss 4.1541, time 238.27ms, mfu -100.00%
iter 5: loss 4.1797, time 251.41ms, mfu 0.13%
iter 6: loss 4.1638, time 228.50ms, mfu 0.14%
iter 7: loss 4.1863, time 269.09ms, mfu 0.14%
iter 8: loss 4.1546, time 267.26ms, mfu 0.13%
iter 9: loss 4.1387, time 264.42ms, mfu 0.13%
iter 10: loss 4.1594, time 248.32ms, mfu 0.13%
iter 11: loss 4.1500, time 278.43ms, mfu 0.13%
iter 12: loss 4.1234, time 214.96ms, mfu 0.14%
iter 13: loss 4.1329, time 232.97ms, mfu 0.14%
iter 14: loss 4.1384, time 216.18ms, mfu 0.14%
iter 15: loss 4.1452, time 229.08ms, mfu 0.14%
iter 16: loss 4.1185, time 236.05ms, mfu 0.14%
iter 17: loss 4.1125, time 218.69ms, mfu 0.14%
iter 18: loss 4.1350, time 210.38ms, mfu 0.14%
iter 19: loss 4.0926, time 217.75ms, mfu 0.14%
iter 20: loss 4.0934, time 211.72ms, mfu 0.15%
iter 21: loss 4.0869, time 207.95ms, mfu 0.15%
iter 22: loss 4.0781, time 209.17ms, mfu 0.15%
iter 23: loss 4.0774, time 214.36ms, mfu 0.15%
iter 24: loss 4.0375, time 216.05ms, mfu 0.15%
iter 25: loss 4.0542, time 219.70ms, mfu 0.15%
iter 26: loss 4.0342, time 208.03ms, mfu 0.15%
iter 27: loss 4.0210, time 204.20ms, mfu 0.15%
iter 28: loss 4.0165, time 206.18ms, mfu 0.15%
iter 29: loss 4.0009, time 201.81ms, mfu 0.16%
iter 30: loss 3.9956, time 208.65ms, mfu 0.16%
iter 31: loss 3.9844, time 216.37ms, mfu 0.16%
iter 32: loss 3.9852, time 205.79ms, mfu 0.16%
iter 33: loss 3.9968, time 216.13ms, mfu 0.16%
iter 34: loss 3.9764, time 210.79ms, mfu 0.16%
iter 35: loss 3.9675, time 220.96ms, mfu 0.16%
iter 36: loss 3.9215, time 208.64ms, mfu 0.16%
iter 37: loss 3.9282, time 205.67ms, mfu 0.16%
iter 38: loss 3.9094, time 212.36ms, mfu 0.16%
iter 39: loss 3.9182, time 220.03ms, mfu 0.16%
iter 40: loss 3.8970, time 222.26ms, mfu 0.16%
iter 41: loss 3.8620, time 203.17ms, mfu 0.16%
iter 42: loss 3.8626, time 207.23ms, mfu 0.16%
iter 43: loss 3.8621, time 210.14ms, mfu 0.16%
iter 44: loss 3.8657, time 203.54ms, mfu 0.16%
iter 45: loss 3.8480, time 207.94ms, mfu 0.16%
iter 46: loss 3.8334, time 205.18ms, mfu 0.16%
iter 47: loss 3.8150, time 206.83ms, mfu 0.16%
iter 48: loss 3.8169, time 209.13ms, mfu 0.16%
iter 49: loss 3.7863, time 224.43ms, mfu 0.16%
iter 50: loss 3.7941, time 200.43ms, mfu 0.16%
iter 51: loss 3.7850, time 199.70ms, mfu 0.16%
iter 52: loss 3.7431, time 214.49ms, mfu 0.16%
iter 53: loss 3.7685, time 208.97ms, mfu 0.16%
iter 54: loss 3.7625, time 213.08ms, mfu 0.16%
iter 55: loss 3.7226, time 203.37ms, mfu 0.16%
iter 56: loss 3.7773, time 200.42ms, mfu 0.16%
iter 57: loss 3.7360, time 203.83ms, mfu 0.16%
iter 58: loss 3.7203, time 199.30ms, mfu 0.16%
iter 59: loss 3.7668, time 201.25ms, mfu 0.16%
iter 60: loss 3.6805, time 209.26ms, mfu 0.16%
