iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.2845,4.2794,,,,eval
5,,,4.2589,281.52,0.92,iter
6,,,4.2386,273.44,0.92,iter
7,,,4.218,253.12,0.93,iter
8,,,4.1969,285.32,0.93,iter
9,,,4.2147,267.62,0.94,iter
10,,,4.1949,260.6,0.94,iter
11,,,4.1638,295.35,0.94,iter
12,,,4.125,272.53,0.94,iter
13,,,4.1377,276.87,0.94,iter
14,,,4.0988,258.26,0.94,iter
15,,,4.1072,270.32,0.95,iter
16,,,4.0606,267.95,0.95,iter
17,,,4.0548,244.53,0.96,iter
18,,,3.997,258.1,0.96,iter
19,,,4.0037,271.19,0.96,iter
20,,,3.9585,267.92,0.96,iter
21,,,3.9401,278.47,0.96,iter
22,,,3.9079,288.15,0.95,iter
23,,,3.864,273.0,0.95,iter
24,,,3.863,267.1,0.96,iter
25,,,3.8321,268.32,0.96,iter
26,,,3.8088,267.79,0.96,iter
27,,,3.7511,267.84,0.96,iter
28,,,3.7765,272.6,0.96,iter
29,,,3.7406,256.56,0.96,iter
30,,,3.7574,279.41,0.96,iter
31,,,3.6652,265.81,0.96,iter
32,,,3.7137,271.83,0.96,iter
33,,,3.6476,261.35,0.96,iter
34,,,3.6063,267.6,0.97,iter
35,,,3.6219,265.19,0.97,iter
36,,,3.6018,246.43,0.98,iter
37,,,3.5686,245.76,0.98,iter
38,,,3.6086,268.54,0.98,iter
39,,,3.5855,269.31,0.98,iter
40,,,3.5151,277.73,0.98,iter
41,,,3.4865,271.1,0.97,iter
42,,,3.5004,281.19,0.97,iter
43,,,3.5664,251.87,0.97,iter
44,,,3.4916,268.5,0.97,iter
45,,,3.5156,273.11,0.97,iter
46,,,3.4645,268.37,0.97,iter
47,,,3.4147,249.79,0.98,iter
48,,,3.4313,280.23,0.97,iter
49,,,3.4105,279.76,0.97,iter
50,,,3.4641,279.63,0.96,iter
51,,,3.3761,279.14,0.96,iter
52,,,3.4244,280.79,0.96,iter
53,,,3.3893,282.86,0.95,iter
54,,,3.4434,277.54,0.95,iter
55,,,3.383,265.01,0.95,iter
56,,,3.3457,281.31,0.95,iter
57,,,3.4227,275.23,0.95,iter
58,,,3.3186,275.91,0.95,iter
59,,,3.3281,283.79,0.95,iter
60,,,3.3617,281.85,0.94,iter
61,,,3.3057,264.11,0.95,iter
62,,,3.3293,281.23,0.95,iter
63,,,3.3004,268.59,0.95,iter
64,,,3.3008,268.08,0.95,iter
65,,,3.2506,281.22,0.95,iter
66,,,3.2474,272.78,0.95,iter
67,,,3.2681,281.63,0.94,iter
68,,,3.2243,267.97,0.95,iter
69,,,3.2584,232.03,0.96,iter
70,,,3.1791,224.45,0.98,iter
71,,,3.2556,229.39,1.0,iter
72,,,3.1765,220.57,1.02,iter
73,,,3.1727,225.02,1.03,iter
74,,,3.1428,231.16,1.04,iter
75,,,3.147,222.99,1.05,iter
76,,,3.1266,219.15,1.07,iter
77,,,3.1255,222.31,1.08,iter
78,,,3.1063,231.7,1.08,iter
79,,,3.2105,227.73,1.09,iter
80,,,3.1397,233.01,1.09,iter
81,,,3.0413,218.67,1.1,iter
82,,,3.1172,227.53,1.1,iter
83,,,3.1282,222.06,1.11,iter
84,,,3.0358,284.27,1.09,iter
85,,,3.0988,256.44,1.08,iter
86,,,3.0333,216.11,1.09,iter
87,,,3.0145,222.7,1.1,iter
88,,,3.0067,234.99,1.1,iter
89,,,3.0114,230.97,1.1,iter
90,,,3.0542,241.6,1.1,iter
91,,,2.9872,227.08,1.11,iter
92,,,2.9962,236.4,1.1,iter
93,,,3.0206,225.26,1.11,iter
94,,,2.9763,217.67,1.12,iter
95,,,2.9353,228.12,1.12,iter
96,,,3.0386,210.28,1.13,iter
97,,,2.9574,212.87,1.14,iter
98,,,2.9814,213.25,1.15,iter
99,,,3.0092,221.39,1.15,iter
100,,,2.9031,222.02,1.15,iter
101,,,2.9131,235.92,1.15,iter
102,,,2.9166,231.82,1.14,iter
103,,,2.8793,228.43,1.14,iter
104,,,2.9376,226.37,1.14,iter
105,,,2.9063,236.75,1.14,iter
106,,,2.8863,224.5,1.14,iter
107,,,2.936,227.19,1.14,iter
108,,,2.9051,232.79,1.14,iter
109,,,2.8474,223.66,1.14,iter
110,,,2.8508,228.68,1.14,iter
111,,,2.8746,230.77,1.14,iter
112,,,2.8407,244.1,1.13,iter
113,,,2.841,238.79,1.13,iter
114,,,2.9149,225.15,1.13,iter
115,,,2.8334,228.43,1.13,iter
116,,,2.8442,233.74,1.13,iter
117,,,2.836,230.98,1.13,iter
118,,,2.8497,231.81,1.13,iter
119,,,2.8334,226.33,1.13,iter
120,,,2.8127,233.15,1.13,iter
121,,,2.8713,229.1,1.13,iter
122,,,2.8663,215.7,1.14,iter
123,,,2.8723,223.06,1.14,iter
124,,,2.8269,229.1,1.14,iter
125,,,2.8489,226.66,1.14,iter
126,,,2.8235,227.61,1.14,iter
127,,,2.8394,241.14,1.13,iter
128,,,2.8247,241.75,1.13,iter
129,,,2.8454,222.37,1.13,iter
130,,,2.8197,226.49,1.13,iter
131,,,2.8198,220.8,1.14,iter
132,,,2.8108,233.71,1.13,iter
