Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs16_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2845, val loss 4.2794
iter 0: loss 4.2833, time 1572.63ms, mfu -100.00%
iter 1: loss 4.2576, time 283.26ms, mfu -100.00%
iter 2: loss 4.2779, time 285.84ms, mfu -100.00%
iter 3: loss 4.2519, time 268.51ms, mfu -100.00%
iter 4: loss 4.2556, time 264.69ms, mfu -100.00%
iter 5: loss 4.2589, time 281.52ms, mfu 0.92%
iter 6: loss 4.2386, time 273.44ms, mfu 0.92%
iter 7: loss 4.2180, time 253.12ms, mfu 0.93%
iter 8: loss 4.1969, time 285.32ms, mfu 0.93%
iter 9: loss 4.2147, time 267.62ms, mfu 0.94%
iter 10: loss 4.1949, time 260.60ms, mfu 0.94%
iter 11: loss 4.1638, time 295.35ms, mfu 0.94%
iter 12: loss 4.1250, time 272.53ms, mfu 0.94%
iter 13: loss 4.1377, time 276.87ms, mfu 0.94%
iter 14: loss 4.0988, time 258.26ms, mfu 0.94%
iter 15: loss 4.1072, time 270.32ms, mfu 0.95%
iter 16: loss 4.0606, time 267.95ms, mfu 0.95%
iter 17: loss 4.0548, time 244.53ms, mfu 0.96%
iter 18: loss 3.9970, time 258.10ms, mfu 0.96%
iter 19: loss 4.0037, time 271.19ms, mfu 0.96%
iter 20: loss 3.9585, time 267.92ms, mfu 0.96%
iter 21: loss 3.9401, time 278.47ms, mfu 0.96%
iter 22: loss 3.9079, time 288.15ms, mfu 0.95%
iter 23: loss 3.8640, time 273.00ms, mfu 0.95%
iter 24: loss 3.8630, time 267.10ms, mfu 0.96%
iter 25: loss 3.8321, time 268.32ms, mfu 0.96%
iter 26: loss 3.8088, time 267.79ms, mfu 0.96%
iter 27: loss 3.7511, time 267.84ms, mfu 0.96%
iter 28: loss 3.7765, time 272.60ms, mfu 0.96%
iter 29: loss 3.7406, time 256.56ms, mfu 0.96%
iter 30: loss 3.7574, time 279.41ms, mfu 0.96%
iter 31: loss 3.6652, time 265.81ms, mfu 0.96%
iter 32: loss 3.7137, time 271.83ms, mfu 0.96%
iter 33: loss 3.6476, time 261.35ms, mfu 0.96%
iter 34: loss 3.6063, time 267.60ms, mfu 0.97%
iter 35: loss 3.6219, time 265.19ms, mfu 0.97%
iter 36: loss 3.6018, time 246.43ms, mfu 0.98%
iter 37: loss 3.5686, time 245.76ms, mfu 0.98%
iter 38: loss 3.6086, time 268.54ms, mfu 0.98%
iter 39: loss 3.5855, time 269.31ms, mfu 0.98%
iter 40: loss 3.5151, time 277.73ms, mfu 0.98%
iter 41: loss 3.4865, time 271.10ms, mfu 0.97%
iter 42: loss 3.5004, time 281.19ms, mfu 0.97%
iter 43: loss 3.5664, time 251.87ms, mfu 0.97%
iter 44: loss 3.4916, time 268.50ms, mfu 0.97%
iter 45: loss 3.5156, time 273.11ms, mfu 0.97%
iter 46: loss 3.4645, time 268.37ms, mfu 0.97%
iter 47: loss 3.4147, time 249.79ms, mfu 0.98%
iter 48: loss 3.4313, time 280.23ms, mfu 0.97%
iter 49: loss 3.4105, time 279.76ms, mfu 0.97%
iter 50: loss 3.4641, time 279.63ms, mfu 0.96%
iter 51: loss 3.3761, time 279.14ms, mfu 0.96%
iter 52: loss 3.4244, time 280.79ms, mfu 0.96%
iter 53: loss 3.3893, time 282.86ms, mfu 0.95%
iter 54: loss 3.4434, time 277.54ms, mfu 0.95%
iter 55: loss 3.3830, time 265.01ms, mfu 0.95%
iter 56: loss 3.3457, time 281.31ms, mfu 0.95%
iter 57: loss 3.4227, time 275.23ms, mfu 0.95%
iter 58: loss 3.3186, time 275.91ms, mfu 0.95%
iter 59: loss 3.3281, time 283.79ms, mfu 0.95%
iter 60: loss 3.3617, time 281.85ms, mfu 0.94%
iter 61: loss 3.3057, time 264.11ms, mfu 0.95%
iter 62: loss 3.3293, time 281.23ms, mfu 0.95%
iter 63: loss 3.3004, time 268.59ms, mfu 0.95%
iter 64: loss 3.3008, time 268.08ms, mfu 0.95%
iter 65: loss 3.2506, time 281.22ms, mfu 0.95%
iter 66: loss 3.2474, time 272.78ms, mfu 0.95%
iter 67: loss 3.2681, time 281.63ms, mfu 0.94%
iter 68: loss 3.2243, time 267.97ms, mfu 0.95%
iter 69: loss 3.2584, time 232.03ms, mfu 0.96%
iter 70: loss 3.1791, time 224.45ms, mfu 0.98%
iter 71: loss 3.2556, time 229.39ms, mfu 1.00%
iter 72: loss 3.1765, time 220.57ms, mfu 1.02%
