Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 0: loss 4.2877, time 1283.12ms, mfu -100.00%
iter 1: loss 4.2491, time 262.74ms, mfu -100.00%
iter 2: loss 4.2979, time 226.12ms, mfu -100.00%
iter 3: loss 4.2459, time 237.02ms, mfu -100.00%
iter 4: loss 4.2697, time 218.93ms, mfu -100.00%
iter 5: loss 4.2346, time 209.46ms, mfu 0.62%
iter 6: loss 4.2308, time 204.22ms, mfu 0.62%
iter 7: loss 4.2258, time 213.99ms, mfu 0.62%
iter 8: loss 4.2246, time 217.15ms, mfu 0.62%
iter 9: loss 4.1932, time 212.58ms, mfu 0.62%
iter 10: loss 4.1883, time 216.71ms, mfu 0.62%
iter 11: loss 4.1495, time 207.55ms, mfu 0.62%
iter 12: loss 4.1306, time 219.66ms, mfu 0.61%
iter 13: loss 4.1155, time 213.75ms, mfu 0.61%
iter 14: loss 4.0967, time 229.12ms, mfu 0.61%
iter 15: loss 4.0718, time 216.57ms, mfu 0.61%
iter 16: loss 4.0525, time 212.97ms, mfu 0.61%
iter 17: loss 4.0415, time 212.07ms, mfu 0.61%
iter 18: loss 3.9990, time 215.18ms, mfu 0.61%
iter 19: loss 3.9802, time 215.64ms, mfu 0.61%
iter 20: loss 3.9206, time 206.72ms, mfu 0.61%
iter 21: loss 3.8838, time 207.62ms, mfu 0.61%
iter 22: loss 3.8831, time 221.97ms, mfu 0.61%
iter 23: loss 3.7896, time 434.84ms, mfu 0.58%
iter 24: loss 3.8293, time 427.35ms, mfu 0.55%
iter 25: loss 3.7304, time 410.88ms, mfu 0.53%
iter 26: loss 3.7383, time 367.61ms, mfu 0.51%
iter 27: loss 3.7071, time 341.59ms, mfu 0.50%
iter 28: loss 3.7292, time 339.19ms, mfu 0.48%
iter 29: loss 3.7580, time 274.79ms, mfu 0.48%
iter 30: loss 3.6258, time 281.12ms, mfu 0.48%
iter 31: loss 3.6018, time 255.14ms, mfu 0.48%
iter 32: loss 3.5962, time 273.85ms, mfu 0.48%
iter 33: loss 3.6696, time 264.00ms, mfu 0.48%
iter 34: loss 3.5381, time 304.71ms, mfu 0.48%
iter 35: loss 3.5241, time 260.24ms, mfu 0.48%
iter 36: loss 3.4850, time 257.63ms, mfu 0.48%
iter 37: loss 3.4821, time 271.97ms, mfu 0.48%
iter 38: loss 3.5473, time 260.59ms, mfu 0.48%
iter 39: loss 3.4820, time 260.92ms, mfu 0.49%
iter 40: loss 3.4767, time 304.47ms, mfu 0.48%
iter 41: loss 3.5269, time 282.16ms, mfu 0.48%
iter 42: loss 3.4288, time 241.00ms, mfu 0.48%
iter 43: loss 3.4579, time 263.68ms, mfu 0.48%
iter 44: loss 3.4174, time 273.50ms, mfu 0.48%
iter 45: loss 3.4533, time 264.93ms, mfu 0.48%
iter 46: loss 3.4124, time 248.39ms, mfu 0.49%
iter 47: loss 3.3759, time 258.42ms, mfu 0.49%
iter 48: loss 3.3786, time 254.33ms, mfu 0.49%
iter 49: loss 3.4167, time 272.80ms, mfu 0.49%
iter 50: loss 3.4660, time 271.47ms, mfu 0.49%
iter 51: loss 3.3121, time 259.30ms, mfu 0.49%
iter 52: loss 3.3612, time 245.75ms, mfu 0.49%
iter 53: loss 3.4203, time 249.14ms, mfu 0.50%
iter 54: loss 3.4413, time 252.36ms, mfu 0.50%
iter 55: loss 3.3083, time 232.83ms, mfu 0.50%
iter 56: loss 3.3397, time 263.79ms, mfu 0.50%
iter 57: loss 3.2859, time 248.46ms, mfu 0.50%
iter 58: loss 3.3445, time 259.69ms, mfu 0.50%
iter 59: loss 3.4346, time 258.67ms, mfu 0.50%
iter 60: loss 3.3226, time 257.51ms, mfu 0.50%
iter 61: loss 3.2317, time 254.97ms, mfu 0.50%
iter 62: loss 3.2439, time 263.14ms, mfu 0.50%
iter 63: loss 3.2954, time 245.56ms, mfu 0.51%
iter 64: loss 3.2278, time 243.55ms, mfu 0.51%
iter 65: loss 3.2030, time 244.80ms, mfu 0.51%
iter 66: loss 3.1605, time 251.18ms, mfu 0.51%
iter 67: loss 3.2262, time 261.61ms, mfu 0.51%
iter 68: loss 3.1306, time 264.51ms, mfu 0.51%
iter 69: loss 3.2096, time 272.73ms, mfu 0.50%
iter 70: loss 3.2256, time 249.05ms, mfu 0.51%
iter 71: loss 3.1796, time 269.53ms, mfu 0.50%
iter 72: loss 3.1946, time 240.57ms, mfu 0.51%
iter 73: loss 3.1250, time 293.18ms, mfu 0.50%
iter 74: loss 3.1392, time 261.03ms, mfu 0.50%
iter 75: loss 3.1099, time 258.52ms, mfu 0.50%
iter 76: loss 3.0022, time 256.02ms, mfu 0.50%
iter 77: loss 3.1224, time 264.62ms, mfu 0.50%
iter 78: loss 3.0261, time 259.50ms, mfu 0.50%
iter 79: loss 3.0559, time 268.07ms, mfu 0.50%
iter 80: loss 3.1842, time 275.58ms, mfu 0.50%
iter 81: loss 3.0458, time 260.55ms, mfu 0.50%
iter 82: loss 3.0241, time 342.53ms, mfu 0.48%
iter 83: loss 3.0945, time 266.53ms, mfu 0.48%
iter 84: loss 3.0593, time 258.07ms, mfu 0.49%
iter 85: loss 3.0039, time 255.78ms, mfu 0.49%
iter 86: loss 3.0276, time 261.12ms, mfu 0.49%
iter 87: loss 3.0711, time 259.53ms, mfu 0.49%
iter 88: loss 3.0008, time 265.59ms, mfu 0.49%
iter 89: loss 3.0082, time 259.62ms, mfu 0.49%
iter 90: loss 2.9714, time 269.77ms, mfu 0.49%
iter 91: loss 2.9064, time 245.99ms, mfu 0.49%
iter 92: loss 2.8758, time 257.61ms, mfu 0.50%
iter 93: loss 2.9191, time 255.53ms, mfu 0.50%
iter 94: loss 2.9296, time 250.03ms, mfu 0.50%
iter 95: loss 2.9117, time 252.74ms, mfu 0.50%
iter 96: loss 2.9664, time 286.97ms, mfu 0.50%
iter 97: loss 2.9401, time 250.56ms, mfu 0.50%
iter 98: loss 2.9189, time 259.04ms, mfu 0.50%
iter 99: loss 2.9471, time 266.58ms, mfu 0.50%
iter 100: loss 2.9059, time 241.52ms, mfu 0.50%
iter 101: loss 2.9834, time 263.01ms, mfu 0.50%
iter 102: loss 2.8568, time 240.53ms, mfu 0.50%
iter 103: loss 2.8951, time 269.05ms, mfu 0.50%
iter 104: loss 2.8529, time 271.55ms, mfu 0.50%
iter 105: loss 2.8642, time 261.59ms, mfu 0.50%
iter 106: loss 2.8430, time 273.03ms, mfu 0.50%
iter 107: loss 2.9095, time 261.52ms, mfu 0.50%
iter 108: loss 2.8265, time 246.04ms, mfu 0.50%
iter 109: loss 2.7913, time 260.62ms, mfu 0.50%
iter 110: loss 2.8023, time 258.56ms, mfu 0.50%
iter 111: loss 2.8704, time 276.02ms, mfu 0.50%
iter 112: loss 2.8357, time 255.58ms, mfu 0.50%
iter 113: loss 2.8001, time 274.53ms, mfu 0.50%
iter 114: loss 2.8346, time 264.02ms, mfu 0.50%
iter 115: loss 2.7515, time 265.54ms, mfu 0.49%
iter 116: loss 2.8182, time 261.61ms, mfu 0.49%
iter 117: loss 2.7795, time 246.01ms, mfu 0.50%
iter 118: loss 2.6666, time 265.64ms, mfu 0.50%
iter 119: loss 2.8087, time 262.02ms, mfu 0.50%
iter 120: loss 2.8311, time 245.57ms, mfu 0.50%
iter 121: loss 2.7418, time 255.07ms, mfu 0.50%
iter 122: loss 2.7375, time 238.63ms, mfu 0.51%
iter 123: loss 2.7159, time 238.06ms, mfu 0.51%
iter 124: loss 2.7990, time 252.68ms, mfu 0.51%
iter 125: loss 2.7814, time 251.13ms, mfu 0.51%
iter 126: loss 2.8205, time 268.57ms, mfu 0.51%
iter 127: loss 2.8039, time 247.09ms, mfu 0.51%
iter 128: loss 2.7693, time 246.14ms, mfu 0.51%
iter 129: loss 2.7711, time 238.08ms, mfu 0.51%
iter 130: loss 2.8178, time 251.62ms, mfu 0.51%
iter 131: loss 2.8172, time 234.10ms, mfu 0.52%
iter 132: loss 2.7671, time 253.64ms, mfu 0.52%
iter 133: loss 2.6946, time 253.00ms, mfu 0.52%
iter 134: loss 2.7563, time 235.02ms, mfu 0.52%
iter 135: loss 2.7495, time 237.53ms, mfu 0.52%
iter 136: loss 2.7430, time 252.14ms, mfu 0.52%
iter 137: loss 2.6813, time 264.62ms, mfu 0.52%
iter 138: loss 2.7767, time 255.08ms, mfu 0.52%
iter 139: loss 2.7359, time 259.66ms, mfu 0.52%
iter 140: loss 2.6769, time 262.72ms, mfu 0.51%
iter 141: loss 2.7070, time 248.07ms, mfu 0.52%
iter 142: loss 2.7754, time 242.54ms, mfu 0.52%
iter 143: loss 2.6813, time 260.04ms, mfu 0.52%
iter 144: loss 2.6465, time 260.68ms, mfu 0.51%
iter 145: loss 2.7938, time 255.05ms, mfu 0.51%
iter 146: loss 2.7312, time 237.54ms, mfu 0.52%
iter 147: loss 2.7600, time 253.08ms, mfu 0.52%
