Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs8_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1701, val loss 4.1655
iter 0: loss 4.1837, time 1705.63ms, mfu -100.00%
iter 1: loss 4.1725, time 323.66ms, mfu -100.00%
iter 2: loss 4.1820, time 355.20ms, mfu -100.00%
iter 3: loss 4.1631, time 279.91ms, mfu -100.00%
iter 4: loss 4.1528, time 350.62ms, mfu -100.00%
iter 5: loss 4.1743, time 283.16ms, mfu 0.12%
iter 6: loss 4.1541, time 304.86ms, mfu 0.12%
iter 7: loss 4.1778, time 304.30ms, mfu 0.12%
iter 8: loss 4.1542, time 312.16ms, mfu 0.12%
iter 9: loss 4.1328, time 271.57ms, mfu 0.12%
iter 10: loss 4.1488, time 325.55ms, mfu 0.12%
iter 11: loss 4.1366, time 254.89ms, mfu 0.12%
iter 12: loss 4.1196, time 258.21ms, mfu 0.12%
iter 13: loss 4.1160, time 249.69ms, mfu 0.12%
iter 14: loss 4.1275, time 275.04ms, mfu 0.12%
iter 15: loss 4.1352, time 272.31ms, mfu 0.12%
iter 16: loss 4.1017, time 291.38ms, mfu 0.12%
iter 17: loss 4.0997, time 241.24ms, mfu 0.12%
iter 18: loss 4.1234, time 249.16ms, mfu 0.12%
iter 19: loss 4.0924, time 272.14ms, mfu 0.12%
iter 20: loss 4.0749, time 251.47ms, mfu 0.13%
iter 21: loss 4.0744, time 242.37ms, mfu 0.13%
iter 22: loss 4.0637, time 319.41ms, mfu 0.12%
iter 23: loss 4.0649, time 282.95ms, mfu 0.12%
iter 24: loss 4.0280, time 289.45ms, mfu 0.12%
iter 25: loss 4.0248, time 302.39ms, mfu 0.12%
iter 26: loss 4.0154, time 278.87ms, mfu 0.12%
iter 27: loss 3.9961, time 344.92ms, mfu 0.12%
iter 28: loss 3.9928, time 311.43ms, mfu 0.12%
iter 29: loss 3.9704, time 293.58ms, mfu 0.12%
iter 30: loss 3.9742, time 269.28ms, mfu 0.12%
iter 31: loss 3.9580, time 280.68ms, mfu 0.12%
iter 32: loss 3.9548, time 285.34ms, mfu 0.12%
iter 33: loss 3.9630, time 251.71ms, mfu 0.12%
iter 34: loss 3.9513, time 261.97ms, mfu 0.12%
iter 35: loss 3.9413, time 266.83ms, mfu 0.12%
iter 36: loss 3.8972, time 271.56ms, mfu 0.12%
iter 37: loss 3.9065, time 250.68ms, mfu 0.12%
iter 38: loss 3.8739, time 223.19ms, mfu 0.13%
iter 39: loss 3.8766, time 225.77ms, mfu 0.13%
iter 40: loss 3.8656, time 270.89ms, mfu 0.13%
iter 41: loss 3.8371, time 283.61ms, mfu 0.13%
iter 42: loss 3.8372, time 255.94ms, mfu 0.13%
iter 43: loss 3.8368, time 254.32ms, mfu 0.13%
iter 44: loss 3.8360, time 297.79ms, mfu 0.13%
iter 45: loss 3.8173, time 225.40ms, mfu 0.13%
iter 46: loss 3.8117, time 254.14ms, mfu 0.13%
iter 47: loss 3.7823, time 248.12ms, mfu 0.13%
iter 48: loss 3.7942, time 276.64ms, mfu 0.13%
iter 49: loss 3.7647, time 261.55ms, mfu 0.13%
iter 50: loss 3.7614, time 273.99ms, mfu 0.13%
iter 51: loss 3.7605, time 303.02ms, mfu 0.13%
iter 52: loss 3.7187, time 240.56ms, mfu 0.13%
iter 53: loss 3.7372, time 257.20ms, mfu 0.13%
iter 54: loss 3.7413, time 288.44ms, mfu 0.13%
iter 55: loss 3.7013, time 279.14ms, mfu 0.13%
iter 56: loss 3.7535, time 267.24ms, mfu 0.13%
iter 57: loss 3.7168, time 223.56ms, mfu 0.13%
iter 58: loss 3.7029, time 284.03ms, mfu 0.13%
iter 59: loss 3.7466, time 234.43ms, mfu 0.13%
iter 60: loss 3.6562, time 216.83ms, mfu 0.13%
