Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs8_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1699, val loss 4.1654
iter 0: loss 4.1792, time 1228.74ms, mfu -100.00%
iter 1: loss 4.1688, time 207.90ms, mfu -100.00%
iter 2: loss 4.1837, time 207.50ms, mfu -100.00%
iter 3: loss 4.1760, time 203.56ms, mfu -100.00%
iter 4: loss 4.1576, time 206.05ms, mfu -100.00%
iter 5: loss 4.1788, time 221.93ms, mfu 0.15%
iter 6: loss 4.1658, time 215.49ms, mfu 0.15%
iter 7: loss 4.1856, time 204.08ms, mfu 0.15%
iter 8: loss 4.1533, time 208.29ms, mfu 0.16%
iter 9: loss 4.1372, time 204.85ms, mfu 0.16%
iter 10: loss 4.1491, time 207.68ms, mfu 0.16%
iter 11: loss 4.1409, time 206.30ms, mfu 0.16%
iter 12: loss 4.1192, time 210.37ms, mfu 0.16%
iter 13: loss 4.1210, time 205.39ms, mfu 0.16%
iter 14: loss 4.1289, time 206.06ms, mfu 0.16%
iter 15: loss 4.1357, time 204.44ms, mfu 0.16%
iter 16: loss 4.1066, time 236.07ms, mfu 0.16%
iter 17: loss 4.0965, time 206.93ms, mfu 0.16%
iter 18: loss 4.1216, time 203.70ms, mfu 0.16%
iter 19: loss 4.0847, time 201.88ms, mfu 0.16%
iter 20: loss 4.0747, time 206.97ms, mfu 0.16%
iter 21: loss 4.0730, time 204.43ms, mfu 0.16%
iter 22: loss 4.0634, time 205.84ms, mfu 0.16%
iter 23: loss 4.0621, time 203.35ms, mfu 0.16%
iter 24: loss 4.0256, time 200.21ms, mfu 0.16%
iter 25: loss 4.0319, time 204.95ms, mfu 0.16%
iter 26: loss 4.0190, time 205.95ms, mfu 0.16%
iter 27: loss 3.9946, time 258.68ms, mfu 0.16%
iter 28: loss 3.9892, time 270.53ms, mfu 0.16%
iter 29: loss 3.9725, time 275.08ms, mfu 0.15%
iter 30: loss 3.9717, time 295.91ms, mfu 0.15%
iter 31: loss 3.9543, time 333.47ms, mfu 0.14%
iter 32: loss 3.9603, time 227.78ms, mfu 0.15%
iter 33: loss 3.9710, time 210.15ms, mfu 0.15%
iter 34: loss 3.9465, time 206.74ms, mfu 0.15%
iter 35: loss 3.9427, time 203.97ms, mfu 0.15%
iter 36: loss 3.9004, time 289.08ms, mfu 0.15%
iter 37: loss 3.9048, time 241.28ms, mfu 0.15%
iter 38: loss 3.8757, time 213.01ms, mfu 0.15%
iter 39: loss 3.8820, time 205.93ms, mfu 0.15%
iter 40: loss 3.8663, time 207.52ms, mfu 0.15%
iter 41: loss 3.8354, time 205.29ms, mfu 0.15%
iter 42: loss 3.8341, time 205.37ms, mfu 0.15%
iter 43: loss 3.8377, time 206.04ms, mfu 0.15%
iter 44: loss 3.8404, time 205.30ms, mfu 0.16%
iter 45: loss 3.8253, time 203.81ms, mfu 0.16%
iter 46: loss 3.8104, time 213.01ms, mfu 0.16%
iter 47: loss 3.7848, time 231.96ms, mfu 0.16%
iter 48: loss 3.7945, time 221.35ms, mfu 0.16%
iter 49: loss 3.7600, time 203.97ms, mfu 0.16%
iter 50: loss 3.7679, time 205.57ms, mfu 0.16%
iter 51: loss 3.7595, time 202.27ms, mfu 0.16%
iter 52: loss 3.7193, time 204.53ms, mfu 0.16%
iter 53: loss 3.7426, time 207.84ms, mfu 0.16%
iter 54: loss 3.7401, time 204.38ms, mfu 0.16%
iter 55: loss 3.7003, time 204.98ms, mfu 0.16%
iter 56: loss 3.7553, time 204.97ms, mfu 0.16%
iter 57: loss 3.7155, time 206.82ms, mfu 0.16%
iter 58: loss 3.6985, time 204.52ms, mfu 0.16%
iter 59: loss 3.7451, time 205.06ms, mfu 0.16%
iter 60: loss 3.6558, time 205.37ms, mfu 0.16%
