Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1701, val loss 4.1655
iter 0: loss 4.1786, time 1695.20ms, mfu -100.00%
iter 1: loss 4.1678, time 267.39ms, mfu -100.00%
iter 2: loss 4.1881, time 263.05ms, mfu -100.00%
iter 3: loss 4.1646, time 269.61ms, mfu -100.00%
iter 4: loss 4.1541, time 261.25ms, mfu -100.00%
iter 5: loss 4.1694, time 264.86ms, mfu 0.13%
iter 6: loss 4.1570, time 270.96ms, mfu 0.13%
iter 7: loss 4.1833, time 273.44ms, mfu 0.13%
iter 8: loss 4.1604, time 248.17ms, mfu 0.13%
iter 9: loss 4.1393, time 277.40ms, mfu 0.13%
iter 10: loss 4.1501, time 310.69ms, mfu 0.13%
iter 11: loss 4.1454, time 342.45ms, mfu 0.12%
iter 12: loss 4.1293, time 273.88ms, mfu 0.12%
iter 13: loss 4.1209, time 386.19ms, mfu 0.12%
iter 14: loss 4.1358, time 414.45ms, mfu 0.12%
iter 15: loss 4.1460, time 271.12ms, mfu 0.12%
iter 16: loss 4.1166, time 269.27ms, mfu 0.12%
iter 17: loss 4.1044, time 256.44ms, mfu 0.12%
iter 18: loss 4.1353, time 287.03ms, mfu 0.12%
iter 19: loss 4.1019, time 330.44ms, mfu 0.12%
iter 20: loss 4.0864, time 306.23ms, mfu 0.12%
iter 21: loss 4.0858, time 316.10ms, mfu 0.12%
iter 22: loss 4.0833, time 292.87ms, mfu 0.12%
iter 23: loss 4.0829, time 358.07ms, mfu 0.11%
iter 24: loss 4.0461, time 284.04ms, mfu 0.11%
iter 25: loss 4.0457, time 313.82ms, mfu 0.11%
iter 26: loss 4.0370, time 307.41ms, mfu 0.11%
iter 27: loss 4.0248, time 308.90ms, mfu 0.11%
iter 28: loss 4.0129, time 413.12ms, mfu 0.11%
iter 29: loss 3.9980, time 286.44ms, mfu 0.11%
iter 30: loss 3.9955, time 278.73ms, mfu 0.11%
iter 31: loss 3.9825, time 271.34ms, mfu 0.11%
iter 32: loss 3.9876, time 300.41ms, mfu 0.11%
iter 33: loss 3.9935, time 516.67ms, mfu 0.11%
iter 34: loss 3.9820, time 274.03ms, mfu 0.11%
iter 35: loss 3.9631, time 271.11ms, mfu 0.11%
iter 36: loss 3.9311, time 251.45ms, mfu 0.11%
iter 37: loss 3.9366, time 272.70ms, mfu 0.11%
iter 38: loss 3.9066, time 273.39ms, mfu 0.12%
iter 39: loss 3.9112, time 278.43ms, mfu 0.12%
iter 40: loss 3.8957, time 252.36ms, mfu 0.12%
iter 41: loss 3.8672, time 265.70ms, mfu 0.12%
iter 42: loss 3.8636, time 253.51ms, mfu 0.12%
iter 43: loss 3.8596, time 256.93ms, mfu 0.12%
iter 44: loss 3.8640, time 263.93ms, mfu 0.12%
iter 45: loss 3.8442, time 262.91ms, mfu 0.12%
iter 46: loss 3.8374, time 269.95ms, mfu 0.12%
iter 47: loss 3.8029, time 256.71ms, mfu 0.12%
iter 48: loss 3.8180, time 242.19ms, mfu 0.13%
iter 49: loss 3.7890, time 246.88ms, mfu 0.13%
iter 50: loss 3.7887, time 252.41ms, mfu 0.13%
iter 51: loss 3.7859, time 267.43ms, mfu 0.13%
iter 52: loss 3.7487, time 283.90ms, mfu 0.13%
iter 53: loss 3.7584, time 291.35ms, mfu 0.13%
iter 54: loss 3.7644, time 260.09ms, mfu 0.13%
iter 55: loss 3.7268, time 266.50ms, mfu 0.13%
iter 56: loss 3.7751, time 309.47ms, mfu 0.12%
iter 57: loss 3.7359, time 263.33ms, mfu 0.13%
iter 58: loss 3.7252, time 251.97ms, mfu 0.13%
iter 59: loss 3.7649, time 215.66ms, mfu 0.13%
iter 60: loss 3.6808, time 222.17ms, mfu 0.13%
