Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs16_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2845, val loss 4.2794
iter 0: loss 4.2879, time 1532.77ms, mfu -100.00%
iter 1: loss 4.2709, time 268.33ms, mfu -100.00%
iter 2: loss 4.2854, time 263.90ms, mfu -100.00%
iter 3: loss 4.2650, time 258.60ms, mfu -100.00%
iter 4: loss 4.2615, time 264.54ms, mfu -100.00%
iter 5: loss 4.2564, time 257.45ms, mfu 1.01%
iter 6: loss 4.2452, time 266.29ms, mfu 1.01%
iter 7: loss 4.2188, time 278.40ms, mfu 1.00%
iter 8: loss 4.1960, time 265.64ms, mfu 1.00%
iter 9: loss 4.2013, time 260.83ms, mfu 1.00%
iter 10: loss 4.1827, time 263.74ms, mfu 0.99%
iter 11: loss 4.1561, time 264.37ms, mfu 0.99%
iter 12: loss 4.1045, time 247.47ms, mfu 1.00%
iter 13: loss 4.1162, time 259.11ms, mfu 1.00%
iter 14: loss 4.0755, time 288.57ms, mfu 0.99%
iter 15: loss 4.0814, time 268.60ms, mfu 0.99%
iter 16: loss 4.0278, time 265.13ms, mfu 0.99%
iter 17: loss 4.0142, time 262.88ms, mfu 0.99%
iter 18: loss 3.9505, time 274.13ms, mfu 0.98%
iter 19: loss 3.9641, time 266.92ms, mfu 0.98%
iter 20: loss 3.9235, time 256.07ms, mfu 0.98%
iter 21: loss 3.8967, time 273.55ms, mfu 0.98%
iter 22: loss 3.8550, time 274.08ms, mfu 0.98%
iter 23: loss 3.8197, time 256.54ms, mfu 0.98%
iter 24: loss 3.8205, time 272.22ms, mfu 0.98%
iter 25: loss 3.7768, time 270.61ms, mfu 0.98%
iter 26: loss 3.7635, time 244.41ms, mfu 0.99%
iter 27: loss 3.7034, time 257.84ms, mfu 0.99%
iter 28: loss 3.7391, time 248.68ms, mfu 0.99%
iter 29: loss 3.6908, time 282.01ms, mfu 0.99%
iter 30: loss 3.7142, time 249.62ms, mfu 0.99%
iter 31: loss 3.6164, time 274.48ms, mfu 0.99%
iter 32: loss 3.6713, time 293.21ms, mfu 0.98%
iter 33: loss 3.6066, time 262.16ms, mfu 0.98%
iter 34: loss 3.5688, time 264.12ms, mfu 0.98%
iter 35: loss 3.5813, time 262.07ms, mfu 0.98%
iter 36: loss 3.5622, time 263.27ms, mfu 0.98%
iter 37: loss 3.5296, time 265.48ms, mfu 0.98%
iter 38: loss 3.5722, time 273.36ms, mfu 0.98%
iter 39: loss 3.5565, time 271.49ms, mfu 0.97%
iter 40: loss 3.4813, time 263.32ms, mfu 0.98%
iter 41: loss 3.4495, time 265.45ms, mfu 0.98%
iter 42: loss 3.4618, time 260.17ms, mfu 0.98%
iter 43: loss 3.5356, time 241.25ms, mfu 0.99%
iter 44: loss 3.4625, time 250.06ms, mfu 0.99%
iter 45: loss 3.4802, time 275.60ms, mfu 0.99%
iter 46: loss 3.4302, time 273.77ms, mfu 0.98%
iter 47: loss 3.3842, time 270.54ms, mfu 0.98%
iter 48: loss 3.3994, time 278.98ms, mfu 0.98%
iter 49: loss 3.3745, time 273.51ms, mfu 0.97%
iter 50: loss 3.4302, time 248.51ms, mfu 0.98%
iter 51: loss 3.3388, time 260.49ms, mfu 0.98%
iter 52: loss 3.3829, time 263.54ms, mfu 0.98%
iter 53: loss 3.3383, time 281.30ms, mfu 0.98%
iter 54: loss 3.3968, time 290.01ms, mfu 0.97%
iter 55: loss 3.3372, time 265.27ms, mfu 0.97%
iter 56: loss 3.2957, time 288.47ms, mfu 0.96%
iter 57: loss 3.3594, time 278.23ms, mfu 0.96%
iter 58: loss 3.2546, time 265.89ms, mfu 0.96%
iter 59: loss 3.2684, time 293.30ms, mfu 0.95%
iter 60: loss 3.2917, time 281.94ms, mfu 0.95%
iter 61: loss 3.2457, time 280.49ms, mfu 0.95%
iter 62: loss 3.2519, time 276.25ms, mfu 0.95%
iter 63: loss 3.2329, time 276.38ms, mfu 0.95%
iter 64: loss 3.2251, time 265.57ms, mfu 0.95%
iter 65: loss 3.1788, time 278.03ms, mfu 0.95%
iter 66: loss 3.1566, time 279.17ms, mfu 0.95%
iter 67: loss 3.1910, time 271.86ms, mfu 0.95%
iter 68: loss 3.1473, time 277.34ms, mfu 0.95%
iter 69: loss 3.1726, time 271.56ms, mfu 0.95%
iter 70: loss 3.1051, time 251.41ms, mfu 0.96%
iter 71: loss 3.1838, time 276.98ms, mfu 0.95%
iter 72: loss 3.1005, time 276.70ms, mfu 0.95%
