Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 8
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs8_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1701, val loss 4.1655
iter 0: loss 4.1786, time 1303.80ms, mfu -100.00%
iter 1: loss 4.1678, time 218.52ms, mfu -100.00%
iter 2: loss 4.1881, time 213.37ms, mfu -100.00%
iter 3: loss 4.1646, time 218.99ms, mfu -100.00%
iter 4: loss 4.1541, time 214.52ms, mfu -100.00%
iter 5: loss 4.1694, time 216.23ms, mfu 0.16%
iter 6: loss 4.1570, time 215.67ms, mfu 0.16%
iter 7: loss 4.1833, time 220.46ms, mfu 0.16%
iter 8: loss 4.1604, time 217.08ms, mfu 0.16%
iter 9: loss 4.1393, time 217.29ms, mfu 0.16%
iter 10: loss 4.1501, time 237.24ms, mfu 0.16%
iter 11: loss 4.1454, time 216.69ms, mfu 0.16%
iter 12: loss 4.1293, time 214.47ms, mfu 0.16%
iter 13: loss 4.1209, time 217.98ms, mfu 0.16%
iter 14: loss 4.1358, time 212.85ms, mfu 0.16%
iter 15: loss 4.1460, time 218.23ms, mfu 0.16%
iter 16: loss 4.1166, time 214.11ms, mfu 0.16%
iter 17: loss 4.1044, time 216.88ms, mfu 0.16%
iter 18: loss 4.1353, time 212.44ms, mfu 0.16%
iter 19: loss 4.1019, time 222.94ms, mfu 0.16%
iter 20: loss 4.0864, time 215.59ms, mfu 0.16%
iter 21: loss 4.0858, time 215.68ms, mfu 0.16%
iter 22: loss 4.0833, time 218.68ms, mfu 0.16%
iter 23: loss 4.0829, time 219.31ms, mfu 0.16%
iter 24: loss 4.0461, time 222.78ms, mfu 0.16%
iter 25: loss 4.0457, time 221.87ms, mfu 0.16%
iter 26: loss 4.0370, time 216.13ms, mfu 0.16%
iter 27: loss 4.0248, time 217.54ms, mfu 0.16%
iter 28: loss 4.0129, time 218.37ms, mfu 0.16%
iter 29: loss 3.9980, time 217.11ms, mfu 0.16%
iter 30: loss 3.9955, time 215.54ms, mfu 0.16%
iter 31: loss 3.9825, time 223.16ms, mfu 0.16%
iter 32: loss 3.9876, time 212.69ms, mfu 0.16%
iter 33: loss 3.9935, time 216.36ms, mfu 0.16%
iter 34: loss 3.9820, time 219.31ms, mfu 0.16%
iter 35: loss 3.9631, time 234.53ms, mfu 0.15%
iter 36: loss 3.9311, time 253.68ms, mfu 0.15%
iter 37: loss 3.9366, time 237.07ms, mfu 0.15%
iter 38: loss 3.9066, time 226.48ms, mfu 0.15%
iter 39: loss 3.9112, time 267.33ms, mfu 0.15%
iter 40: loss 3.8957, time 222.60ms, mfu 0.15%
iter 41: loss 3.8672, time 215.84ms, mfu 0.15%
iter 42: loss 3.8636, time 216.74ms, mfu 0.15%
iter 43: loss 3.8596, time 250.87ms, mfu 0.15%
iter 44: loss 3.8640, time 235.31ms, mfu 0.15%
iter 45: loss 3.8442, time 230.03ms, mfu 0.15%
iter 46: loss 3.8374, time 233.59ms, mfu 0.15%
iter 47: loss 3.8029, time 228.33ms, mfu 0.15%
iter 48: loss 3.8180, time 219.37ms, mfu 0.15%
iter 49: loss 3.7890, time 245.27ms, mfu 0.15%
iter 50: loss 3.7887, time 226.88ms, mfu 0.15%
iter 51: loss 3.7859, time 226.01ms, mfu 0.15%
iter 52: loss 3.7487, time 225.16ms, mfu 0.15%
iter 53: loss 3.7584, time 212.22ms, mfu 0.15%
iter 54: loss 3.7644, time 217.84ms, mfu 0.15%
iter 55: loss 3.7268, time 254.81ms, mfu 0.15%
iter 56: loss 3.7751, time 218.55ms, mfu 0.15%
iter 57: loss 3.7359, time 216.24ms, mfu 0.15%
iter 58: loss 3.7252, time 224.12ms, mfu 0.15%
iter 59: loss 3.7649, time 228.40ms, mfu 0.15%
iter 60: loss 3.6808, time 212.63ms, mfu 0.15%
