iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.1702,4.1669,,,,eval
5,,,4.1596,227.51,0.3,iter
6,,,4.1685,245.32,0.3,iter
7,,,4.1488,239.87,0.29,iter
8,,,4.1746,241.25,0.29,iter
9,,,4.1465,236.39,0.29,iter
10,,,4.1488,230.47,0.29,iter
11,,,4.1493,221.59,0.29,iter
12,,,4.1297,225.19,0.29,iter
13,,,4.139,219.36,0.3,iter
14,,,4.1245,222.4,0.3,iter
15,,,4.1309,221.48,0.3,iter
16,,,4.1123,231.69,0.3,iter
17,,,4.0928,230.5,0.3,iter
18,,,4.0915,215.91,0.3,iter
19,,,4.0732,227.2,0.3,iter
20,,,4.0731,217.67,0.3,iter
21,,,4.0717,219.31,0.3,iter
22,,,4.0606,222.67,0.3,iter
23,,,4.0577,227.28,0.3,iter
24,,,4.0469,244.19,0.3,iter
25,,,4.0181,223.56,0.3,iter
26,,,4.0186,218.96,0.3,iter
27,,,3.9843,220.58,0.3,iter
28,,,4.0076,216.88,0.3,iter
29,,,3.9955,228.47,0.3,iter
30,,,3.9983,221.1,0.3,iter
31,,,3.9478,223.71,0.3,iter
32,,,3.9504,220.77,0.3,iter
33,,,3.9252,218.3,0.3,iter
34,,,3.9096,216.36,0.3,iter
35,,,3.9441,236.92,0.3,iter
36,,,3.8955,236.67,0.3,iter
37,,,3.8938,210.94,0.3,iter
38,,,3.8926,214.77,0.3,iter
39,,,3.8633,218.49,0.31,iter
40,,,3.8724,231.47,0.3,iter
41,,,3.8846,212.37,0.31,iter
42,,,3.8179,211.3,0.31,iter
43,,,3.8304,211.4,0.31,iter
44,,,3.8343,215.22,0.31,iter
45,,,3.7995,208.13,0.31,iter
46,,,3.8101,214.14,0.31,iter
47,,,3.8245,207.44,0.31,iter
48,,,3.7707,211.56,0.31,iter
49,,,3.7855,213.39,0.31,iter
50,,,3.7779,211.62,0.31,iter
51,,,3.757,211.18,0.32,iter
52,,,3.7382,209.03,0.32,iter
53,,,3.7497,211.95,0.32,iter
54,,,3.7397,210.54,0.32,iter
55,,,3.7154,211.14,0.32,iter
56,,,3.7193,211.9,0.32,iter
57,,,3.7471,209.0,0.32,iter
58,,,3.6996,229.37,0.32,iter
59,,,3.7712,234.78,0.31,iter
60,,,3.7236,210.19,0.31,iter
61,,,3.7264,209.39,0.32,iter
62,,,3.6994,209.19,0.32,iter
63,,,3.7066,213.38,0.32,iter
64,,,3.6702,210.14,0.32,iter
65,,,3.6746,211.78,0.32,iter
66,,,3.6812,209.46,0.32,iter
67,,,3.6853,216.68,0.32,iter
68,,,3.657,210.44,0.32,iter
69,,,3.6482,207.67,0.32,iter
70,,,3.6484,213.14,0.32,iter
71,,,3.6588,208.55,0.32,iter
72,,,3.6931,210.64,0.32,iter
73,,,3.6539,235.45,0.32,iter
74,,,3.6219,209.21,0.32,iter
75,,,3.6617,213.87,0.32,iter
76,,,3.6487,208.25,0.32,iter
77,,,3.6183,211.94,0.32,iter
78,,,3.6311,212.39,0.32,iter
79,,,3.6189,209.42,0.32,iter
80,,,3.5903,213.09,0.32,iter
81,,,3.6175,211.5,0.32,iter
82,,,3.6107,212.41,0.32,iter
83,,,3.5871,235.25,0.32,iter
84,,,3.5796,225.91,0.31,iter
85,,,3.5998,213.28,0.31,iter
86,,,3.6128,209.34,0.32,iter
87,,,3.5937,213.61,0.32,iter
88,,,3.5746,210.94,0.32,iter
89,,,3.5631,211.31,0.32,iter
90,,,3.5582,208.32,0.32,iter
91,,,3.5252,234.13,0.32,iter
92,,,3.5548,213.48,0.32,iter
93,,,3.5428,213.2,0.32,iter
94,,,3.5704,209.65,0.32,iter
95,,,3.5183,211.81,0.32,iter
96,,,3.5043,211.51,0.32,iter
97,,,3.5318,211.85,0.32,iter
98,,,3.4956,209.26,0.32,iter
99,,,3.5247,210.26,0.32,iter
100,,,3.4924,209.1,0.32,iter
101,,,3.4714,214.59,0.32,iter
102,,,3.4796,209.23,0.32,iter
103,,,3.4801,208.36,0.32,iter
104,,,3.4793,207.84,0.32,iter
105,,,3.4488,213.03,0.32,iter
106,,,3.4252,209.48,0.32,iter
107,,,3.4623,208.96,0.32,iter
108,,,3.4593,212.76,0.32,iter
109,,,3.4207,213.72,0.32,iter
110,,,3.4366,213.98,0.32,iter
111,,,3.4647,211.18,0.32,iter
112,,,3.394,212.43,0.32,iter
113,,,3.4256,208.42,0.32,iter
114,,,3.4402,210.47,0.32,iter
115,,,3.4258,212.12,0.32,iter
116,,,3.4199,214.19,0.32,iter
117,,,3.4279,212.84,0.32,iter
118,,,3.367,210.11,0.32,iter
119,,,3.411,208.86,0.32,iter
120,,,3.402,211.31,0.32,iter
121,,,3.3773,211.63,0.32,iter
122,,,3.3392,209.34,0.32,iter
123,,,3.3464,220.42,0.32,iter
124,,,3.4042,236.44,0.32,iter
125,,,3.3636,217.51,0.32,iter
126,,,3.3615,269.11,0.31,iter
127,,,3.3761,285.61,0.3,iter
