Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs16_it1000_do01
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1702, val loss 4.1669
iter 0: loss 4.1749, time 1335.01ms, mfu -100.00%
iter 1: loss 4.1659, time 236.63ms, mfu -100.00%
iter 2: loss 4.1685, time 226.23ms, mfu -100.00%
iter 3: loss 4.1534, time 230.99ms, mfu -100.00%
iter 4: loss 4.1752, time 236.36ms, mfu -100.00%
iter 5: loss 4.1596, time 227.51ms, mfu 0.30%
iter 6: loss 4.1685, time 245.32ms, mfu 0.30%
iter 7: loss 4.1488, time 239.87ms, mfu 0.29%
iter 8: loss 4.1746, time 241.25ms, mfu 0.29%
iter 9: loss 4.1465, time 236.39ms, mfu 0.29%
iter 10: loss 4.1488, time 230.47ms, mfu 0.29%
iter 11: loss 4.1493, time 221.59ms, mfu 0.29%
iter 12: loss 4.1297, time 225.19ms, mfu 0.29%
iter 13: loss 4.1390, time 219.36ms, mfu 0.30%
iter 14: loss 4.1245, time 222.40ms, mfu 0.30%
iter 15: loss 4.1309, time 221.48ms, mfu 0.30%
iter 16: loss 4.1123, time 231.69ms, mfu 0.30%
iter 17: loss 4.0928, time 230.50ms, mfu 0.30%
iter 18: loss 4.0915, time 215.91ms, mfu 0.30%
iter 19: loss 4.0732, time 227.20ms, mfu 0.30%
iter 20: loss 4.0731, time 217.67ms, mfu 0.30%
iter 21: loss 4.0717, time 219.31ms, mfu 0.30%
iter 22: loss 4.0606, time 222.67ms, mfu 0.30%
iter 23: loss 4.0577, time 227.28ms, mfu 0.30%
iter 24: loss 4.0469, time 244.19ms, mfu 0.30%
iter 25: loss 4.0181, time 223.56ms, mfu 0.30%
iter 26: loss 4.0186, time 218.96ms, mfu 0.30%
iter 27: loss 3.9843, time 220.58ms, mfu 0.30%
iter 28: loss 4.0076, time 216.88ms, mfu 0.30%
iter 29: loss 3.9955, time 228.47ms, mfu 0.30%
iter 30: loss 3.9983, time 221.10ms, mfu 0.30%
iter 31: loss 3.9478, time 223.71ms, mfu 0.30%
iter 32: loss 3.9504, time 220.77ms, mfu 0.30%
iter 33: loss 3.9252, time 218.30ms, mfu 0.30%
iter 34: loss 3.9096, time 216.36ms, mfu 0.30%
iter 35: loss 3.9441, time 236.92ms, mfu 0.30%
iter 36: loss 3.8955, time 236.67ms, mfu 0.30%
iter 37: loss 3.8938, time 210.94ms, mfu 0.30%
iter 38: loss 3.8926, time 214.77ms, mfu 0.30%
iter 39: loss 3.8633, time 218.49ms, mfu 0.31%
iter 40: loss 3.8724, time 231.47ms, mfu 0.30%
iter 41: loss 3.8846, time 212.37ms, mfu 0.31%
iter 42: loss 3.8179, time 211.30ms, mfu 0.31%
iter 43: loss 3.8304, time 211.40ms, mfu 0.31%
iter 44: loss 3.8343, time 215.22ms, mfu 0.31%
iter 45: loss 3.7995, time 208.13ms, mfu 0.31%
iter 46: loss 3.8101, time 214.14ms, mfu 0.31%
iter 47: loss 3.8245, time 207.44ms, mfu 0.31%
iter 48: loss 3.7707, time 211.56ms, mfu 0.31%
iter 49: loss 3.7855, time 213.39ms, mfu 0.31%
iter 50: loss 3.7779, time 211.62ms, mfu 0.31%
iter 51: loss 3.7570, time 211.18ms, mfu 0.32%
iter 52: loss 3.7382, time 209.03ms, mfu 0.32%
iter 53: loss 3.7497, time 211.95ms, mfu 0.32%
iter 54: loss 3.7397, time 210.54ms, mfu 0.32%
iter 55: loss 3.7154, time 211.14ms, mfu 0.32%
iter 56: loss 3.7193, time 211.90ms, mfu 0.32%
iter 57: loss 3.7471, time 209.00ms, mfu 0.32%
iter 58: loss 3.6996, time 229.37ms, mfu 0.32%
iter 59: loss 3.7712, time 234.78ms, mfu 0.31%
iter 60: loss 3.7236, time 210.19ms, mfu 0.31%
