Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 94: loss 3.6173, time 299.26ms, mfu 0.26%
iter 95: loss 3.5591, time 269.57ms, mfu 0.26%
iter 96: loss 3.5371, time 279.46ms, mfu 0.26%
iter 97: loss 3.5846, time 321.67ms, mfu 0.26%
iter 98: loss 3.5401, time 284.85ms, mfu 0.25%
iter 99: loss 3.5580, time 239.46ms, mfu 0.26%
iter 100: loss 3.5393, time 255.48ms, mfu 0.26%
iter 101: loss 3.5125, time 243.88ms, mfu 0.26%
iter 102: loss 3.5235, time 251.35ms, mfu 0.26%
iter 103: loss 3.5196, time 269.38ms, mfu 0.26%
iter 104: loss 3.5193, time 266.70ms, mfu 0.26%
iter 105: loss 3.4904, time 278.91ms, mfu 0.26%
iter 106: loss 3.4679, time 370.64ms, mfu 0.25%
iter 107: loss 3.5157, time 351.47ms, mfu 0.24%
iter 108: loss 3.5041, time 263.73ms, mfu 0.25%
iter 109: loss 3.4677, time 252.09ms, mfu 0.25%
iter 110: loss 3.4757, time 230.84ms, mfu 0.25%
iter 111: loss 3.4965, time 242.63ms, mfu 0.26%
iter 112: loss 3.4370, time 241.16ms, mfu 0.26%
iter 113: loss 3.4691, time 260.33ms, mfu 0.26%
iter 114: loss 3.4802, time 250.13ms, mfu 0.26%
iter 115: loss 3.4609, time 256.49ms, mfu 0.26%
iter 116: loss 3.4607, time 250.32ms, mfu 0.26%
iter 117: loss 3.4704, time 277.34ms, mfu 0.26%
iter 118: loss 3.4174, time 234.97ms, mfu 0.26%
iter 119: loss 3.4531, time 260.15ms, mfu 0.26%
iter 120: loss 3.4403, time 244.51ms, mfu 0.26%
iter 121: loss 3.4122, time 268.48ms, mfu 0.26%
iter 122: loss 3.3891, time 243.36ms, mfu 0.26%
iter 123: loss 3.3912, time 274.58ms, mfu 0.26%
iter 124: loss 3.4432, time 240.27ms, mfu 0.26%
iter 125: loss 3.4058, time 225.76ms, mfu 0.27%
iter 126: loss 3.3991, time 229.13ms, mfu 0.27%
iter 127: loss 3.4142, time 265.86ms, mfu 0.27%
iter 128: loss 3.3698, time 266.36ms, mfu 0.27%
iter 129: loss 3.3711, time 309.45ms, mfu 0.26%
iter 130: loss 3.3511, time 227.99ms, mfu 0.27%
iter 131: loss 3.3624, time 296.02ms, mfu 0.26%
iter 132: loss 3.3591, time 283.49ms, mfu 0.26%
iter 133: loss 3.3955, time 289.57ms, mfu 0.26%
iter 134: loss 3.3509, time 225.95ms, mfu 0.26%
iter 135: loss 3.3459, time 232.72ms, mfu 0.27%
iter 136: loss 3.3264, time 252.33ms, mfu 0.27%
iter 137: loss 3.3336, time 226.63ms, mfu 0.27%
iter 138: loss 3.3888, time 220.93ms, mfu 0.27%
iter 139: loss 3.3340, time 225.17ms, mfu 0.28%
iter 140: loss 3.3232, time 231.54ms, mfu 0.28%
