Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e128_bs16_it1000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 0: train loss 4.1702, val loss 4.1669
iter 0: loss 4.1732, time 1530.07ms, mfu -100.00%
iter 1: loss 4.1713, time 216.04ms, mfu -100.00%
iter 2: loss 4.1678, time 215.97ms, mfu -100.00%
iter 3: loss 4.1623, time 220.49ms, mfu -100.00%
iter 4: loss 4.1775, time 216.70ms, mfu -100.00%
iter 5: loss 4.1624, time 223.76ms, mfu 0.30%
iter 6: loss 4.1687, time 215.00ms, mfu 0.30%
iter 7: loss 4.1501, time 220.50ms, mfu 0.30%
iter 8: loss 4.1788, time 219.98ms, mfu 0.31%
iter 9: loss 4.1564, time 221.76ms, mfu 0.31%
iter 10: loss 4.1536, time 238.70ms, mfu 0.30%
iter 11: loss 4.1563, time 225.94ms, mfu 0.30%
iter 12: loss 4.1448, time 214.28ms, mfu 0.30%
iter 13: loss 4.1465, time 218.07ms, mfu 0.30%
iter 14: loss 4.1329, time 220.08ms, mfu 0.31%
iter 15: loss 4.1409, time 218.77ms, mfu 0.31%
iter 16: loss 4.1184, time 215.91ms, mfu 0.31%
iter 17: loss 4.1030, time 221.67ms, mfu 0.31%
iter 18: loss 4.0995, time 218.09ms, mfu 0.31%
iter 19: loss 4.0872, time 229.74ms, mfu 0.31%
iter 20: loss 4.0828, time 263.51ms, mfu 0.30%
iter 21: loss 4.0882, time 216.96ms, mfu 0.30%
iter 22: loss 4.0771, time 231.40ms, mfu 0.30%
iter 23: loss 4.0764, time 215.83ms, mfu 0.30%
iter 24: loss 4.0645, time 221.88ms, mfu 0.30%
iter 25: loss 4.0373, time 211.50ms, mfu 0.30%
iter 26: loss 4.0349, time 226.79ms, mfu 0.30%
iter 27: loss 4.0083, time 222.01ms, mfu 0.30%
iter 28: loss 4.0230, time 218.08ms, mfu 0.30%
iter 29: loss 4.0184, time 211.32ms, mfu 0.31%
iter 30: loss 4.0234, time 220.20ms, mfu 0.31%
iter 31: loss 3.9712, time 217.51ms, mfu 0.31%
iter 32: loss 3.9815, time 214.04ms, mfu 0.31%
iter 33: loss 3.9528, time 219.12ms, mfu 0.31%
iter 34: loss 3.9358, time 211.77ms, mfu 0.31%
iter 35: loss 3.9686, time 215.54ms, mfu 0.31%
iter 36: loss 3.9253, time 222.28ms, mfu 0.31%
iter 37: loss 3.9177, time 208.71ms, mfu 0.31%
iter 38: loss 3.9248, time 210.19ms, mfu 0.31%
iter 39: loss 3.8945, time 210.36ms, mfu 0.31%
iter 40: loss 3.8991, time 216.67ms, mfu 0.31%
iter 41: loss 3.9098, time 224.74ms, mfu 0.31%
iter 42: loss 3.8550, time 214.22ms, mfu 0.31%
iter 43: loss 3.8584, time 214.96ms, mfu 0.31%
iter 44: loss 3.8598, time 215.51ms, mfu 0.31%
iter 45: loss 3.8275, time 212.55ms, mfu 0.31%
iter 46: loss 3.8388, time 214.29ms, mfu 0.31%
iter 47: loss 3.8508, time 209.54ms, mfu 0.32%
iter 48: loss 3.7953, time 211.00ms, mfu 0.32%
iter 49: loss 3.8141, time 212.19ms, mfu 0.32%
iter 50: loss 3.7988, time 210.54ms, mfu 0.32%
iter 51: loss 3.7773, time 210.62ms, mfu 0.32%
iter 52: loss 3.7641, time 212.07ms, mfu 0.32%
iter 53: loss 3.7730, time 208.24ms, mfu 0.32%
iter 54: loss 3.7659, time 221.63ms, mfu 0.32%
iter 55: loss 3.7388, time 229.49ms, mfu 0.31%
iter 56: loss 3.7433, time 243.17ms, mfu 0.31%
iter 57: loss 3.7682, time 229.65ms, mfu 0.31%
iter 58: loss 3.7232, time 208.60ms, mfu 0.31%
iter 59: loss 3.7936, time 212.53ms, mfu 0.31%
iter 60: loss 3.7438, time 217.54ms, mfu 0.31%
