Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 0: loss 4.2961, time 1449.12ms, mfu -100.00%
iter 1: loss 4.2476, time 246.05ms, mfu -100.00%
iter 2: loss 4.3046, time 244.57ms, mfu -100.00%
iter 3: loss 4.2423, time 243.03ms, mfu -100.00%
iter 4: loss 4.2749, time 252.59ms, mfu -100.00%
iter 5: loss 4.2198, time 241.02ms, mfu 0.54%
iter 6: loss 4.2372, time 254.57ms, mfu 0.54%
iter 7: loss 4.2271, time 245.03ms, mfu 0.54%
iter 8: loss 4.2337, time 253.54ms, mfu 0.53%
iter 9: loss 4.2021, time 254.22ms, mfu 0.53%
iter 10: loss 4.1914, time 294.53ms, mfu 0.52%
iter 11: loss 4.1555, time 243.74ms, mfu 0.52%
iter 12: loss 4.1282, time 250.03ms, mfu 0.52%
iter 13: loss 4.1240, time 271.94ms, mfu 0.52%
iter 14: loss 4.1170, time 265.14ms, mfu 0.51%
iter 15: loss 4.1019, time 249.02ms, mfu 0.52%
iter 16: loss 4.0716, time 263.53ms, mfu 0.51%
iter 17: loss 4.0654, time 346.19ms, mfu 0.50%
iter 18: loss 4.0354, time 253.55ms, mfu 0.50%
iter 19: loss 4.0015, time 248.53ms, mfu 0.50%
iter 20: loss 3.9599, time 260.54ms, mfu 0.50%
iter 21: loss 3.9317, time 245.06ms, mfu 0.51%
iter 22: loss 3.9354, time 240.11ms, mfu 0.51%
iter 23: loss 3.8477, time 231.52ms, mfu 0.51%
iter 24: loss 3.8825, time 250.03ms, mfu 0.51%
iter 25: loss 3.7846, time 241.52ms, mfu 0.52%
iter 26: loss 3.7963, time 254.03ms, mfu 0.52%
iter 27: loss 3.7546, time 245.58ms, mfu 0.52%
iter 28: loss 3.7733, time 236.03ms, mfu 0.52%
iter 29: loss 3.7979, time 241.03ms, mfu 0.52%
iter 30: loss 3.6771, time 241.52ms, mfu 0.52%
iter 31: loss 3.6460, time 239.32ms, mfu 0.53%
iter 32: loss 3.6402, time 236.61ms, mfu 0.53%
iter 33: loss 3.7033, time 273.28ms, mfu 0.52%
iter 34: loss 3.5842, time 292.56ms, mfu 0.51%
iter 35: loss 3.5669, time 244.80ms, mfu 0.52%
iter 36: loss 3.5332, time 265.07ms, mfu 0.51%
iter 37: loss 3.5161, time 259.61ms, mfu 0.51%
iter 38: loss 3.5857, time 248.13ms, mfu 0.51%
iter 39: loss 3.5207, time 248.53ms, mfu 0.51%
iter 40: loss 3.5133, time 247.15ms, mfu 0.52%
iter 41: loss 3.5595, time 262.49ms, mfu 0.51%
iter 42: loss 3.4702, time 250.60ms, mfu 0.51%
iter 43: loss 3.4947, time 255.00ms, mfu 0.51%
iter 44: loss 3.4615, time 234.30ms, mfu 0.52%
iter 45: loss 3.4950, time 240.69ms, mfu 0.52%
iter 46: loss 3.4467, time 246.05ms, mfu 0.52%
iter 47: loss 3.4127, time 226.62ms, mfu 0.53%
iter 48: loss 3.4176, time 237.04ms, mfu 0.53%
iter 49: loss 3.4537, time 231.02ms, mfu 0.53%
iter 50: loss 3.5132, time 232.73ms, mfu 0.53%
iter 51: loss 3.3594, time 231.02ms, mfu 0.54%
iter 52: loss 3.3987, time 232.10ms, mfu 0.54%
iter 53: loss 3.4602, time 238.52ms, mfu 0.54%
iter 54: loss 3.4882, time 227.02ms, mfu 0.54%
iter 55: loss 3.3565, time 250.14ms, mfu 0.54%
iter 56: loss 3.3918, time 233.62ms, mfu 0.54%
iter 57: loss 3.3399, time 245.91ms, mfu 0.54%
iter 58: loss 3.3938, time 293.07ms, mfu 0.53%
iter 59: loss 3.4938, time 253.07ms, mfu 0.53%
iter 60: loss 3.4029, time 225.10ms, mfu 0.53%
iter 61: loss 3.3016, time 249.80ms, mfu 0.53%
iter 62: loss 3.3097, time 230.52ms, mfu 0.54%
iter 63: loss 3.3746, time 241.32ms, mfu 0.54%
iter 64: loss 3.3078, time 243.03ms, mfu 0.54%
iter 65: loss 3.2780, time 237.55ms, mfu 0.54%
iter 66: loss 3.2309, time 254.02ms, mfu 0.53%
iter 67: loss 3.3046, time 232.58ms, mfu 0.54%
iter 68: loss 3.2081, time 238.04ms, mfu 0.54%
iter 69: loss 3.2909, time 242.54ms, mfu 0.54%
iter 70: loss 3.2837, time 239.02ms, mfu 0.54%
iter 71: loss 3.2627, time 225.06ms, mfu 0.54%
iter 72: loss 3.2692, time 243.66ms, mfu 0.54%
iter 73: loss 3.2016, time 233.04ms, mfu 0.54%
iter 74: loss 3.2305, time 323.21ms, mfu 0.53%
iter 75: loss 3.1850, time 228.14ms, mfu 0.53%
iter 76: loss 3.0874, time 224.53ms, mfu 0.54%
iter 77: loss 3.1954, time 243.03ms, mfu 0.54%
iter 78: loss 3.1152, time 257.51ms, mfu 0.53%
iter 79: loss 3.1370, time 250.85ms, mfu 0.53%
iter 80: loss 3.2630, time 230.15ms, mfu 0.53%
iter 81: loss 3.1274, time 241.55ms, mfu 0.54%
iter 82: loss 3.0863, time 261.11ms, mfu 0.53%
iter 83: loss 3.1715, time 250.89ms, mfu 0.53%
iter 84: loss 3.1369, time 248.90ms, mfu 0.53%
iter 85: loss 3.0754, time 252.03ms, mfu 0.53%
iter 86: loss 3.0933, time 237.26ms, mfu 0.53%
iter 87: loss 3.1589, time 248.61ms, mfu 0.53%
iter 88: loss 3.0634, time 285.53ms, mfu 0.52%
iter 89: loss 3.0888, time 237.08ms, mfu 0.52%
iter 90: loss 3.0386, time 233.04ms, mfu 0.53%
iter 91: loss 2.9780, time 226.57ms, mfu 0.53%
iter 92: loss 2.9640, time 238.34ms, mfu 0.53%
iter 93: loss 2.9860, time 242.57ms, mfu 0.53%
iter 94: loss 2.9946, time 230.29ms, mfu 0.54%
iter 95: loss 2.9667, time 242.02ms, mfu 0.54%
iter 96: loss 3.0390, time 248.60ms, mfu 0.53%
iter 97: loss 3.0071, time 239.02ms, mfu 0.54%
iter 98: loss 2.9689, time 253.54ms, mfu 0.53%
iter 99: loss 3.0206, time 244.04ms, mfu 0.53%
iter 100: loss 2.9594, time 246.07ms, mfu 0.53%
iter 101: loss 3.0523, time 245.21ms, mfu 0.53%
iter 102: loss 2.9169, time 275.91ms, mfu 0.53%
iter 103: loss 2.9644, time 238.03ms, mfu 0.53%
iter 104: loss 2.9291, time 238.53ms, mfu 0.53%
iter 105: loss 2.9195, time 246.12ms, mfu 0.53%
iter 106: loss 2.9138, time 268.66ms, mfu 0.52%
iter 107: loss 2.9729, time 323.60ms, mfu 0.51%
iter 108: loss 2.8945, time 255.06ms, mfu 0.51%
iter 109: loss 2.8409, time 236.59ms, mfu 0.52%
iter 110: loss 2.8412, time 255.03ms, mfu 0.52%
iter 111: loss 2.9335, time 243.54ms, mfu 0.52%
iter 112: loss 2.8920, time 234.06ms, mfu 0.52%
iter 113: loss 2.8455, time 244.53ms, mfu 0.52%
iter 114: loss 2.8839, time 246.43ms, mfu 0.52%
iter 115: loss 2.8157, time 249.99ms, mfu 0.52%
iter 116: loss 2.8807, time 234.07ms, mfu 0.53%
iter 117: loss 2.8220, time 232.06ms, mfu 0.53%
iter 118: loss 2.7175, time 340.33ms, mfu 0.51%
iter 119: loss 2.8718, time 228.19ms, mfu 0.52%
iter 120: loss 2.8867, time 251.07ms, mfu 0.52%
iter 121: loss 2.7938, time 238.01ms, mfu 0.52%
iter 122: loss 2.8011, time 250.01ms, mfu 0.52%
iter 123: loss 2.7642, time 236.96ms, mfu 0.52%
iter 124: loss 2.8452, time 236.03ms, mfu 0.53%
iter 125: loss 2.8349, time 255.11ms, mfu 0.52%
iter 126: loss 2.8585, time 234.10ms, mfu 0.53%
iter 127: loss 2.8375, time 244.15ms, mfu 0.53%
iter 128: loss 2.8200, time 253.57ms, mfu 0.53%
iter 129: loss 2.8186, time 239.02ms, mfu 0.53%
iter 130: loss 2.8574, time 256.86ms, mfu 0.53%
iter 131: loss 2.8601, time 252.15ms, mfu 0.52%
iter 132: loss 2.7997, time 228.53ms, mfu 0.53%
iter 133: loss 2.7480, time 241.45ms, mfu 0.53%
iter 134: loss 2.8018, time 254.44ms, mfu 0.53%
iter 135: loss 2.7817, time 267.08ms, mfu 0.52%
iter 136: loss 2.7906, time 245.52ms, mfu 0.52%
iter 137: loss 2.7105, time 251.02ms, mfu 0.52%
iter 138: loss 2.8337, time 248.55ms, mfu 0.52%
iter 139: loss 2.8033, time 241.02ms, mfu 0.52%
iter 140: loss 2.7282, time 270.19ms, mfu 0.52%
iter 141: loss 2.7781, time 276.60ms, mfu 0.52%
iter 142: loss 2.8133, time 265.04ms, mfu 0.51%
iter 143: loss 2.7309, time 257.62ms, mfu 0.51%
iter 144: loss 2.7016, time 260.13ms, mfu 0.51%
iter 145: loss 2.8460, time 253.59ms, mfu 0.51%
iter 146: loss 2.7818, time 281.52ms, mfu 0.51%
iter 147: loss 2.7971, time 260.11ms, mfu 0.51%
