Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs16_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2850, val loss 4.2800
iter 0: loss 4.2812, time 1318.55ms, mfu -100.00%
iter 1: loss 4.2744, time 237.21ms, mfu -100.00%
iter 2: loss 4.2747, time 231.10ms, mfu -100.00%
iter 3: loss 4.2581, time 233.69ms, mfu -100.00%
iter 4: loss 4.2578, time 220.47ms, mfu -100.00%
iter 5: loss 4.2522, time 269.58ms, mfu 0.96%
iter 6: loss 4.2512, time 246.38ms, mfu 0.97%
iter 7: loss 4.2182, time 214.83ms, mfu 1.00%
iter 8: loss 4.1942, time 223.02ms, mfu 1.01%
iter 9: loss 4.1971, time 221.52ms, mfu 1.03%
iter 10: loss 4.1943, time 218.02ms, mfu 1.04%
iter 11: loss 4.1617, time 226.41ms, mfu 1.05%
iter 12: loss 4.1150, time 238.23ms, mfu 1.06%
iter 13: loss 4.1223, time 242.22ms, mfu 1.06%
iter 14: loss 4.0811, time 239.41ms, mfu 1.06%
iter 15: loss 4.0792, time 232.55ms, mfu 1.07%
iter 16: loss 4.0276, time 218.92ms, mfu 1.08%
iter 17: loss 4.0193, time 224.07ms, mfu 1.09%
iter 18: loss 3.9579, time 214.38ms, mfu 1.10%
iter 19: loss 3.9633, time 220.13ms, mfu 1.11%
iter 20: loss 3.9144, time 230.94ms, mfu 1.11%
iter 21: loss 3.9004, time 223.69ms, mfu 1.11%
iter 22: loss 3.8602, time 214.00ms, mfu 1.12%
iter 23: loss 3.8139, time 221.64ms, mfu 1.13%
iter 24: loss 3.8275, time 219.18ms, mfu 1.13%
iter 25: loss 3.7737, time 236.43ms, mfu 1.13%
iter 26: loss 3.7719, time 234.12ms, mfu 1.13%
iter 27: loss 3.7058, time 220.72ms, mfu 1.13%
iter 28: loss 3.7425, time 226.49ms, mfu 1.13%
iter 29: loss 3.6902, time 212.64ms, mfu 1.14%
iter 30: loss 3.7172, time 217.70ms, mfu 1.15%
