Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
iter 87: loss 3.1307, time 279.13ms, mfu 0.49%
iter 88: loss 3.0443, time 231.88ms, mfu 0.50%
iter 89: loss 3.0632, time 277.91ms, mfu 0.49%
iter 90: loss 3.0410, time 252.07ms, mfu 0.49%
iter 91: loss 2.9742, time 279.77ms, mfu 0.49%
iter 92: loss 2.9646, time 256.63ms, mfu 0.49%
iter 93: loss 2.9908, time 258.68ms, mfu 0.49%
iter 94: loss 2.9920, time 259.52ms, mfu 0.49%
iter 95: loss 2.9532, time 268.12ms, mfu 0.49%
iter 96: loss 3.0369, time 252.35ms, mfu 0.50%
iter 97: loss 3.0046, time 227.98ms, mfu 0.50%
iter 98: loss 2.9616, time 219.49ms, mfu 0.51%
iter 99: loss 3.0130, time 224.75ms, mfu 0.52%
iter 100: loss 2.9502, time 227.07ms, mfu 0.52%
iter 101: loss 3.0473, time 234.96ms, mfu 0.53%
iter 102: loss 2.9293, time 234.11ms, mfu 0.53%
iter 103: loss 2.9665, time 217.55ms, mfu 0.54%
iter 104: loss 2.9268, time 223.62ms, mfu 0.54%
iter 105: loss 2.9150, time 238.28ms, mfu 0.54%
iter 106: loss 2.9344, time 218.37ms, mfu 0.55%
iter 107: loss 2.9868, time 229.95ms, mfu 0.55%
iter 108: loss 2.8815, time 232.64ms, mfu 0.55%
iter 109: loss 2.8595, time 226.36ms, mfu 0.55%
iter 110: loss 2.8580, time 232.06ms, mfu 0.55%
iter 111: loss 2.9234, time 240.57ms, mfu 0.55%
iter 112: loss 2.8920, time 232.11ms, mfu 0.55%
iter 113: loss 2.8719, time 244.04ms, mfu 0.55%
iter 114: loss 2.8985, time 239.81ms, mfu 0.55%
iter 115: loss 2.8171, time 238.01ms, mfu 0.55%
iter 116: loss 2.8738, time 239.07ms, mfu 0.55%
iter 117: loss 2.8342, time 237.63ms, mfu 0.55%
iter 118: loss 2.7260, time 233.43ms, mfu 0.55%
iter 119: loss 2.8659, time 241.06ms, mfu 0.55%
iter 120: loss 2.8824, time 217.64ms, mfu 0.55%
iter 121: loss 2.7877, time 216.60ms, mfu 0.56%
iter 122: loss 2.8116, time 209.32ms, mfu 0.56%
iter 123: loss 2.7465, time 214.94ms, mfu 0.57%
iter 124: loss 2.8559, time 221.36ms, mfu 0.57%
iter 125: loss 2.8398, time 208.26ms, mfu 0.57%
iter 126: loss 2.8813, time 220.11ms, mfu 0.58%
iter 127: loss 2.8477, time 229.69ms, mfu 0.58%
iter 128: loss 2.8198, time 222.87ms, mfu 0.58%
iter 129: loss 2.8293, time 221.85ms, mfu 0.58%
iter 130: loss 2.8403, time 218.92ms, mfu 0.58%
iter 131: loss 2.8418, time 230.17ms, mfu 0.58%
iter 132: loss 2.8200, time 214.47ms, mfu 0.58%
iter 133: loss 2.7400, time 222.55ms, mfu 0.58%
iter 134: loss 2.8102, time 223.54ms, mfu 0.58%
iter 135: loss 2.7697, time 212.39ms, mfu 0.58%
iter 136: loss 2.7771, time 249.10ms, mfu 0.58%
iter 137: loss 2.6960, time 247.24ms, mfu 0.57%
iter 138: loss 2.8247, time 230.81ms, mfu 0.57%
iter 139: loss 2.7967, time 226.48ms, mfu 0.57%
iter 140: loss 2.7434, time 229.47ms, mfu 0.57%
iter 141: loss 2.7732, time 212.17ms, mfu 0.57%
iter 142: loss 2.8326, time 220.46ms, mfu 0.58%
iter 143: loss 2.7280, time 226.61ms, mfu 0.58%
iter 144: loss 2.6839, time 210.95ms, mfu 0.58%
iter 145: loss 2.8462, time 227.83ms, mfu 0.58%
iter 146: loss 2.7949, time 216.91ms, mfu 0.58%
iter 147: loss 2.8034, time 219.72ms, mfu 0.58%
iter 148: loss 2.7722, time 215.67ms, mfu 0.58%
iter 149: loss 2.7192, time 227.72ms, mfu 0.58%
iter 150: loss 2.7082, time 226.98ms, mfu 0.58%
iter 151: loss 2.7091, time 222.05ms, mfu 0.58%
iter 152: loss 2.7705, time 235.18ms, mfu 0.58%
iter 153: loss 2.7880, time 213.73ms, mfu 0.58%
iter 154: loss 2.6708, time 213.18ms, mfu 0.58%
iter 155: loss 2.6185, time 222.06ms, mfu 0.58%
iter 156: loss 2.7308, time 222.13ms, mfu 0.58%
iter 157: loss 2.7173, time 214.38ms, mfu 0.59%
iter 158: loss 2.6549, time 223.06ms, mfu 0.59%
iter 159: loss 2.6454, time 224.92ms, mfu 0.59%
iter 160: loss 2.6629, time 226.56ms, mfu 0.58%
iter 161: loss 2.7211, time 219.07ms, mfu 0.58%
iter 162: loss 2.7050, time 219.91ms, mfu 0.59%
iter 163: loss 2.6526, time 211.84ms, mfu 0.59%
iter 164: loss 2.6984, time 211.30ms, mfu 0.59%
iter 165: loss 2.6889, time 228.88ms, mfu 0.59%
iter 166: loss 2.6873, time 215.76ms, mfu 0.59%
iter 167: loss 2.6845, time 214.71ms, mfu 0.59%
iter 168: loss 2.7229, time 219.13ms, mfu 0.59%
iter 169: loss 2.7287, time 220.40ms, mfu 0.59%
iter 170: loss 2.6868, time 224.15ms, mfu 0.59%
iter 171: loss 2.7286, time 235.17ms, mfu 0.59%
iter 172: loss 2.7003, time 222.47ms, mfu 0.59%
iter 173: loss 2.6379, time 228.05ms, mfu 0.58%
iter 174: loss 2.7311, time 222.96ms, mfu 0.58%
iter 175: loss 2.7936, time 218.33ms, mfu 0.58%
iter 176: loss 2.5974, time 233.53ms, mfu 0.58%
iter 177: loss 2.6738, time 227.38ms, mfu 0.58%
iter 178: loss 2.7203, time 228.90ms, mfu 0.58%
iter 179: loss 2.5729, time 226.77ms, mfu 0.58%
iter 180: loss 2.8029, time 215.09ms, mfu 0.58%
iter 181: loss 2.6497, time 223.56ms, mfu 0.58%
iter 182: loss 2.6073, time 217.65ms, mfu 0.58%
iter 183: loss 2.6042, time 224.56ms, mfu 0.58%
iter 184: loss 2.6140, time 216.60ms, mfu 0.58%
iter 185: loss 2.6421, time 213.33ms, mfu 0.59%
iter 186: loss 2.7509, time 229.58ms, mfu 0.58%
iter 187: loss 2.5779, time 219.84ms, mfu 0.58%
iter 188: loss 2.6560, time 211.85ms, mfu 0.59%
iter 189: loss 2.5822, time 223.31ms, mfu 0.59%
iter 190: loss 2.6442, time 212.12ms, mfu 0.59%
iter 191: loss 2.6543, time 236.42ms, mfu 0.59%
iter 192: loss 2.7528, time 236.35ms, mfu 0.58%
iter 193: loss 2.5620, time 219.77ms, mfu 0.58%
iter 194: loss 2.6237, time 222.94ms, mfu 0.58%
iter 195: loss 2.5981, time 230.92ms, mfu 0.58%
iter 196: loss 2.5715, time 215.39ms, mfu 0.58%
iter 197: loss 2.7039, time 213.33ms, mfu 0.59%
iter 198: loss 2.5889, time 202.10ms, mfu 0.59%
iter 199: loss 2.6482, time 217.07ms, mfu 0.59%
step 200: train loss 2.5633, val loss 2.5760
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
iter 200: loss 2.6775, time 1120.62ms, mfu 0.54%
iter 201: loss 2.5998, time 212.20ms, mfu 0.55%
iter 202: loss 2.6298, time 225.14ms, mfu 0.55%
iter 203: loss 2.5450, time 226.23ms, mfu 0.56%
iter 204: loss 2.5730, time 216.38ms, mfu 0.56%
iter 205: loss 2.6081, time 219.17ms, mfu 0.56%
iter 206: loss 2.5757, time 231.86ms, mfu 0.56%
iter 207: loss 2.5973, time 218.37ms, mfu 0.57%
iter 208: loss 2.6113, time 217.14ms, mfu 0.57%
iter 209: loss 2.6280, time 206.02ms, mfu 0.58%
iter 210: loss 2.5911, time 209.39ms, mfu 0.58%
iter 211: loss 2.6072, time 229.87ms, mfu 0.58%
iter 212: loss 2.5927, time 239.24ms, mfu 0.57%
iter 213: loss 2.5750, time 236.26ms, mfu 0.57%
iter 214: loss 2.6288, time 228.92ms, mfu 0.57%
iter 215: loss 2.6097, time 230.62ms, mfu 0.57%
iter 216: loss 2.7111, time 221.35ms, mfu 0.57%
iter 217: loss 2.6011, time 215.93ms, mfu 0.58%
iter 218: loss 2.6374, time 220.19ms, mfu 0.58%
iter 219: loss 2.5913, time 225.90ms, mfu 0.58%
iter 220: loss 2.4769, time 217.14ms, mfu 0.58%
iter 221: loss 2.5751, time 216.99ms, mfu 0.58%
iter 222: loss 2.6196, time 244.47ms, mfu 0.58%
iter 223: loss 2.5652, time 266.92ms, mfu 0.57%
iter 224: loss 2.5698, time 261.06ms, mfu 0.56%
iter 225: loss 2.5649, time 301.14ms, mfu 0.55%
iter 226: loss 2.5739, time 252.58ms, mfu 0.54%
iter 227: loss 2.6127, time 228.16ms, mfu 0.55%
iter 228: loss 2.5111, time 227.17ms, mfu 0.55%
iter 229: loss 2.5619, time 205.24ms, mfu 0.56%
iter 230: loss 2.5457, time 216.59ms, mfu 0.56%
iter 231: loss 2.5105, time 254.21ms, mfu 0.56%
iter 232: loss 2.5781, time 228.89ms, mfu 0.56%
iter 233: loss 2.5231, time 211.30ms, mfu 0.56%
iter 234: loss 2.5326, time 207.24ms, mfu 0.57%
iter 235: loss 2.5391, time 214.83ms, mfu 0.57%
iter 236: loss 2.5286, time 230.63ms, mfu 0.57%
iter 237: loss 2.5850, time 212.14ms, mfu 0.58%
iter 238: loss 2.5711, time 216.90ms, mfu 0.58%
iter 239: loss 2.5354, time 217.29ms, mfu 0.58%
iter 240: loss 2.5778, time 217.53ms, mfu 0.58%
iter 241: loss 2.6208, time 217.92ms, mfu 0.58%
iter 242: loss 2.5840, time 211.05ms, mfu 0.59%
iter 243: loss 2.6276, time 208.06ms, mfu 0.59%
iter 244: loss 2.5094, time 220.58ms, mfu 0.59%
iter 245: loss 2.6018, time 212.33ms, mfu 0.59%
iter 246: loss 2.5121, time 209.02ms, mfu 0.59%
iter 247: loss 2.6803, time 213.15ms, mfu 0.60%
iter 248: loss 2.5104, time 204.28ms, mfu 0.60%
iter 249: loss 2.4425, time 210.40ms, mfu 0.60%
iter 250: loss 2.4961, time 222.09ms, mfu 0.60%
iter 251: loss 2.6105, time 212.62ms, mfu 0.60%
iter 252: loss 2.4860, time 221.68ms, mfu 0.60%
iter 253: loss 2.5795, time 204.91ms, mfu 0.60%
iter 254: loss 2.5637, time 207.26ms, mfu 0.61%
iter 255: loss 2.4977, time 219.86ms, mfu 0.60%
iter 256: loss 2.4358, time 217.29ms, mfu 0.60%
iter 257: loss 2.5105, time 218.42ms, mfu 0.60%
iter 258: loss 2.5012, time 218.13ms, mfu 0.60%
iter 259: loss 2.4938, time 216.76ms, mfu 0.60%
iter 260: loss 2.5933, time 210.58ms, mfu 0.60%
iter 261: loss 2.5306, time 208.66ms, mfu 0.60%
iter 262: loss 2.4874, time 223.22ms, mfu 0.60%
iter 263: loss 2.5383, time 204.56ms, mfu 0.61%
iter 264: loss 2.5527, time 215.91ms, mfu 0.61%
iter 265: loss 2.4358, time 208.76ms, mfu 0.61%
iter 266: loss 2.5060, time 219.41ms, mfu 0.61%
iter 267: loss 2.4956, time 229.82ms, mfu 0.60%
iter 268: loss 2.5248, time 229.94ms, mfu 0.60%
iter 269: loss 2.5547, time 252.52ms, mfu 0.59%
iter 270: loss 2.3738, time 214.25ms, mfu 0.59%
iter 271: loss 2.4374, time 213.95ms, mfu 0.59%
iter 272: loss 2.4914, time 214.30ms, mfu 0.59%
iter 273: loss 2.3908, time 212.09ms, mfu 0.60%
iter 274: loss 2.4660, time 214.92ms, mfu 0.60%
iter 275: loss 2.4571, time 212.96ms, mfu 0.60%
iter 276: loss 2.3789, time 216.08ms, mfu 0.60%
iter 277: loss 2.4734, time 217.90ms, mfu 0.60%
iter 278: loss 2.4149, time 216.40ms, mfu 0.60%
iter 279: loss 2.4639, time 201.96ms, mfu 0.60%
iter 280: loss 2.4571, time 215.76ms, mfu 0.60%
iter 281: loss 2.4786, time 207.63ms, mfu 0.60%
iter 282: loss 2.4700, time 212.05ms, mfu 0.61%
iter 283: loss 2.4217, time 236.21ms, mfu 0.60%
iter 284: loss 2.4686, time 213.36ms, mfu 0.60%
iter 285: loss 2.4410, time 212.52ms, mfu 0.60%
iter 286: loss 2.5484, time 215.93ms, mfu 0.60%
iter 287: loss 2.4073, time 211.32ms, mfu 0.60%
iter 288: loss 2.4930, time 209.40ms, mfu 0.60%
iter 289: loss 2.4273, time 221.60ms, mfu 0.60%
iter 290: loss 2.5209, time 221.49ms, mfu 0.60%
iter 291: loss 2.5330, time 248.97ms, mfu 0.59%
iter 292: loss 2.5312, time 211.79ms, mfu 0.60%
iter 293: loss 2.3657, time 214.90ms, mfu 0.60%
iter 294: loss 2.4564, time 226.38ms, mfu 0.59%
iter 295: loss 2.4217, time 239.23ms, mfu 0.59%
iter 296: loss 2.4438, time 228.12ms, mfu 0.59%
iter 297: loss 2.3500, time 217.37ms, mfu 0.59%
iter 298: loss 2.4959, time 234.17ms, mfu 0.58%
iter 299: loss 2.4939, time 222.04ms, mfu 0.58%
iter 300: loss 2.4253, time 220.63ms, mfu 0.58%
iter 301: loss 2.4239, time 230.25ms, mfu 0.58%
iter 302: loss 2.4002, time 204.84ms, mfu 0.59%
iter 303: loss 2.4321, time 219.79ms, mfu 0.59%
iter 304: loss 2.4163, time 216.86ms, mfu 0.59%
iter 305: loss 2.4923, time 228.72ms, mfu 0.59%
iter 306: loss 2.4249, time 221.20ms, mfu 0.59%
iter 307: loss 2.4592, time 211.06ms, mfu 0.59%
iter 308: loss 2.3806, time 228.20ms, mfu 0.59%
iter 309: loss 2.4684, time 213.48ms, mfu 0.59%
iter 310: loss 2.3883, time 206.75ms, mfu 0.59%
iter 311: loss 2.4212, time 201.65ms, mfu 0.60%
iter 312: loss 2.4932, time 206.99ms, mfu 0.60%
iter 313: loss 2.4485, time 220.01ms, mfu 0.60%
iter 314: loss 2.5044, time 207.38ms, mfu 0.60%
iter 315: loss 2.4455, time 205.92ms, mfu 0.61%
iter 316: loss 2.4837, time 209.18ms, mfu 0.61%
iter 317: loss 2.4706, time 204.13ms, mfu 0.61%
iter 318: loss 2.4098, time 231.09ms, mfu 0.61%
iter 319: loss 2.3399, time 207.89ms, mfu 0.61%
iter 320: loss 2.5176, time 215.30ms, mfu 0.61%
iter 321: loss 2.4135, time 229.84ms, mfu 0.60%
iter 322: loss 2.3555, time 224.18ms, mfu 0.60%
iter 323: loss 2.3485, time 229.80ms, mfu 0.60%
iter 324: loss 2.4189, time 216.58ms, mfu 0.60%
iter 325: loss 2.3271, time 223.94ms, mfu 0.60%
iter 326: loss 2.5346, time 220.34ms, mfu 0.59%
iter 327: loss 2.3995, time 205.29ms, mfu 0.60%
iter 328: loss 2.4682, time 221.97ms, mfu 0.60%
iter 329: loss 2.3531, time 232.52ms, mfu 0.59%
iter 330: loss 2.3224, time 223.46ms, mfu 0.59%
iter 331: loss 2.3873, time 211.09ms, mfu 0.59%
iter 332: loss 2.4236, time 220.18ms, mfu 0.59%
iter 333: loss 2.3397, time 226.27ms, mfu 0.59%
iter 334: loss 2.3228, time 235.92ms, mfu 0.59%
iter 335: loss 2.5322, time 214.43ms, mfu 0.59%
iter 336: loss 2.3959, time 206.62ms, mfu 0.59%
iter 337: loss 2.3433, time 217.51ms, mfu 0.59%
iter 338: loss 2.4031, time 224.15ms, mfu 0.59%
iter 339: loss 2.3668, time 214.54ms, mfu 0.59%
iter 340: loss 2.4257, time 220.25ms, mfu 0.59%
iter 341: loss 2.3538, time 214.79ms, mfu 0.59%
iter 342: loss 2.3996, time 215.37ms, mfu 0.59%
iter 343: loss 2.4012, time 215.10ms, mfu 0.60%
iter 344: loss 2.4699, time 220.63ms, mfu 0.60%
iter 345: loss 2.5008, time 232.23ms, mfu 0.59%
iter 346: loss 2.3820, time 234.32ms, mfu 0.59%
iter 347: loss 2.2327, time 240.09ms, mfu 0.58%
iter 348: loss 2.3224, time 220.41ms, mfu 0.58%
iter 349: loss 2.3934, time 215.33ms, mfu 0.59%
iter 350: loss 2.3921, time 218.97ms, mfu 0.59%
iter 351: loss 2.3516, time 218.04ms, mfu 0.59%
iter 352: loss 2.2906, time 229.93ms, mfu 0.58%
iter 353: loss 2.4794, time 254.66ms, mfu 0.58%
iter 354: loss 2.4750, time 215.20ms, mfu 0.58%
iter 355: loss 2.3561, time 214.58ms, mfu 0.58%
iter 356: loss 2.4509, time 214.29ms, mfu 0.58%
iter 357: loss 2.3333, time 222.86ms, mfu 0.58%
iter 358: loss 2.4250, time 225.03ms, mfu 0.58%
iter 359: loss 2.4030, time 211.47ms, mfu 0.59%
iter 360: loss 2.2868, time 211.16ms, mfu 0.59%
iter 361: loss 2.4935, time 225.29ms, mfu 0.59%
iter 362: loss 2.3253, time 273.42ms, mfu 0.58%
iter 363: loss 2.3236, time 208.30ms, mfu 0.58%
iter 364: loss 2.4142, time 206.40ms, mfu 0.59%
iter 365: loss 2.4329, time 207.19ms, mfu 0.59%
iter 366: loss 2.3522, time 206.41ms, mfu 0.59%
iter 367: loss 2.3537, time 217.76ms, mfu 0.59%
iter 368: loss 2.4016, time 206.02ms, mfu 0.60%
iter 369: loss 2.5364, time 208.42ms, mfu 0.60%
iter 370: loss 2.3550, time 207.48ms, mfu 0.60%
iter 371: loss 2.3929, time 205.07ms, mfu 0.61%
iter 372: loss 2.4298, time 204.02ms, mfu 0.61%
iter 373: loss 2.3934, time 207.15ms, mfu 0.61%
iter 374: loss 2.2875, time 207.84ms, mfu 0.61%
iter 375: loss 2.3803, time 234.90ms, mfu 0.61%
iter 376: loss 2.3259, time 208.44ms, mfu 0.61%
iter 377: loss 2.4193, time 207.46ms, mfu 0.61%
iter 378: loss 2.3280, time 234.24ms, mfu 0.60%
iter 379: loss 2.3596, time 221.23ms, mfu 0.60%
iter 380: loss 2.2672, time 202.75ms, mfu 0.61%
iter 381: loss 2.4569, time 208.97ms, mfu 0.61%
iter 382: loss 2.2735, time 205.27ms, mfu 0.61%
iter 383: loss 2.4219, time 237.34ms, mfu 0.60%
iter 384: loss 2.3323, time 236.93ms, mfu 0.60%
iter 385: loss 2.3832, time 233.53ms, mfu 0.59%
iter 386: loss 2.3489, time 236.55ms, mfu 0.59%
iter 387: loss 2.4612, time 239.22ms, mfu 0.58%
iter 388: loss 2.3528, time 233.77ms, mfu 0.58%
iter 389: loss 2.3627, time 201.04ms, mfu 0.59%
iter 390: loss 2.3887, time 220.81ms, mfu 0.59%
iter 391: loss 2.3507, time 222.19ms, mfu 0.59%
iter 392: loss 2.2140, time 220.63ms, mfu 0.59%
iter 393: loss 2.3275, time 204.48ms, mfu 0.59%
iter 394: loss 2.5143, time 203.98ms, mfu 0.60%
iter 395: loss 2.3960, time 206.02ms, mfu 0.60%
iter 396: loss 2.4114, time 208.66ms, mfu 0.60%
iter 397: loss 2.2767, time 220.24ms, mfu 0.60%
iter 398: loss 2.4057, time 201.45ms, mfu 0.61%
iter 399: loss 2.2742, time 204.69ms, mfu 0.61%
step 400: train loss 2.2767, val loss 2.2958
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h8_e256_bs8_it2000_do02
iter 400: loss 2.3496, time 1095.68ms, mfu 0.56%
iter 401: loss 2.2722, time 205.68ms, mfu 0.57%
iter 402: loss 2.2873, time 221.84ms, mfu 0.57%
iter 403: loss 2.3402, time 211.60ms, mfu 0.57%
iter 404: loss 2.4299, time 205.36ms, mfu 0.58%
iter 405: loss 2.3806, time 256.35ms, mfu 0.57%
iter 406: loss 2.2573, time 217.29ms, mfu 0.57%
iter 407: loss 2.3306, time 208.05ms, mfu 0.58%
iter 408: loss 2.3720, time 207.54ms, mfu 0.58%
iter 409: loss 2.3295, time 207.57ms, mfu 0.59%
iter 410: loss 2.2415, time 207.41ms, mfu 0.59%
iter 411: loss 2.2825, time 206.68ms, mfu 0.60%
iter 412: loss 2.3717, time 204.92ms, mfu 0.60%
iter 413: loss 2.4401, time 203.05ms, mfu 0.60%
iter 414: loss 2.3770, time 240.17ms, mfu 0.60%
iter 415: loss 2.2986, time 203.67ms, mfu 0.60%
iter 416: loss 2.3577, time 207.60ms, mfu 0.60%
iter 417: loss 2.3653, time 202.95ms, mfu 0.61%
iter 418: loss 2.2453, time 238.01ms, mfu 0.60%
iter 419: loss 2.3306, time 222.87ms, mfu 0.60%
iter 420: loss 2.3678, time 206.48ms, mfu 0.60%
iter 421: loss 2.2950, time 202.50ms, mfu 0.61%
iter 422: loss 2.3677, time 209.00ms, mfu 0.61%
iter 423: loss 2.3072, time 209.08ms, mfu 0.61%
iter 424: loss 2.2306, time 205.29ms, mfu 0.61%
iter 425: loss 2.2598, time 204.75ms, mfu 0.61%
iter 426: loss 2.3476, time 206.84ms, mfu 0.61%
iter 427: loss 2.3617, time 203.76ms, mfu 0.62%
iter 428: loss 2.3496, time 207.55ms, mfu 0.62%
iter 429: loss 2.3466, time 203.94ms, mfu 0.62%
iter 430: loss 2.2678, time 206.91ms, mfu 0.62%
iter 431: loss 2.4010, time 204.87ms, mfu 0.62%
iter 432: loss 2.3071, time 204.45ms, mfu 0.62%
iter 433: loss 2.3436, time 205.47ms, mfu 0.62%
iter 434: loss 2.3078, time 221.97ms, mfu 0.62%
iter 435: loss 2.3335, time 219.75ms, mfu 0.62%
iter 436: loss 2.3093, time 204.85ms, mfu 0.62%
iter 437: loss 2.3108, time 200.51ms, mfu 0.62%
