iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.285,4.28,,,,eval
5,,,4.2588,258.27,1.01,iter
6,,,4.2504,251.16,1.01,iter
7,,,4.2191,248.05,1.01,iter
8,,,4.2027,251.25,1.01,iter
9,,,4.2075,257.41,1.01,iter
10,,,4.1946,265.1,1.01,iter
11,,,4.173,270.39,1.01,iter
12,,,4.1332,243.94,1.01,iter
13,,,4.1378,260.22,1.01,iter
14,,,4.1066,270.98,1.0,iter
15,,,4.101,270.44,1.0,iter
16,,,4.0625,265.81,1.0,iter
17,,,4.052,259.43,1.0,iter
18,,,4.0,266.28,1.0,iter
19,,,4.002,264.02,0.99,iter
20,,,3.9584,235.4,1.01,iter
21,,,3.94,248.27,1.01,iter
22,,,3.9172,264.42,1.01,iter
23,,,3.8723,265.74,1.0,iter
24,,,3.8767,271.84,1.0,iter
25,,,3.8259,241.16,1.01,iter
26,,,3.8269,249.54,1.01,iter
27,,,3.7568,268.61,1.01,iter
28,,,3.7871,250.4,1.01,iter
29,,,3.7368,266.35,1.01,iter
30,,,3.7567,255.02,1.01,iter
31,,,3.6475,257.19,1.01,iter
32,,,3.7164,246.22,1.01,iter
33,,,3.6439,245.14,1.02,iter
34,,,3.6143,247.56,1.02,iter
35,,,3.6141,254.53,1.02,iter
36,,,3.6003,252.64,1.02,iter
37,,,3.5655,245.91,1.02,iter
38,,,3.597,298.93,1.01,iter
39,,,3.5933,260.24,1.01,iter
40,,,3.5204,252.4,1.01,iter
41,,,3.4984,257.68,1.01,iter
42,,,3.4947,250.72,1.01,iter
43,,,3.5706,246.63,1.02,iter
44,,,3.4899,257.2,1.02,iter
45,,,3.5118,263.59,1.01,iter
46,,,3.4568,248.46,1.02,iter
47,,,3.4139,258.16,1.01,iter
48,,,3.4338,287.7,1.0,iter
49,,,3.4128,272.37,1.0,iter
50,,,3.4621,253.36,1.0,iter
51,,,3.3762,256.78,1.0,iter
52,,,3.427,280.07,0.99,iter
53,,,3.3844,268.21,0.99,iter
54,,,3.4397,258.9,0.99,iter
55,,,3.3808,265.0,0.99,iter
56,,,3.3476,272.37,0.99,iter
57,,,3.4189,266.39,0.99,iter
58,,,3.3168,284.04,0.98,iter
59,,,3.3166,270.27,0.98,iter
60,,,3.3699,280.55,0.97,iter
61,,,3.3103,277.39,0.97,iter
62,,,3.3351,250.45,0.98,iter
63,,,3.3007,276.79,0.97,iter
64,,,3.3153,266.13,0.97,iter
65,,,3.2598,264.35,0.97,iter
66,,,3.2511,261.39,0.97,iter
67,,,3.2626,254.2,0.98,iter
68,,,3.2324,292.05,0.97,iter
69,,,3.2582,270.67,0.97,iter
70,,,3.176,260.91,0.97,iter
71,,,3.2576,273.16,0.97,iter
72,,,3.1694,260.79,0.97,iter
73,,,3.1726,253.83,0.98,iter
74,,,3.1389,246.6,0.98,iter
75,,,3.1579,266.86,0.98,iter
76,,,3.1134,269.29,0.98,iter
77,,,3.1235,260.95,0.98,iter
78,,,3.0983,253.69,0.99,iter
79,,,3.2058,241.52,1.0,iter
80,,,3.1455,267.66,0.99,iter
81,,,3.0376,275.63,0.99,iter
82,,,3.1103,272.2,0.98,iter
83,,,3.1324,272.78,0.98,iter
84,,,3.0381,290.58,0.97,iter
85,,,3.0929,279.43,0.97,iter
86,,,3.0196,260.72,0.97,iter
87,,,3.0161,253.6,0.98,iter
88,,,2.989,268.16,0.98,iter
89,,,3.0041,259.51,0.98,iter
90,,,3.0519,276.24,0.97,iter
91,,,2.9834,255.94,0.98,iter
92,,,2.9987,247.21,0.99,iter
93,,,3.027,252.77,0.99,iter
94,,,2.9702,247.49,1.0,iter
95,,,2.927,265.98,0.99,iter
96,,,3.0282,298.06,0.98,iter
97,,,2.9548,254.94,0.98,iter
98,,,2.9985,265.19,0.98,iter
99,,,3.0165,249.04,0.99,iter
100,,,2.9111,257.98,0.99,iter
101,,,2.9134,256.05,0.99,iter
102,,,2.9212,267.13,0.99,iter
103,,,2.8727,243.81,1.0,iter
104,,,2.9376,252.26,1.0,iter
105,,,2.9041,265.1,1.0,iter
106,,,2.8757,245.59,1.01,iter
107,,,2.9318,248.68,1.01,iter
108,,,2.9162,262.07,1.01,iter
109,,,2.8468,240.44,1.01,iter
110,,,2.8571,236.13,1.02,iter
111,,,2.8872,252.48,1.02,iter
112,,,2.8278,254.27,1.02,iter
113,,,2.8438,282.35,1.01,iter
114,,,2.9185,259.58,1.01,iter
115,,,2.8431,258.93,1.01,iter
116,,,2.8533,253.86,1.01,iter
117,,,2.8427,260.39,1.01,iter
118,,,2.8494,259.87,1.01,iter
119,,,2.8489,259.7,1.01,iter
120,,,2.8065,244.19,1.01,iter
121,,,2.8898,251.32,1.02,iter
122,,,2.8649,243.12,1.02,iter
123,,,2.8747,281.62,1.01,iter
124,,,2.8206,293.52,1.0,iter
125,,,2.8525,280.27,0.99,iter
126,,,2.8099,263.93,0.99,iter
127,,,2.8259,249.56,1.0,iter
128,,,2.8077,273.27,0.99,iter
129,,,2.8432,251.83,0.99,iter
130,,,2.8018,272.6,0.99,iter
131,,,2.8232,277.63,0.99,iter
132,,,2.8232,266.7,0.98,iter
133,,,2.8093,256.64,0.99,iter
134,,,2.8119,276.37,0.98,iter
135,,,2.7817,261.31,0.98,iter
136,,,2.7281,269.56,0.98,iter
137,,,2.7687,272.14,0.98,iter
138,,,2.728,263.63,0.98,iter
139,,,2.7479,280.04,0.97,iter
140,,,2.7632,271.58,0.97,iter
141,,,2.751,277.75,0.97,iter
142,,,2.7272,283.72,0.96,iter
143,,,2.7971,275.23,0.96,iter
144,,,2.7006,284.17,0.96,iter
145,,,2.7698,255.88,0.96,iter
146,,,2.7033,264.5,0.96,iter
147,,,2.749,272.73,0.96,iter
148,,,2.6859,277.62,0.96,iter
149,,,2.7008,274.22,0.96,iter
150,,,2.6738,256.87,0.96,iter
151,,,2.7489,247.46,0.97,iter
152,,,2.7314,228.66,0.99,iter
153,,,2.7603,225.83,1.0,iter
